Date,PGE,SCE,SDGE,VEA,HE,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30
2025-03-02,8397.503608166668,11620.304268333333,1692.72525,155.6009459375,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8426.134645,11666.43777,1691.46274,155.80400375,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8454.765681833334,11712.571271666668,1690.20023,156.0070615625,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8483.396718666667,11758.704773333335,1688.93772,156.210119375,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8512.027755500001,11804.838275,1687.6752099999999,156.4131771875,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8540.658792333334,11850.971776666667,1686.4126999999999,156.61623500000002,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8569.289829166668,11897.105278333334,1685.1501899999998,156.8192928125,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8597.920866,11943.23878,1683.8876799999998,157.022350625,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8626.551902833335,11989.372281666667,1682.62517,157.22540843750002,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8655.182939666667,12035.505783333334,1681.36266,157.42846625,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8683.813976500001,12081.639285000001,1680.10015,157.6315240625,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8712.445013333334,12127.772786666668,1678.83764,157.834581875,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,8741.076050166666,12173.906288333334,1677.57513,158.03763968750002,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,8769.707087,12220.03979,1676.31262,158.2406975,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,8828.687525458334,12154.904610000001,1694.2860355,154.05222683875002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,8887.667963916667,12089.76943,1712.259451,149.86375617750002,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,8946.648402375,12024.634250000001,1730.2328665,145.67528551625,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9005.628840833335,11959.49907,1748.2062819999999,141.486814855,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9064.609279291668,11894.36389,1766.1796975,137.29834419375,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9123.589717750001,11829.22871,1784.1531129999998,133.10987353250002,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9182.570156208334,11764.09353,1802.1265285,128.92140287125,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9241.550594666667,11698.95835,1820.0999439999998,124.73293221,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9300.531033125,11633.82317,1838.0733595,120.54446154875001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9359.511471583333,11568.68799,1856.0467749999998,116.35599088750001,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9418.491910041666,11503.55281,1874.0201905,112.16752022625,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9477.4723485,11438.41763,1891.993606,107.97904956500001,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9536.452786958334,11373.28245,1909.9670214999999,103.79057890375,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9595.433225416667,11308.14727,1927.940437,99.60210824250001,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9654.413663875,11243.01209,1945.9138524999998,95.41363758125001,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9713.394102333334,11177.876909999999,1963.887268,91.22516692,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9772.374540791667,11112.74173,1981.8606834999998,87.03669625875001,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9831.35497925,11047.60655,1999.834099,82.8482255975,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9890.335417708333,10982.47137,2017.8075144999998,78.65975493625001,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,9949.315856166668,10917.33619,2035.78093,74.471284275,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,10008.296294625,10852.201009999999,2053.7543455,70.28281361375001,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,10067.276733083334,10787.06583,2071.727761,66.0943429525,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,10126.257171541667,10721.930649999998,2089.7011764999997,61.905872291250006,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10185.23761,10656.79547,2107.674592,57.71740163,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10220.65490625,10713.271633333332,2127.9228974999996,58.77856234208333,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10256.0722025,10769.747796666667,2148.171203,59.83972305416666,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10291.489498750001,10826.22396,2168.4195085,60.90088376625,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10326.906795,10882.700123333332,2188.667814,61.96204447833333,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10362.32409125,10939.176286666665,2208.9161194999997,63.02320519041666,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10397.7413875,10995.65245,2229.164425,64.0843659025,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10433.15868375,11052.128613333332,2249.4127305,65.14552661458333,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10468.57598,11108.604776666665,2269.661036,66.20668732666667,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10503.99327625,11165.08094,2289.9093414999998,67.26784803875,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10539.4105725,11221.557103333333,2310.157647,68.32900875083332,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10574.82786875,11278.033266666665,2330.4059525000002,69.39016946291666,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10610.245165,11334.509429999998,2350.654258,70.451330175,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
