Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30
2025-07-01,,11710.05896,11293.70556,2334.509646,62.99336116,,,,,,,,,
2025-07-01,,11122.91026,10922.08932,2289.245831,59.42629959,,,,,,,,,
2025-07-01,,10836.98948,10528.7823,2178.447527,56.46703353,,,,,,,,,
2025-07-01,,10853.24606,10575.90906,2171.56936,56.55749029,,,,,,,,,
2025-07-01,,12375.93792,12154.72538,2590.738737,69.02722525,,,,,,,,,
2025-07-01,,12142.17728,14689.1213,2465.392148,127.7911375,,,,,,,,,
2025-07-01,,11810.77391,14986.45111,2182.088652,167.5886295,,,,,,,,,
2025-07-01,,11030.84161,15208.01492,2375.116724,225.0093154,,,,,,,,,
2025-07-01,,11233.72892,10790.92555,2215.302506,57.36992155,,,,,,,,,
2025-07-01,,11108.95471,14703.93842,1642.046242,136.6748938,,,,,,,,,
2025-07-01,,12070.68008,12687.53238,2638.272569,66.92293486,,,,,,,,,
2025-07-01,,10860.58703,15229.0566,1938.787928,189.8918733,,,,,,,,,
2025-07-01,,11644.71649,11214.31641,2322.319309,60.88663945,,,,,,,,,
2025-07-01,,11843.68916,14379.96353,1641.234167,139.5884261,,,,,,,,,
2025-07-01,,13434.59222,12990.19697,2323.128388,86.74347054,,,,,,,,,
2025-07-01,,14495.73937,14097.16151,2482.873151,92.76741664,,,,,,,,,
2025-07-01,,15616.69516,14967.18173,2701.141009,101.9554802,,,,,,,,,
2025-07-01,,16127.44991,15262.97861,2775.718329,111.1296907,,,,,,,,,
2025-07-01,,12244.59982,15223.69047,1703.512472,133.9491604,,,,,,,,,
2025-07-01,,16297.90377,16340.23482,2840.141716,132.967897,,,,,,,,,
2025-07-01,,15331.43855,16849.48037,2611.055923,134.6307418,,,,,,,,,
2025-07-01,,14238.61014,16219.89347,2312.981321,125.2360127,,,,,,,,,
2025-07-01,,13291.14949,15842.45621,2028.457406,123.9666643,,,,,,,,,
2025-07-01,,16423.3269,15740.07559,2732.217289,118.7423031,,,,,,,,,
2025-07-02,,12124.23712,11598.07782,2318.171085,76.90609167,,,,,,,,,
2025-07-02,,11676.9837,14420.96852,2423.921767,183.1788184,,,,,,,,,
2025-07-02,,12143.80248,14123.04765,2784.875464,168.8307875,,,,,,,,,
2025-07-02,,11919.69557,12596.33429,2379.19642,76.16934829,,,,,,,,,
2025-07-02,,11660.34732,11140.56836,2237.746309,71.51751375,,,,,,,,,
2025-07-02,,11231.81803,15509.4069,2078.588999,199.8919865,,,,,,,,,
2025-07-02,,11309.97191,10800.68214,2250.675524,70.23350386,,,,,,,,,
2025-07-02,,11065.87698,10876.16263,2436.342459,68.85080922,,,,,,,,,
