date,Estimated_Hourly_Cost_USD,CAISO Total,Monthly_Price_Cents_per_kWh,hour,dayofweek,month,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,daily_mean_cost_lag_1,daily_std_cost_lag_1,daily_mean_cost_lag_7,daily_std_cost_lag_7,daily_mean_cost_lag_15,daily_std_cost_lag_15,daily_mean_cost_lag_30,daily_std_cost_lag_30,PGE,SCE,SDGE,VEA,HE_num,PGE_loadlag,SCE_loadlag,SDGE_loadlag,VEA_loadlag,daily_mean_load_lag_1_loadlag,daily_std_load_lag_1_loadlag,daily_mean_load_lag_7_loadlag,daily_std_load_lag_7_loadlag,daily_mean_load_lag_15_loadlag,daily_std_load_lag_15_loadlag,daily_mean_load_lag_30_loadlag,daily_std_load_lag_30_loadlag,HE_num_loadlag,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind,Battery storage,Geothermal,Pumped storage,Solar with integrated battery storage,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,cloudcover_mean,et0_fao_evapotranspiration,pressure_msl_mean,weathercode,cdd,hdd,year_month,week_start
2019-09-13,4.138422452164335,26950.170796002527,20.65,1.0833333333333333,4.0,9.0,31325.973333384853,6295.877921482923,28673.083728849568,3920.0934799741663,31703.420572946154,5698.975306509904,33162.848522432025,6621.823062000047,0.17834799346083918,0.010079712383598137,0.18363924598702305,0.010009507678561852,0.15624803528799647,0.0021018284771572833,0.16906375952936623,0.002674151879161079,11780.302516568607,12717.939622504171,2404.776648751473,47.152207339760714,2.5416666666666665,12156.194894620847,13046.184317634725,2445.6328550815574,48.20020290097051,31681.964285881346,6441.455434763326,29655.708609575126,4100.809466381383,32192.165532050556,5715.547926436738,33464.72162714213,6955.753957545765,2.6666666666666665,,,,,,,,,,,,,26.412500000000005,30.2,22.350000000000005,30.451937,36.01529,23.44208,22.541666000000003,79.88711,90.12081,65.38311,2.1,2.1,0.0,18.837322,32.760002,19.48,19.48,48.125,4.184808,1011.42926,8.4125,0.0,2019-09,2019-09-09
2019-09-14,4.078870079122411,26562.354751763804,20.65,3.0,5.0,9.0,29573.238385954177,5368.427360331613,27298.740817416783,3715.958586957724,30395.928731076758,5664.417985983214,30816.475403762237,5133.67923262977,0.17573351482787117,0.005744868600826837,0.16193576382364525,0.013065206281898863,0.16211300523963976,0.0019636074262924003,0.16027613408333963,0.002496608429966404,11681.276182962398,12379.348932320463,2450.2431238847716,51.48661102040129,4.394965277777778,11251.608576708815,12184.960530775968,2343.0920375878013,45.05100847296883,31117.604011210096,6210.8572127573,27240.26571079327,3566.0883263879714,31166.29342488256,5679.585130016089,32881.74184950077,6241.572052613146,1.5,,,,,,,,,,,,,23.489583999999997,27.45,20.45,24.556093,27.409139999999997,22.657934,17.337503,70.005714,88.03154,43.906094,0.6999999999999998,0.6999999999999998,0.0,20.240198,37.079998,16.44,16.44,45.625,3.7998497000000007,1014.27094,5.489584,0.0,2019-09,2019-09-09
2019-09-15,4.031069551089433,26251.06889114458,20.65,4.625,6.0,9.0,27866.378453814617,4145.631238742582,27463.626872203586,3624.316792458305,29982.623216300217,5853.506116902355,27518.210687678587,3837.7219105602785,0.16670493751467008,0.0057699477603458255,0.16720318485449434,0.005918198123571871,0.17734260114999323,0.004700620796991029,0.14886272567290587,0.004304119953053171,11665.317675947817,12070.095262115523,2460.513784928495,55.14214215419735,6.144097222222222,11940.375684795898,12466.599648038424,2527.9783796346346,56.5331729776001,28201.169740621328,4636.005807881864,27116.72933274472,3805.498366740861,29636.55863841063,5647.698151785506,29050.651041068668,4143.8876838372125,6.8125,,,,,,,,,,,,,23.333333999999997,26.7,19.75,23.575622999999997,27.24002,19.741123,15.029167,60.8692,82.842125,35.89099,0.8000000000000002,0.8000000000000002,0.0,15.226763999999998,27.0,15.53,15.53,86.54166400000001,4.0892024,1014.0125000000002,5.333334,0.0,2019-09,2019-09-09
2019-09-16,3.6915186212894042,24039.85056874581,20.65,1.875,0.0,9.0,27742.25586200401,3693.209095236963,27643.08543475224,3515.2523500153197,31823.716847458825,6375.3379953689555,27131.561590030644,4151.5890104088185,0.16643060760568243,0.007946821396044563,0.1706000756095325,0.0046859802050744455,0.1936424618485618,0.012382485106586766,0.13848225036209497,0.005241198273287433,10667.91629617961,11101.972109013865,2223.1349302983267,46.82673665434259,3.3671875,10855.562753184284,11237.397494640294,2285.2618618284646,49.33862494621932,27946.58922944059,3756.9339501739764,27517.82810186328,3212.048629916895,30651.731154769088,6162.667629917888,26125.128006919334,3785.5100187916396,3.75,,,,,,,,,,,,,20.937498,23.850000000000005,19.55,21.853745,25.192990999999996,19.657639,16.887499,77.86747,85.28482,63.879726,0.4000000000000001,0.4000000000000001,0.0,15.517629,26.64,7.02,7.02,61.291667999999994,1.8355552,1015.4124,2.937498,0.0,2019-09,2019-09-16
2019-09-17,3.470381232829266,22599.763081963058,20.65,1.7916666666666667,1.0,9.0,27530.75205164611,3500.4168988801885,28696.327445598024,4577.437311558062,33791.32387757727,6607.788157588315,28605.599307288725,4784.103219943767,0.15650019119035763,0.005103894501253808,0.1559065871158853,0.005502615731755929,0.19830600709032278,0.01529551524114855,0.13876015393724353,0.00202338510888525,10058.978271329373,10469.714999819258,2028.2533902851526,42.81576767487914,3.2578125,10223.688740060396,10685.173855744792,2130.0784956024427,43.44862782138484,27918.374880770705,3607.912806701013,27553.97244635907,3299.245682090891,32136.641458304846,6507.257715415863,26731.192150368515,4221.841745724656,2.0,,,,,,,,,,,,,21.962499999999995,24.350000000000005,19.2,23.837103,26.67013,19.694529,18.802084,82.37531,90.50738,77.270966,0.0,0.0,0.0,15.124283999999998,25.919998000000003,5.54,5.54,75.75,1.4802804,1018.1583999999999,3.9624995999999997,0.0,2019-09,2019-09-16
2019-09-18,3.4994674648264086,22789.17799288526,20.65,1.9583333333333333,2.0,9.0,27170.01047230932,3232.223615101,30562.46850547485,5920.384757344938,34168.820766212164,6219.375739265721,29818.745185146963,5391.87210875774,0.14585358375342258,0.0009986262510613168,0.15972273850552465,0.007034233140435421,0.19289035358360015,0.012174730163479504,0.14815904872120816,0.00357981813155965,10238.82299141398,10500.507100221332,2006.009897525956,43.83835149521502,3.447048611111111,9955.234039161363,10257.801463996222,1960.5021211945848,43.991591482606886,27411.28740799028,3430.989294552906,29759.25421051297,5533.954410648928,34299.38854904976,6507.921004319002,29311.829286387136,4982.99712750253,4.625,,,,,,,,,,,,,20.795832,26.0,15.5,20.480774,26.832530000000002,13.491163,14.408333,67.216286,84.38347,59.86183,0.0,0.0,0.0,21.67786,38.519997,20.29,20.29,9.833333,4.313946,1022.4124,2.7958316999999995,0.0,2019-09,2019-09-16
2019-09-19,3.617836182141751,23560.016926180677,20.65,2.9166666666666665,3.0,9.0,26861.124564030582,3063.824044857085,31069.25500192407,6190.813235492406,33645.817476608216,5750.40014799947,30723.02418338848,5712.605725066776,0.14554073970015144,0.0023931120716208917,0.17834799346083918,0.010079712383598137,0.19507389857424198,0.005571294285078705,0.16267614750976225,0.005035101158340812,10780.235572621204,10687.20913073849,2047.9844526611205,44.58972190725252,4.482638888888888,10547.071852558129,10764.317574379062,2055.474871799185,43.67178629152821,26907.75293352567,3016.1739635228414,31435.527521737764,6340.41774288408,34026.899263127816,5905.739581599109,30369.740727277214,5836.301436209054,2.166666666666667,,,,,,,,,,,,,19.562502,21.55,16.85,19.684679,21.208036,14.738949,13.841665999999998,70.69094,89.20778,53.231888,0.0,0.0,0.0,12.682018,24.48,14.839999999999998,14.839999999999998,79.166664,3.0054626,1019.6375000000002,1.5625019,0.0,2019-09,2019-09-16
2019-09-20,3.5507998172762596,23123.463745940884,20.65,6.5,4.0,9.0,26485.040741213805,3320.385937513227,29281.938228635834,5238.167786412546,31518.151075127007,4872.030024289559,30910.8759219538,5351.441100803469,0.14959600734882325,0.00204925286709225,0.17573351482787117,0.005744868600826837,0.20252466668963243,0.003798234376576721,0.16763045152958878,0.0051734281670416495,10742.42587586821,10321.144843804048,2013.9951475587147,45.89985744787382,7.958333333333333,11066.066739902084,10548.837508320796,2031.3386750306327,45.8972842719978,26824.983493473268,3152.2414643748575,30485.102983849018,5952.092318728189,33139.842903852536,5568.612969955552,31155.0028281225,5495.070514586892,7.833333333333333,,,,,,,,,,,,,20.595835,24.55,17.2,20.978453,24.651390000000003,16.50058,15.131248,72.08613,88.65595,53.85191,0.0,0.0,0.0,15.941944,27.359999,14.979999999999999,14.979999999999999,32.041668,3.2437174,1016.8999600000001,2.5958347,0.0,2019-09,2019-09-16
2019-09-21,0.143470071336847,22423.28600138276,20.65,8.0,5.0,9.0,26101.59428908996,3557.1037609973077,27669.74769277408,4318.349820311587,29515.8887362892,4040.4058185096815,30675.81302061907,5093.608364692369,0.1511831299944934,0.0009897926876123,0.1660679309872713,0.0052634842720454,0.192840373969628,0.0074617532419338,0.1593995232670629,0.006905795518522,10397.286201819592,9995.262803327032,1984.50277891186,46.23558311691172,9.0,10905.746630568088,10335.024482470675,2009.3731321072507,46.303529219995895,26631.142808167067,3305.348462323119,29488.846241174284,5405.710700840615,32004.682480778763,5115.590750625962,31064.81753201096,5296.631931596379,9.0,,,,,,,,,,,,,21.175,25.05,18.2,20.368135,23.777721,17.121607,15.193749,69.90585,86.17069,45.678753,0.0,0.0,0.0,25.233404,45.0,18.86,18.86,7.75,4.218683,1017.32916,3.1749992,0.0,2019-09,2019-09-16
2019-09-22,3.4758541095867157,22635.403465482046,20.65,4.416666666666667,6.0,9.0,26870.863594321185,3936.0868080076834,27440.23841704126,3834.036666046222,28254.302159092887,3857.5112408519703,30268.81141431219,5452.50963029221,0.14440289937986034,0.0015878553232098332,0.16643060760568243,0.007946821396044563,0.16193576382364525,0.013065206281898863,0.14482220568759194,0.003382729905555321,10400.117469453873,10205.4446680365,1985.5730055631484,44.26895370802833,5.885416666666667,10143.187912177113,9990.666529525413,1997.6809355294358,45.14690058076611,25910.500516387976,3773.6765730155316,27521.60774029975,3967.3089755736346,28039.73998483924,3678.280823567209,30362.507685668937,5116.566458042818,7.916666666666667,,,,,,,,,,,,,21.06042,26.25,15.5,19.331875,23.957664000000005,14.472757,11.960417999999999,57.31419,74.31875,41.618706,0.0,0.0,0.0,27.362365999999998,47.88,20.15,20.15,0.041666668,5.074342,1018.20825,3.060419,0.0,2019-09,2019-09-16
