year_month,Estimated_Hourly_Cost_USD,CAISO Total,Monthly_Price_Cents_per_kWh,hour,dayofweek,month,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,daily_mean_cost_lag_1,daily_std_cost_lag_1,daily_mean_cost_lag_7,daily_std_cost_lag_7,daily_mean_cost_lag_15,daily_std_cost_lag_15,daily_mean_cost_lag_30,daily_std_cost_lag_30,PGE,SCE,SDGE,VEA,HE_num,PGE_loadlag,SCE_loadlag,SDGE_loadlag,VEA_loadlag,daily_mean_load_lag_1_loadlag,daily_std_load_lag_1_loadlag,daily_mean_load_lag_7_loadlag,daily_std_load_lag_7_loadlag,daily_mean_load_lag_15_loadlag,daily_std_load_lag_15_loadlag,daily_mean_load_lag_30_loadlag,daily_std_load_lag_30_loadlag,HE_num_loadlag,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind,Battery storage,Geothermal,Pumped storage,Solar with integrated battery storage,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,cloudcover_mean,et0_fao_evapotranspiration,pressure_msl_mean,weathercode,cdd,hdd,year_month_start
2019-01,3186641114.2101665,23421.701868201686,18.31,11.483870967741936,2.903225806451613,1.0,23416.587682134188,2390.864893801499,23621.223003748713,2432.8042822891794,23848.80236947867,2493.702156647564,21917.05717216431,2675.895468703894,4287577.20459877,437767.3620550545,4325045.931986389,445446.4640871487,4366715.713851545,456596.86488216894,4013013.1682232847,489956.4603196827,10645.011465962882,10505.201401064418,2195.9045541404867,75.58405512068077,12.483870967741936,10645.011465962882,10505.201401064418,2195.9045541404867,75.58405512068077,23416.587682134188,2390.864893801499,23621.223003748713,2432.8042822891794,23848.80236947867,2493.702156647564,21917.05717216431,2675.895468703894,12.483870967741936,,,,,,,,,,,,,1.0690860338709678,5.412903225806452,-2.693548387096774,-2.788395956,1.678694711516129,-6.780972380645161,-3.8577957375806453,71.98951335483872,89.13197270967741,50.89638148387097,1.161290264516129,0.39999996290322587,0.5329032290322581,12.93567469032258,24.294192548387095,8.919354838709678,8.919354838709678,52.961021816129026,1.1088209641935485,1029.615575483871,0.0,16.930914032258066,2019-01-01
2019-02,3162785037.1894646,23678.468632689128,19.79,11.545634920634921,3.0,2.0,23707.528647640538,2276.112389190539,23577.23099171469,2290.2198397247,23364.057218546073,2291.732772073014,23477.00914495876,2380.092546126875,4679258.7805729415,449091.1364502889,4581804.784467501,444832.574776044,4441658.337263183,435359.7194315263,4298640.374441949,435794.9451958309,10842.316088687241,10572.112853607317,2184.432747657528,79.60711793033045,12.545634920634921,10842.316088687241,10572.112853607317,2184.432747657528,79.60711793033045,23707.528647640538,2276.112389190539,23577.23099171469,2290.2198397247,23364.057218546073,2291.732772073014,23477.00914495876,2380.092546126875,12.545634920634921,,,,,,,,,,,,,2.2634672489285714,6.007142857142857,-0.9375,-1.4906067657142859,2.4409865525,-5.212979516428571,-1.9908481687142856,75.45489003571429,91.17614560714286,56.30960032142857,0.7678571607142857,0.2642857067857143,0.35750000392857145,15.258797589285715,27.62999951785714,9.657142857142857,9.657142857142857,74.3616067857143,1.2288588775,1026.666060357143,0.0,15.736532892857143,2019-02-01
2019-03,3200743472.867261,22336.83572328898,19.26,11.5,3.193548387096774,3.0,22420.56542637955,2087.785874913013,22595.14716476852,2106.0837595386142,23119.268524877956,2158.0735312860456,23637.37119725531,2269.240353083981,4322112.909954442,402477.995964483,4379542.3220430575,408215.1126642766,4513193.777067336,421381.9634338958,4651587.583726171,446363.6141915134,10269.545484060865,9996.552391201014,2011.7870195396201,58.95101082201591,12.5,10269.545484060865,9996.552391201014,2011.7870195396201,58.95101082201591,22420.565426379548,2087.785874913013,22595.14716476852,2106.0837595386142,23119.268524877956,2158.0735312860456,23637.37119725531,2269.240353083981,12.5,,,,,,,,,,,,,10.414852070967742,15.454838709677418,5.808064516129033,7.448336635483871,12.400802877419355,2.7523718906451613,3.839583150645161,66.5594939032258,89.14626899999999,42.56450790322581,0.864516129032258,0.864516129032258,0.0,19.144427741935484,35.60516074193548,15.757096774193549,15.757096774193549,53.00537618806452,2.7434660161290325,1019.1535,0.0,7.585147967741936,2019-03-01
2019-04,2952719043.965953,22821.36155912596,17.969999999999995,11.5,2.8333333333333335,4.0,22713.524945310364,2306.6654652530547,22390.249743278608,2196.8381729446482,22110.57408154315,2140.7550183357557,22320.00269256677,2091.4736386220293,4090343.387004369,415466.98124923394,4089795.402104729,401052.8692517378,4114809.0212862324,398213.35636114195,4298832.51858836,402817.82279860287,10373.333384861744,10431.660646566066,1964.4128442163737,51.95452275345399,12.5,10373.333384861744,10431.660646566066,1964.4128442163737,51.95452275345399,22713.524945310364,2306.6654652530547,22390.249743278608,2196.8381729446482,22110.57408154315,2140.7550183357557,22320.00269256677,2091.4736386220293,12.5,,,,,,,,,,,,,15.138610949999999,19.825,11.291666666666666,13.512634683333333,18.8623942,9.12188902,10.03423625,73.29069546666666,90.5694002,53.91432933333333,2.2600000133333333,2.2600000133333333,0.0,19.717701283333334,35.783999200000004,16.166999999999998,16.166999999999998,60.37361111,3.0661327333333332,1014.3090396666666,0.17833328266666668,3.039722427333333,2019-04-01
2019-05,3186084545.5214376,22754.366105046094,18.82,11.5,3.0,5.0,22736.908658570504,2017.6112778209297,23189.327362610424,2135.306565994147,23365.302258228072,2287.886932155005,22841.04936142515,2299.2782217144413,4272636.892474124,379132.1830368044,4318429.0571956495,396985.4889147117,4301249.49887723,420624.00408573856,4110961.386672565,413779.35930087254,10413.940168401583,10318.10267353888,1973.0802909859824,49.24308445546305,12.5,10413.940168401583,10318.10267353888,1973.0802909859824,49.24308445546305,22736.908658570504,2017.6112778209297,23189.327362610424,2135.306565994147,23365.302258228072,2287.886932155005,22841.04936142515,2299.2782217144413,12.5,,,,,,,,,,,,,21.000067612903223,25.820967741935487,16.541935483870965,20.616301467741934,25.713378580645163,15.976427870967743,12.942607483870967,62.73890148387097,83.4782583548387,41.6743344516129,0.33548387419354836,0.33548387419354836,0.0,18.86695841935484,33.700644741935484,19.155483870967743,19.155483870967743,69.87365638709677,4.440454532258064,1011.3402135483872,3.185551440967742,0.1854837735483871,2019-05-01
2019-06,3913858203.179169,26171.95075147896,20.77,11.5,3.1666666666666665,6.0,26161.77708984273,3318.3241856194445,25292.430900056363,3113.577483919925,24356.197243884155,2729.4539517559233,22731.788860867597,2016.3375984429172,5418160.658844768,687751.7886664576,5153423.849420475,637411.1659296534,4843278.086294997,548667.4660573318,4278122.663615282,379474.736026957,12367.042749580145,11647.952203636576,2089.1389063909505,67.81671903759282,12.5,12367.042749580145,11647.952203636576,2089.1389063909505,67.81671903759282,26161.777089842733,3318.3241856194445,25292.430900056363,3113.577483919925,24356.197243884155,2729.4539517559233,22731.788860867597,2016.3375984429172,12.5,,,,,,,,,,,,,25.669930333333333,29.956666666666667,21.78666666666667,27.710467633333334,32.368298466666666,23.802031166666666,19.167082999999998,69.26535816666666,88.23089813333333,49.0207185,4.126666902999999,4.126666902999999,0.0,17.573475766666668,32.039999466666664,19.403666666666666,19.403666666666666,66.9166667,4.749100686666667,1005.1547260000001,7.669930346666666,0.0,2019-06-01
2019-07,4315965247.56237,29180.22413758337,19.88,11.5,2.806451612903226,7.0,28972.323424485392,4576.496976981988,27793.016049019086,4091.112809944859,26693.420195885097,3621.5713266976813,26208.358274779264,3397.868063441159,5766693.707167125,910847.0930553025,5576913.411986848,819567.8527547676,5417476.269654354,733489.4919874425,5435638.104079179,704469.3759467416,13063.98476256993,13671.041752063567,2366.0716815084297,79.1258738463582,12.5,13063.98476256993,13671.041752063567,2366.0716815084297,79.1258738463582,28972.323424485392,4576.496976981988,27793.016049019086,4091.112809944859,26693.420195885097,3621.5713266976813,26208.358274779264,3397.868063441159,12.5,,,,,,,,,,,,,27.83340025806452,31.25161290322581,24.85,32.45630364516129,36.17446525806452,29.29674519354839,23.47231222580645,78.33486532258065,92.69993774193549,61.17169064516129,4.477419391612903,4.477419391612903,0.0,14.666227241935484,27.847741516129034,18.593225806451613,18.593225806451613,65.5604834516129,4.260219458064516,1003.5955916129031,9.8334003,0.0,2019-07-01
2019-08,4473279826.679396,30396.72843944271,19.78,11.5,3.096774193548387,8.0,30418.054444784415,5312.807753029417,30382.31534681627,5233.082928809116,30595.58032630645,5258.35062511814,29300.62217341169,4635.823608088863,6017685.1160015045,1051030.785488949,6016813.882727233,1036332.5693248113,6066744.76492471,1042616.5202505913,5823962.626039261,921440.5697358722,13524.995303237713,14280.603905961154,2512.615226078897,78.51411486212264,12.5,13524.995303237713,14280.603905961154,2512.615226078897,78.51411486212264,30418.054444784415,5312.807753029417,30382.31534681627,5233.082928809116,30595.58032630645,5258.35062511814,29300.62217341169,4635.823608088863,12.5,,,,,,,,,,,,,26.41290248387097,29.51451612903226,23.620967741935484,30.219623677419353,33.644879193548384,27.060116225806453,22.50416670967742,80.33091693548387,93.42312087096774,63.93527116129032,5.358064532258064,5.358064532258064,0.0,16.632664970967742,31.041289516129034,18.041935483870965,18.041935483870965,54.16801038709677,3.8839000193548388,1005.5532251612902,8.412902516129032,0.0,2019-08-01
2019-09,4237606624.7503996,28501.524245025554,20.65,11.5,3.0,9.0,28722.29534549296,4391.649683113394,29756.74309691327,4895.303835685098,30322.864302760783,5238.455246963546,30375.521951275252,5348.911837092155,5922410.127692233,905238.2746075534,6079982.630738375,998894.6578847957,6129157.759315179,1058421.435546873,6008278.241962245,1058014.7613768287,12297.954150994967,13577.29132012924,2562.5577777106396,63.721059479389346,12.5,12297.954150994967,13577.29132012924,2562.5577777106396,63.721059479389346,28722.29534549296,4391.649683113394,29756.74309691327,4895.303835685098,30322.864302760783,5238.455246963546,30375.521951275252,5348.911837092155,12.5,,,,,,,,,,,,,22.930069633333336,26.861666666666668,19.421666666666667,24.596023733333332,28.5879489,20.6567374,17.831319266666664,74.48446876666667,91.14489736666665,54.13042573333333,0.3366666466666667,0.3366666466666667,0.0,15.078114833333332,27.58799955,17.285666666666668,17.285666666666668,34.99166672526667,3.66431517,1015.13473,4.930069586666666,0.0,2019-09-01
2019-10,2646255330.9787354,23871.106038272494,14.9,11.5,2.903225806451613,10.0,23877.47289782785,2829.441355901649,24652.65869194734,2980.741679300169,25288.025021755813,3095.4084930628496,28342.08797893856,4220.737797260665,3601384.315306364,426110.7216173338,4017762.7022592817,486815.58947366406,4514124.125394118,557298.370820632,5808943.022496332,867315.2394381306,10388.806953750194,11249.605476791176,2180.7082703760043,51.73735034329699,12.5,10388.806953750194,11249.605476791176,2180.7082703760043,51.73735034329699,23877.47289782785,2829.441355901649,24652.65869194734,2980.7416793001694,25288.025021755813,3095.4084930628496,28342.08797893856,4220.737797260665,12.5,,,,,,,,,,,,,16.65571219354839,20.720967741935485,13.12258064516129,15.793003983870967,19.917758451612904,11.765808151612903,11.183669516129033,71.56817103225805,88.49253551612904,51.984317354838716,0.7419354758064515,0.7419354758064515,0.0,15.267268477419355,27.82451585483871,11.68483870967742,11.68483870967742,54.59274208064516,2.3937499806451616,1020.655089032258,0.6630375767741935,2.0073253549032257,2019-10-01
