week_start,Estimated_Hourly_Cost_USD,CAISO Total,Monthly_Price_Cents_per_kWh,hour,dayofweek,month,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,daily_mean_cost_lag_1,daily_std_cost_lag_1,daily_mean_cost_lag_7,daily_std_cost_lag_7,daily_mean_cost_lag_15,daily_std_cost_lag_15,daily_mean_cost_lag_30,daily_std_cost_lag_30,PGE,SCE,SDGE,VEA,HE_num,PGE_loadlag,SCE_loadlag,SDGE_loadlag,VEA_loadlag,daily_mean_load_lag_1_loadlag,daily_std_load_lag_1_loadlag,daily_mean_load_lag_7_loadlag,daily_std_load_lag_7_loadlag,daily_mean_load_lag_15_loadlag,daily_std_load_lag_15_loadlag,daily_mean_load_lag_30_loadlag,daily_std_load_lag_30_loadlag,HE_num_loadlag,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind,Battery storage,Geothermal,Pumped storage,Solar with integrated battery storage,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,cloudcover_mean,et0_fao_evapotranspiration,pressure_msl_mean,weathercode,cdd,hdd
2022-08-08,35.63882680912588,28267.410920138886,26.49,6.059523809523809,3.0,8.0,31981.197526713375,5155.734259629428,31840.79748248388,4736.027846614889,30569.42529550058,4135.7287184049865,30262.976107132527,4570.051011475103,0.21082508574445075,0.0067878772717864235,0.21678572803291687,0.006402096801401987,0.21914920528266973,0.004936215638081598,0.20849830130722982,0.003421697482035777,11815.281187996032,13756.654206349207,2619.9524665178574,75.52504712301587,7.5579117063492065,11601.379523809523,13553.325595238097,2584.3932142857143,75.11684523809524,32016.964159226187,5068.8057292852345,31676.378878968255,4729.449105399348,30528.641979166667,4146.667331237702,30127.67827132936,4548.631903744865,7.541666666666666,,,,,,,,,,,,,31.54523685714286,35.06428571428571,28.564285714285717,38.64863057142857,42.334639,35.21403685714286,26.974106857142857,77.73188585714286,90.08651657142858,59.86240885714286,0.22857144285714284,0.22857144285714284,0.0,13.69018257142857,26.177142285714286,20.91,20.91,87.08928628571428,4.947711685714286,1003.7744385714285,13.545236928571429,0.0
2022-08-15,34.60130109351708,27444.483557787695,26.49,2.6369047619047623,3.0,8.0,32515.30820942874,5212.404325465672,32082.469222263557,5285.695100071979,31736.116492177167,4693.040575580048,31558.495247395833,4775.85624968816,0.21059065631541665,0.0033736167612571236,0.21226197838550012,0.006668740456939783,0.21938049385839828,0.00642264491554235,0.21560690056182535,0.004565008805235789,12410.708643353175,12489.75978298611,2473.292922867063,70.72435143849206,4.114087301587301,12479.134702380952,12613.05755952381,2491.526369047619,71.1889880952381,32709.471666666668,5302.619083234613,31901.191656746032,5155.220365831618,31832.200091765873,4616.754062401909,31845.623720238094,4875.390698141359,3.9285714285714284,,,,,,,,,,,,,29.408928428571432,32.857142857142854,25.87142857142857,34.64262542857143,38.77356771428572,30.010583285714286,25.12648742857143,78.48895571428571,89.83704114285715,62.638395714285714,13.714284857142857,13.714284857142857,0.0,18.109846,31.731428285714287,20.488571428571426,20.488571428571426,71.071428,4.786886271428571,1004.059542857143,11.408928428571429,0.0
2022-08-22,25.088972649145745,27332.33530753968,26.49,3.0952380952380953,3.0,8.0,31680.608739097635,4956.353257409272,32541.472046389303,5228.022443781447,32116.765695167825,5173.920535625659,30221.8652207858,4137.721467639455,0.20181784354588864,0.00621455826892254,0.2073214567634277,0.0032317390595062367,0.21165827735217096,0.006355442043543422,0.2165187684834015,0.006473955297842883,12210.307858382936,12577.238178323414,2477.0851649305555,67.70758432539682,4.44655257936508,12261.591964285713,12661.280863095237,2485.8884523809525,68.54839285714286,31722.42476190476,4965.120562454135,32758.206713789685,5317.447323021865,32018.77063244048,5111.7518178745395,30149.24599454365,4146.173644392154,4.336309523809524,,,,,,,,,,,,,24.63571357142857,27.928571428571427,21.564285714285717,26.902791857142855,30.293929714285717,22.67082871428571,19.908333571428575,75.73830157142856,89.909486,59.73069828571429,4.471428671428571,4.471428671428571,0.0,21.25078985714286,37.645713428571426,16.338571428571427,16.338571428571427,77.71428542857143,3.7923304285714283,1009.8291757142857,6.635713642857143,0.0
2022-08-29,35.098462432453154,32644.739616815474,26.187142857142852,7.892857142857143,3.0,8.571428571428571,34316.10093760334,5940.787466754357,31455.554140366654,4859.753974410285,32553.41847537409,5495.428752956003,31735.875878699568,4514.173787328922,0.24156751416925257,0.009507625998794,0.20172111875519985,0.00700336697774132,0.21130826881140674,0.0029784467591943086,0.22239618228115415,0.006594359150147903,12508.90631076389,16990.72140500992,3056.5100520833334,88.60017609126984,9.286334325396824,12615.606755952382,17140.867202380952,3053.3610416666666,88.62434523809523,34138.852302827385,5955.6048976505745,31715.67485243056,4938.925705320916,32714.351101190474,5483.960657249847,31899.777253224205,4598.34753821427,9.702380952380953,,,,,,,,,,,,,22.759822142857143,25.964285714285715,20.15,24.955376142857144,28.367292428571428,21.569410285714287,19.513690285714286,82.74109571428572,93.11829214285714,66.33399342857142,3.0428570000000006,3.0428570000000006,0.0,16.458118928571427,28.64571342857143,15.457142857142857,15.457142857142857,71.875,3.14604878,1012.1113314285714,4.759822042857143,0.0
2022-09-05,39.831231995131134,31942.808663194442,25.959999999999997,5.7440476190476195,3.0,9.0,36215.812044012484,5338.024556117577,35715.4638016183,6386.553352673521,31317.531392350782,4796.937483155847,31874.097321325233,5017.353068209848,0.2405766266846047,0.009066372020239574,0.24739315516500088,0.007512806236337349,0.2020324536871375,0.006091108755299525,0.21091623576164698,0.006521017379188961,13971.369580853174,14981.8065203373,2919.5104724702383,70.12092881944444,7.243303571428571,14076.138779761905,15168.543482142855,2934.453690476191,70.17005952380953,36328.00456845238,5549.231404639834,35043.11904885913,6128.518998523783,31325.109334077384,4797.184442308307,31521.486102430554,4952.802093836792,6.866071428571429,,,,,,,,,,,,,23.82291571428571,28.050000000000004,19.792857142857144,26.398433571428573,30.821530142857142,22.015276857142855,19.161309,76.7411707142857,94.30400657142857,52.95117114285715,0.028571428571428577,0.028571428571428577,0.0,11.520574142857143,21.2399995,19.262857142857143,19.262857142857143,43.32142904285714,3.9509886,1014.3113214285714,5.822915728571429,0.0
2022-09-12,21.864478516439682,24149.412455357142,25.96,2.755952380952381,3.0,9.0,27513.53533301298,2789.0544044563726,35535.255089544065,4964.755148009827,34638.15034815228,6072.389495255203,32671.39150070271,5381.4774910466385,0.18838272282765142,0.004709735798670141,0.2378956771064673,0.009171929546430284,0.24351470281763063,0.008317915613672303,0.2115395967587155,0.003994434741467822,10705.697707093253,11144.389890873015,2250.4950508432544,48.82898189484127,4.096106150793651,10872.159345238095,11384.181279761904,2296.7181547619048,50.088035714285716,28112.837204861113,2908.8431991261864,36428.18855654762,5457.721835522317,33947.48885168651,5883.232050547677,32747.371204117062,5557.638630365393,4.339285714285714,,,,,,,,,,,,,23.404762428571427,26.485714285714288,20.61428571428571,25.126055857142855,28.571516142857142,21.323212714285717,19.562201999999996,79.92187200000001,92.93528157142858,66.023283,3.8428571428571425,3.8428571428571425,0.0,21.927812,37.13142799999999,15.317142857142857,15.317142857142857,42.45238124285714,3.3449248857142857,1009.44887,5.404762285714286,0.0
2022-09-19,21.698481552359603,23896.55271701389,25.96,1.9166666666666667,3.0,9.0,26790.552429522155,3519.5317113239844,26570.468296027608,2585.7430352586775,36305.123134145586,5340.584936013379,31735.23878756407,4994.183547127193,0.1738860520208955,0.004697568560257927,0.18194124250411872,0.004046440891689506,0.24208393660024793,0.00939636604114378,0.2029897425894587,0.004899405064298944,10577.664175347221,10996.391469494049,2276.0661185515874,46.43030009920635,3.1841517857142856,10541.032380952382,10910.148482142857,2247.826130952381,45.819583333333334,26697.226501736113,3406.7092039238487,26875.895751488097,2556.070831327225,37162.40239831349,5490.156434711294,31986.942998511902,5126.555687576371,3.005952380952381,,,,,,,,,,,,,19.84523742857143,23.407142857142855,16.514285714285712,19.403486571428573,22.984952142857143,15.60882657142857,12.719048428571428,65.551635,84.943722,44.525126428571426,0.0,0.0,0.0,17.691213428571427,31.268570571428572,15.792857142857143,15.792857142857143,71.16071371428572,3.5103865285714284,1016.7434771428572,1.8473205528571428,0.0020830971428571427
2022-09-26,29.092766316535123,26099.357291666667,25.90285714285714,6.386904761904761,3.0,9.285714285714286,28042.38734602348,4082.5834085336805,27615.123681382276,4021.198287662505,27559.92166067295,2786.3065882261544,33514.839153025794,5806.96072240476,0.19698031616573028,0.006676231042504728,0.17677718820815333,0.005331985589757887,0.18851572174516207,0.0046077628521055975,0.2348026553634823,0.008351824804824153,10929.725367063493,12636.108606150794,2474.406215277778,59.12240079365079,7.878968253968254,10783.669077380953,12454.339642857143,2446.915476190476,58.3797619047619,27903.247248263888,4047.0243499273442,27276.616256200396,3877.060622781126,27811.44173983135,2860.3701042221614,33258.13372643849,5639.1952098865195,7.714285714285714,,,,,,,,,,,,,23.417261,27.70714285714286,19.607142857142858,25.43167557142857,29.82016985714286,21.052767857142857,18.778869285714286,76.6542517142857,94.82843942857143,53.882758,2.914285871428571,2.914285871428571,0.0,16.388849285714286,28.697142285714285,16.158571428571427,16.158571428571427,59.607142857142854,3.4569443,1013.2030042857142,5.417261099999999,0.0
2022-10-03,35.94884605183865,24757.81828373016,25.76,4.404761904761905,3.0,10.0,26980.304697317297,3456.9173606254412,27296.55283688823,3732.5195581300654,26955.62156441179,3623.710382792655,37168.16269148893,5812.160432963518,0.21349779000804947,0.0073884685531850165,0.2018981843839327,0.006325127596542218,0.17418616545235,0.004526459358618157,0.24369066914000728,0.009395907132164477,10549.890384424603,11843.80361359127,2314.8523251488095,49.26951388888889,5.901289682539683,10533.497946428572,11896.124375,2317.8164583333332,50.04395833333333,26868.134170386907,3443.9052280684314,27480.85035962302,3835.3695558168192,26616.743283730157,3439.018412989357,37474.6400719246,5944.622067175194,6.175595238095238,,,,,,,,,,,,,14.999999642857144,18.57857142857143,11.521428571428572,13.06447357142857,16.993412,8.990203657142859,9.623214014285713,72.00786957142857,90.78152942857142,53.11233885714285,10.199998971428572,10.199998971428572,0.0,21.58208085714286,38.77714171428571,9.954285714285716,9.954285714285716,81.84523885714285,2.3601488571428573,1023.6357414285715,0.8624997857142859,3.8625002142857143
2022-10-10,29.902534181989353,23578.162806299602,25.76,4.928571428571429,3.0,10.0,25520.297841021824,2524.3016774269554,27043.742262318123,3410.9113209589427,28039.954244378307,3994.969999864388,28615.73015557829,3042.631964656256,0.2089421006533483,0.008602777068740703,0.21436454511099515,0.008081525860376757,0.19936067191230225,0.006716432796810083,0.19379782354182087,0.004909092406753505,10424.207460317459,10874.659272073413,2234.800203373016,44.501460813492066,6.475198412698412,10355.753363095238,10941.445595238096,2253.619642857143,44.08741071428572,25660.014935515872,2587.4197257310484,27058.70509424603,3478.2843952848843,28217.96632564484,4126.893869907034,29197.623680555556,3217.3191112081704,6.196428571428571,,,,,,,,,,,,,15.220534428571428,19.357142857142858,11.0,14.136633571428572,18.217589428571426,9.464948185714286,9.673213614285714,71.68754014285715,93.51270471428572,48.73347385714286,0.0,0.0,0.0,14.563286571428572,24.891427999999998,16.104285714285716,16.104285714285716,26.452381142857142,2.8410654285714285,1023.6095571428572,0.0,2.77946554
