period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-09-01T00,387,3409,10937,1476,1202,85,16539,1174
2024-09-01T01,394,3945,14085,1505,719,85,14299,1706
2024-09-01T02,395,5283,16533,1495,1976,85,10721,1958
2024-09-01T03,392,5905,18032,1489,6062,85,3498,2262
2024-09-01T04,392,5917,18308,1527,7046,85,203,2559
2024-09-01T05,387,5613,18409,1551,5173,83,-41,2867
2024-09-01T06,385,5314,17417,1555,3582,85,-37,2875
2024-09-01T07,384,5310,17022,1554,2304,86,-36,2630
2024-09-01T08,383,4864,16608,1553,723,86,-36,2502
2024-09-01T09,380,3787,15882,1550,757,86,-34,2321
2024-09-01T10,380,3452,15529,1545,366,86,-35,2026
2024-09-01T11,379,3339,14983,1546,317,86,-36,1723
2024-09-01T12,376,3152,14769,1548,205,86,-35,1410
2024-09-01T13,372,3135,14093,1548,320,86,-34,1393
2024-09-01T14,372,3286,13531,1548,428,86,9,1340
2024-09-01T15,380,3232,12412,1546,499,86,1041,1379
2024-09-01T16,381,2802,10981,1545,-1111,86,7341,1256
2024-09-01T17,379,2222,12703,1584,-4207,86,14646,1130
2024-09-01T18,377,1872,13702,1588,-5572,86,17146,1294
2024-09-01T19,376,1796,13526,1567,-5625,86,18031,1282
2024-09-01T20,381,1953,12185,1557,-4302,86,18387,1149
2024-09-01T21,383,2050,11299,1557,-2747,85,18412,1172
2024-09-01T22,383,2092,10399,1557,-897,85,18331,1218
2024-09-01T23,384,2748,10052,1558,-17,85,18007,1448
2024-09-02T00,385,3510,10855,1556,583,84,17153,1850
2024-09-02T01,383,4092,13801,1578,276,85,15557,2204
2024-09-02T02,383,5450,15788,1588,987,85,11131,2323
2024-09-02T03,386,6473,16852,1589,5983,85,3234,2508
2024-09-02T04,388,6493,17224,1598,6835,85,115,2781
2024-09-02T05,394,6229,16627,1666,5783,85,-23,2964
2024-09-02T06,387,5886,16612,1811,4447,85,-38,2807
2024-09-02T07,385,5561,15887,1983,2546,85,-37,2605
2024-09-02T08,384,5118,15867,2078,945,86,-40,2645
2024-09-02T09,378,3765,15242,2084,751,86,-41,2547
2024-09-02T10,376,3589,14125,2083,603,86,-32,2280
2024-09-02T11,376,3367,13246,2106,542,86,-22,2165
2024-09-02T12,374,3505,12648,2125,506,86,-22,1815
2024-09-02T13,372,3541,12359,2167,446,86,-22,1698
2024-09-02T14,374,3580,12309,2203,517,86,11,1582
2024-09-02T15,372,3256,11809,2205,583,85,929,1601
2024-09-02T16,373,2880,10327,2204,-813,87,7043,1509
2024-09-02T17,380,2539,11898,2217,-4645,86,14469,1482
2024-09-02T18,381,2250,12961,2233,-5406,85,17335,1678
2024-09-02T19,375,2405,11771,2244,-4424,86,18110,1738
2024-09-02T20,387,2320,11172,2247,-3575,86,18325,1591
2024-09-02T21,403,2355,10653,2247,-1956,86,18159,1616
2024-09-02T22,486,2515,9994,2247,-1044,86,17826,1709
2024-09-02T23,431,2964,9877,2248,110,86,17555,1814
2024-09-03T00,405,3268,11653,2246,753,84,16505,1719
2024-09-03T01,513,4632,14856,2241,-36,86,14503,1675
2024-09-03T02,589,5853,17052,2243,1848,86,10005,1649
2024-09-03T03,461,6655,18114,2247,6038,86,3027,1710
2024-09-03T04,402,6965,18523,2251,6598,85,50,2093
2024-09-03T05,391,6734,18013,2253,5203,86,-13,2641
2024-09-03T06,389,6162,17463,2254,3689,86,-8,2729
2024-09-03T07,385,5224,16493,2254,1889,86,-7,2604
2024-09-03T08,385,3903,16082,2254,730,86,-7,2348
2024-09-03T09,378,3108,15980,2250,420,86,-6,2056
2024-09-03T10,376,3073,14740,2250,240,86,-5,1550
2024-09-03T11,376,2991,14999,2249,122,86,-5,1045
2024-09-03T12,374,3074,15098,2249,-202,86,-5,743
2024-09-03T13,371,3118,14636,2248,411,86,-5,542
2024-09-03T14,376,2966,15442,2248,999,86,34,419
2024-09-03T15,389,2586,15478,2249,1780,85,938,356
2024-09-03T16,390,2108,15203,2248,-489,85,6948,256
2024-09-03T17,379,1919,17103,2247,-4472,86,14342,214
2024-09-03T18,384,1576,18528,2248,-5781,86,16923,236
2024-09-03T19,384,1500,18816,2250,-5628,86,17881,277
2024-09-03T20,459,1803,18751,2252,-4819,86,18038,431
2024-09-03T21,762,2149,17994,2248,-3306,86,18086,534
2024-09-03T22,957,2862,16828,2246,-924,86,17806,687
2024-09-03T23,925,3411,17261,2240,31,85,17406,754
2024-09-04T00,914,3819,18300,2238,659,85,16629,723
2024-09-04T01,1052,4828,19991,2239,624,85,15215,784
2024-09-04T02,1065,5722,22517,2239,2673,84,10785,1170
2024-09-04T03,1058,6906,23620,2241,6865,84,3290,1567
2024-09-04T04,1051,7092,23902,2242,6967,85,109,1735
2024-09-04T05,990,6724,22959,2244,5810,84,30,1987
2024-09-04T06,800,6186,21877,2248,3764,85,32,2283
2024-09-04T07,613,5455,21367,2251,2706,85,29,2151
2024-09-04T08,475,4617,20264,2251,936,85,31,1935
2024-09-04T09,437,3852,20222,2247,202,85,32,1883
2024-09-04T10,394,3611,19524,2248,-108,86,32,1565
2024-09-04T11,388,3608,19585,2249,-718,86,32,1151
2024-09-04T12,378,3382,19032,2250,-514,86,33,802
2024-09-04T13,379,3642,19079,2249,-316,86,43,537
2024-09-04T14,379,3841,19003,2249,675,86,89,419
2024-09-04T15,387,3813,19310,2250,924,85,909,340
2024-09-04T16,393,2905,20070,2248,-1715,86,6990,289
2024-09-04T17,392,2621,21727,2243,-5310,86,14302,221
2024-09-04T18,384,2112,22355,2242,-5601,86,16838,169
2024-09-04T19,394,2332,21891,2242,-5111,85,17794,82
2024-09-04T20,590,2826,21339,2246,-4051,84,18082,102
2024-09-04T21,868,3020,20346,2248,-2323,85,18236,126
