period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-08-01T00,383,3390,17872,2260,210,69,17749,570
2024-08-01T01,388,3898,18471,2262,535,73,16429,799
2024-08-01T02,387,4781,21781,2264,1157,87,12745,1184
2024-08-01T03,389,6340,22957,2264,4065,87,7180,1523
2024-08-01T04,392,6742,23540,2264,6399,86,1538,1834
2024-08-01T05,388,6488,23215,2264,6284,85,425,2080
2024-08-01T06,378,5841,21851,2264,5289,86,-6,2170
2024-08-01T07,361,5612,20568,2265,3110,86,-4,2390
2024-08-01T08,353,5117,19410,2265,1183,86,-5,2194
2024-08-01T09,352,4708,18929,2263,604,86,-3,1853
2024-08-01T10,352,4125,18479,2262,332,87,-3,1633
2024-08-01T11,351,3713,18145,2262,-16,87,-3,1468
2024-08-01T12,349,3534,18197,2263,-184,87,-5,1289
2024-08-01T13,359,3719,18194,2263,-189,87,-5,1358
2024-08-01T14,435,3951,18240,2263,126,87,79,1318
2024-08-01T15,437,3867,17894,2262,547,87,1325,1307
2024-08-01T16,445,3628,18371,2263,-1049,86,6151,983
2024-08-01T17,437,3346,19259,2262,-3287,87,11143,877
2024-08-01T18,445,3414,19211,2262,-4073,87,14079,784
2024-08-01T19,443,3524,18722,2261,-3535,87,14599,635
2024-08-01T20,462,3623,18776,2259,-3103,86,15408,645
2024-08-01T21,470,3820,17747,2258,-1218,86,14623,715
2024-08-01T22,487,3924,19089,2257,-222,86,13937,821
2024-08-01T23,469,5033,20301,2257,896,87,12449,868
2024-08-02T00,475,5793,23555,2258,-37,87,11456,902
2024-08-02T01,477,6299,25024,2261,-15,87,10648,906
2024-08-02T02,477,6910,25430,2263,1665,87,9111,941
2024-08-02T03,476,6925,26163,2264,3771,87,4615,1322
2024-08-02T04,469,6883,26434,2264,4479,86,626,1359
2024-08-02T05,465,6750,25671,2263,4378,85,-50,1650
2024-08-02T06,403,6390,24349,2262,3460,85,-50,1944
2024-08-02T07,361,5670,22353,2260,2711,85,-48,2263
2024-08-02T08,355,5057,21011,2260,1042,85,-49,2511
2024-08-02T09,351,4844,20002,2260,1002,84,-48,2410
2024-08-02T10,351,4454,18800,2260,463,87,-48,2534
2024-08-02T11,350,4119,18935,2260,-429,87,-49,2732
2024-08-02T12,350,4036,18909,2260,-565,87,-49,2378
2024-08-02T13,343,4137,18639,2260,54,87,-50,1674
2024-08-02T14,354,3640,18735,2261,1063,86,-5,1155
2024-08-02T15,355,3241,18944,2262,1147,87,883,1016
2024-08-02T16,346,3060,19754,2261,-445,87,4639,895
2024-08-02T17,373,2698,21241,2262,-1943,83,8179,646
2024-08-02T18,414,2608,21387,2262,-2038,86,9708,383
2024-08-02T19,422,2695,21750,2263,-2444,87,11485,442
2024-08-02T20,535,2607,21823,2263,-2087,87,13591,581
2024-08-02T21,619,2944,22989,2261,-1564,87,14229,413
2024-08-02T22,740,3486,23759,2261,-439,87,13253,409
2024-08-02T23,810,4274,25054,2263,-613,87,12270,941
2024-08-03T00,743,4716,26388,2264,-859,87,12306,748
2024-08-03T01,605,5466,26792,2263,-965,87,10821,1419
2024-08-03T02,510,5670,25885,2263,506,87,9069,1991
2024-08-03T03,417,6892,25504,2264,2971,87,4378,2299
2024-08-03T04,392,6896,24964,2263,4955,87,706,1997
2024-08-03T05,385,6895,24200,2261,4448,87,-46,2098
2024-08-03T06,377,6099,23468,2261,3295,87,-48,2873
2024-08-03T07,375,5849,21342,2262,2873,86,-44,2211
2024-08-03T08,368,5471,20302,2262,1519,86,-45,1612
2024-08-03T09,358,5085,19396,2261,961,87,-44,1018
2024-08-03T10,354,4724,18296,2260,681,87,-44,972
2024-08-03T11,351,4301,18055,2259,192,87,-44,945
2024-08-03T12,350,4216,17970,2259,-337,87,-44,918
2024-08-03T13,350,4057,17319,2260,-85,88,-44,761
2024-08-03T14,362,4219,16963,2260,123,87,89,576
2024-08-03T15,364,4006,16123,2259,-352,87,1843,539
2024-08-03T16,350,3471,15971,2259,-2718,88,8292,476
2024-08-03T17,357,2956,16469,2260,-4544,87,13832,452
2024-08-03T18,367,2931,16328,2260,-4628,87,16902,440
2024-08-03T19,375,3066,16162,2261,-4255,87,17979,398
2024-08-03T20,381,2976,16075,2259,-3035,87,18207,345
2024-08-03T21,382,3236,15542,2259,-1463,46,18119,386
2024-08-03T22,385,3328,15423,2258,-354,50,18033,576
2024-08-03T23,384,4117,16187,2260,364,58,17654,933
2024-08-04T00,384,4932,18404,2260,256,82,16927,1361
2024-08-04T01,389,5394,19617,2260,342,86,16045,1941
2024-08-04T02,384,6067,21831,2260,676,86,13461,2402
2024-08-04T03,385,6690,22619,2259,3656,86,7133,2652
2024-08-04T04,382,7083,23198,2260,6878,86,1009,2540
2024-08-04T05,387,6957,22746,2260,6096,86,-61,2970
2024-08-04T06,385,6494,21512,2260,4590,86,-59,2926
2024-08-04T07,379,6048,20446,2261,2703,86,-56,2928
2024-08-04T08,421,5684,18828,2263,1298,86,-58,2850
2024-08-04T09,413,5030,17704,2262,989,87,-58,2681
2024-08-04T10,410,4212,17134,2260,147,87,-57,3009
2024-08-04T11,409,4062,15817,2261,151,87,-56,3037
2024-08-04T12,411,3875,14621,2262,153,87,-56,2999
2024-08-04T13,411,3654,14022,2261,65,87,-57,2998
2024-08-04T14,411,3581,14161,2261,21,67,73,2993
2024-08-04T15,414,3354,13701,2261,40,46,1913,2608
2024-08-04T16,423,2815,14744,2261,-2870,66,9171,2177
2024-08-04T17,425,2297,15708,2262,-4980,86,15027,1649
2024-08-04T18,425,2293,15244,2263,-4324,87,17054,1300
2024-08-04T19,444,2443,14906,2262,-3352,87,17942,974
2024-08-04T20,444,2388,14506,2261,-1846,87,18282,901
2024-08-04T21,459,2851,14412,2261,-1300,87,18373,957
2024-08-04T22,468,2956,14103,2262,-24,87,18247,1048
2024-08-04T23,460,3469,15474,2264,463,87,17591,1236
2024-08-05T00,450,4234,17517,2264,217,87,17055,1599
2024-08-05T01,452,5095,20499,2263,191,87,15658,1893
2024-08-05T02,456,5958,22058,2264,1117,87,12782,2324
2024-08-05T03,453,6316,23541,2263,4594,87,6583,2951
2024-08-05T04,448,6607,24036,2263,7415,69,1012,3199
2024-08-05T05,454,6556,23554,2263,6517,46,-33,3504
2024-08-05T06,446,6024,22519,2264,4784,46,-54,3533
2024-08-05T07,459,5525,19777,2265,3421,46,-57,3357
2024-08-05T08,481,4764,18807,2264,1274,49,-57,3260
2024-08-05T09,414,4102,18398,2262,242,79,-56,3342
2024-08-05T10,411,3572,18286,2262,-100,86,-56,3420
2024-08-05T11,410,3717,18344,2262,-785,85,-55,3164
2024-08-05T12,408,3643,18424,2263,-1266,85,-55,3034
