period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-05-01T00,183,1736,7603,1145,-1726,39,16830,3717
2024-05-01T01,181,2444,7425,1146,-385,40,15267,3977
2024-05-01T02,182,4473,8760,1145,25,40,12733,4321
2024-05-01T03,287,6716,9066,1145,2418,40,6149,4449
2024-05-01T04,301,7352,10257,1145,6493,40,525,4609
2024-05-01T05,291,7461,10400,1145,6551,28,27,4690
2024-05-01T06,225,6944,9414,1146,6237,-1,57,4657
2024-05-01T07,187,6586,9153,1145,3465,-1,58,4663
2024-05-01T08,186,5593,9386,1145,1506,-1,64,4607
2024-05-01T09,203,5193,9048,1145,970,-1,31,4386
2024-05-01T10,231,4839,8453,1145,506,-1,-2,4120
2024-05-01T11,234,4779,8169,1145,305,-1,9,4430
2024-05-01T12,235,4888,7867,1146,478,-2,22,4485
2024-05-01T13,251,5264,8040,1145,470,-2,15,4332
2024-05-01T14,250,5459,8772,1146,939,-4,188,4294
2024-05-01T15,190,5255,8987,1146,1225,-3,2729,4363
2024-05-01T16,184,4026,8338,1146,-200,-3,10674,4091
2024-05-01T17,225,2811,7995,1145,-826,-3,15433,4012
2024-05-01T18,189,2097,8483,1145,-1575,-3,16346,3621
2024-05-01T19,216,1837,9278,1146,-2872,-3,16966,3354
2024-05-01T20,188,1736,9665,1145,-3514,-3,17064,3265
2024-05-01T21,199,1749,9864,1145,-3954,-3,16860,3080
2024-05-01T22,203,1667,9537,1145,-3795,-3,16626,3328
2024-05-01T23,186,1678,9342,1146,-3362,-3,16449,3855
2024-05-02T00,184,1998,7889,1146,-1518,-3,15425,4007
2024-05-02T01,183,2606,7698,1146,-813,-3,14286,4074
2024-05-02T02,183,4414,8191,1146,514,-3,12202,4109
2024-05-02T03,182,6477,8740,1146,1905,-3,5862,4304
2024-05-02T04,182,6991,9926,1146,5339,2,470,4400
2024-05-02T05,182,6990,9933,1146,5360,27,-13,4536
2024-05-02T06,182,6174,9642,1145,4902,47,-4,4513
2024-05-02T07,183,5931,9030,1146,3703,56,2,4236
2024-05-02T08,183,5401,9206,1145,1335,66,14,4156
2024-05-02T09,182,5050,9005,1145,1556,69,14,4063
2024-05-02T10,183,4938,8655,1145,895,68,2,3998
2024-05-02T11,184,4907,8397,1145,699,69,22,4034
2024-05-02T12,183,4910,8499,1145,744,68,10,3879
2024-05-02T13,184,5153,8577,1145,1314,72,-4,3716
2024-05-02T14,241,5051,9280,1145,2207,80,159,3488
2024-05-02T15,246,4978,9298,1145,1801,81,2632,3081
2024-05-02T16,190,4806,7244,1145,298,82,10682,2602
2024-05-02T17,184,3466,7135,1145,-336,83,15711,2140
2024-05-02T18,183,3135,8044,1145,-1585,86,17396,1792
2024-05-02T19,183,2909,8167,1145,-2167,86,17931,1328
2024-05-02T20,183,2956,8835,1145,-3391,86,18274,1068
2024-05-02T21,182,2809,8203,1145,-3177,87,18049,1279
2024-05-02T22,183,2690,9062,1145,-3629,86,18242,1654
2024-05-02T23,197,2286,9005,1145,-3061,79,17152,2580
2024-05-03T00,198,2954,8947,1146,-2632,78,16242,3306
2024-05-03T01,186,3423,7667,1146,-596,82,14713,3946
2024-05-03T02,221,4600,8353,1145,592,87,12393,4079
2024-05-03T03,324,6542,9445,1146,2346,86,5729,4243
2024-05-03T04,498,7368,10768,1146,5169,84,591,4276
2024-05-03T05,491,7458,10814,1145,5285,86,88,4503
2024-05-03T06,395,6970,10077,1145,4372,86,86,4613
2024-05-03T07,349,6392,9486,1145,2784,85,94,4647
2024-05-03T08,388,5702,9436,1145,1237,84,85,4585
2024-05-03T09,265,5147,9054,1145,705,82,83,4556
2024-05-03T10,190,5044,8909,1145,484,82,84,4307
2024-05-03T11,191,4820,9013,1145,445,68,68,3938
2024-05-03T12,194,4909,8971,1145,467,54,58,3757
2024-05-03T13,235,5388,9201,1145,517,53,45,3888
2024-05-03T14,408,5088,9632,1145,1395,52,200,3752
2024-05-03T15,377,5065,9700,1145,1728,53,2655,3740
2024-05-03T16,243,4696,7353,1145,-38,55,10753,3357
2024-05-03T17,186,3501,7393,1146,-335,54,15781,3059
2024-05-03T18,244,3021,8276,1145,-1475,55,17178,2630
2024-05-03T19,190,2412,8492,1145,-1919,61,18012,2156
2024-05-03T20,183,2384,8904,1145,-2614,72,18072,1814
2024-05-03T21,182,2050,9965,1144,-3622,84,18021,2035
2024-05-03T22,182,1900,10119,1145,-3760,88,17793,2358
2024-05-03T23,183,2013,8595,1145,-2020,88,16182,2994
2024-05-04T00,183,2182,8028,1145,-917,88,15320,3656
2024-05-04T01,183,3040,7738,1145,-11,88,14306,4000
2024-05-04T02,182,4384,7784,1145,583,88,11877,4338
2024-05-04T03,181,6259,8605,1145,1984,89,6103,4850
2024-05-04T04,182,6870,9374,1145,5697,88,716,4800
2024-05-04T05,182,6966,9622,1145,5205,87,185,4775
2024-05-04T06,181,6428,9006,1145,4734,85,211,4947
2024-05-04T07,183,6407,8258,1145,3112,86,202,4833
2024-05-04T08,183,6065,7951,1145,1376,87,115,4778
2024-05-04T09,182,6156,7633,1145,741,87,134,4696
2024-05-04T10,183,5934,7578,1145,520,88,105,4433
2024-05-04T11,184,5835,7179,1145,232,87,109,4591
2024-05-04T12,185,5939,6222,1145,335,86,59,4534
2024-05-04T13,190,6202,6131,1145,310,86,49,4545
2024-05-04T14,324,5745,6177,1145,1042,86,191,4105
2024-05-04T15,235,5597,6824,1145,1064,85,2592,3695
2024-05-04T16,300,4093,7266,1145,-926,85,9605,3407
2024-05-04T17,266,3587,7546,1145,-1069,86,13990,3292
2024-05-04T18,193,3255,7140,1145,-1187,86,15281,3145
2024-05-04T19,183,3053,7515,1145,-1796,86,15704,3476
2024-05-04T20,183,2845,7986,1145,-1956,86,15392,3918
2024-05-04T21,182,2913,8358,1145,-2632,85,14313,4383
2024-05-04T22,182,3547,6707,1145,-1351,82,12978,4410
2024-05-04T23,183,3423,5773,1144,-380,86,11287,4450
2024-05-05T00,211,3655,5679,1144,434,86,9509,4780
2024-05-05T01,187,4328,6584,1144,756,86,7986,4982
2024-05-05T02,184,5326,6462,1143,1289,87,5469,4815
2024-05-05T03,183,6555,7124,1144,2484,86,1924,4361
2024-05-05T04,183,6839,7048,1144,4141,86,311,4338
2024-05-05T05,183,6995,7302,1144,3928,86,51,4138
2024-05-05T06,186,6832,7660,1143,3305,86,12,3660
2024-05-05T07,280,6618,7664,1143,1821,84,5,3401
2024-05-05T08,230,6253,7369,1143,733,87,7,3444
2024-05-05T09,217,5789,6555,1142,684,88,53,3988
2024-05-05T10,225,5350,6122,1142,443,63,121,4817
2024-05-05T11,192,5186,5666,1142,460,45,73,5273
2024-05-05T12,192,5216,5048,1142,397,45,83,5382
2024-05-05T13,204,5182,5186,1142,379,45,61,5197
2024-05-05T14,199,5137,4837,1143,813,45,208,4722
2024-05-05T15,177,4933,5545,1143,240,44,2212,4084
2024-05-05T16,174,3756,6272,1143,-689,44,8192,3728
2024-05-05T17,174,3011,6541,1144,-1549,53,11553,3464
2024-05-05T18,175,2068,6878,1144,-1845,80,11379,3664
2024-05-05T19,174,1782,8391,1143,-3646,86,12212,3807
2024-05-05T20,173,1744,8336,1143,-3961,86,12201,4006
2024-05-05T21,173,1679,8553,1143,-3900,86,12296,3914
2024-05-05T22,173,1659,8832,1143,-4076,86,12819,3648
2024-05-05T23,173,1666,7251,1142,-2416,79,11901,3587
2024-05-06T00,173,2013,5804,1142,-754,61,11143,3633
2024-05-06T01,175,2007,4912,1143,163,40,10933,4124
2024-05-06T02,175,3281,5279,1143,212,40,9939,4558
2024-05-06T03,175,5584,5018,1143,1442,40,5508,4668
2024-05-06T04,180,6676,4237,1143,5293,40,604,4114
2024-05-06T05,297,7114,4466,1143,5736,40,97,4442
2024-05-06T06,239,6532,4174,1143,4921,40,97,4588
2024-05-06T07,254,6239,4277,1143,2928,40,121,4710
2024-05-06T08,237,5941,4750,1143,1256,40,104,4760
2024-05-06T09,237,5669,5095,1143,398,40,85,4669
2024-05-06T10,265,5717,5462,1143,-69,40,77,4756
2024-05-06T11,265,5618,5557,1142,-320,40,63,4446
2024-05-06T12,255,5795,5181,1143,87,40,56,4036
2024-05-06T13,223,6018,5131,1143,818,40,34,3654
2024-05-06T14,255,5710,5772,1143,2177,41,266,3661
2024-05-06T15,191,5363,6188,1143,2700,40,3371,3486
2024-05-06T16,210,3860,6593,1143,42,40,11527,3093
2024-05-06T17,178,2333,7581,1143,-1728,40,15818,2393
2024-05-06T18,175,1915,7301,1144,-2010,40,16137,1839
2024-05-06T19,175,1876,8250,1143,-3413,40,16466,1376
2024-05-06T20,175,1867,8340,1143,-3633,40,16293,1183
2024-05-06T21,174,1865,8096,1142,-3333,40,15991,1248
2024-05-06T22,174,1865,6885,1142,-2612,40,15634,1540
2024-05-06T23,173,2059,6744,1142,-2082,40,14532,2329
2024-05-07T00,174,2195,5596,1142,-790,40,13088,2949
2024-05-07T01,174,2431,4850,1142,54,40,13042,3439
2024-05-07T02,174,3593,5537,1143,426,40,11947,4045
2024-05-07T03,175,5607,5254,1143,1618,40,6556,4823
2024-05-07T04,204,6538,5390,1144,5135,39,818,5099
2024-05-07T05,178,6728,5619,1144,5588,38,165,5079
2024-05-07T06,176,6131,5356,1144,5402,37,145,4926
2024-05-07T07,176,5727,5058,1144,3696,39,167,4867
2024-05-07T08,198,5694,5315,1144,1283,39,172,4901
2024-05-07T09,177,5686,4152,1143,840,39,157,5037
2024-05-07T10,175,5549,3814,1143,588,40,154,4847
2024-05-07T11,176,5498,3872,1143,337,40,133,4960
2024-05-07T12,176,5620,4279,1143,-20,40,129,4894
2024-05-07T13,175,6084,4043,1143,690,40,127,4517
2024-05-07T14,176,5644,4733,1143,1688,40,299,4086
2024-05-07T15,210,5434,5587,1143,2055,38,3306,3862
2024-05-07T16,178,3523,6669,1143,-234,40,10760,3508
2024-05-07T17,175,2558,8006,1144,-1717,40,13974,3273
2024-05-07T18,175,2297,8663,1144,-2482,40,14441,3577
2024-05-07T19,174,2223,9688,1144,-3690,39,14305,3737
2024-05-07T20,174,2181,10292,1144,-4434,39,14751,3872
2024-05-07T21,173,2074,9730,1144,-3439,38,14213,3779
2024-05-07T22,175,2079,8359,1144,-2280,38,13433,3932
2024-05-07T23,210,2224,7528,1144,-1418,38,12816,4015
2024-05-08T00,180,2240,6790,1144,-134,40,12818,3613
2024-05-08T01,232,2495,6867,1143,-42,39,13441,4135
2024-05-08T02,194,4150,6874,1143,554,39,11616,4444
2024-05-08T03,312,6025,6538,1144,1699,39,6481,4571
2024-05-08T04,424,6968,6220,1144,6105,39,800,4415
2024-05-08T05,398,7262,6012,1144,7230,39,134,4077
2024-05-08T06,260,7148,5969,1144,5870,38,81,3887
2024-05-08T07,176,6606,5481,1144,3829,37,77,4069
2024-05-08T08,175,6545,5764,1144,1471,38,103,4710
2024-05-08T09,175,6345,4871,1144,1063,39,136,5119
2024-05-08T10,174,6193,4566,1144,263,39,166,5327
2024-05-08T11,175,5889,4241,1143,207,39,247,5524
2024-05-08T12,174,6449,4269,1143,373,39,193,5173
2024-05-08T13,176,6707,5210,1143,787,39,171,4233
2024-05-08T14,220,6399,6423,1143,1940,39,382,3139
2024-05-08T15,205,5680,7189,1142,1659,37,3153,2305
2024-05-08T16,178,4122,7193,1142,-252,37,10400,2205
2024-05-08T17,175,2772,8377,1143,-1573,39,14325,2502
2024-05-08T18,177,2180,8987,1143,-2434,38,14557,2855
2024-05-08T19,176,1911,10274,1144,-3988,39,15291,2798
2024-05-08T20,175,1887,10631,1144,-4283,39,15089,2491
2024-05-08T21,174,1856,10403,1143,-4082,39,15011,2275
2024-05-08T22,174,1874,9577,1143,-3213,39,14851,2103
2024-05-08T23,174,1965,7946,1143,-1626,39,14203,2008
2024-05-09T00,174,2456,6767,1143,-477,39,14296,2115
2024-05-09T01,175,3092,7550,1143,117,39,15000,2148
2024-05-09T02,174,4274,8836,1143,197,38,13164,2145
2024-05-09T03,174,5994,9322,1143,2217,38,6776,2469
2024-05-09T04,193,7309,10280,1143,6407,38,994,2428
2024-05-09T05,177,7584,10948,1143,6717,35,294,2153
2024-05-09T06,176,7681,10858,1143,5685,36,193,2048
2024-05-09T07,175,7330,10184,1143,3540,35,161,1971
2024-05-09T08,174,7199,9926,1144,2228,37,151,1755
2024-05-09T09,173,6945,10104,1143,1095,38,143,1646
2024-05-09T10,173,6369,9848,1143,717,37,140,1645
2024-05-09T11,172,6086,9768,1143,461,36,150,1684
2024-05-09T12,173,6011,9776,1143,330,37,157,1764
2024-05-09T13,174,6287,9499,1142,423,37,164,2013
2024-05-09T14,175,6318,10332,1142,961,37,391,2095
2024-05-09T15,175,5183,10162,1142,913,36,3643,2061
2024-05-09T16,175,4282,8341,1143,-223,37,11607,2045
2024-05-09T17,175,3099,8372,1142,-739,37,15930,2153
2024-05-09T18,174,2541,9036,1142,-1769,36,17170,2501
2024-05-09T19,174,2545,9923,1142,-3155,35,18148,2504
2024-05-09T20,174,2451,10304,1142,-3626,35,17857,1968
2024-05-09T21,174,2450,10614,1142,-3882,35,18066,1658
2024-05-09T22,173,2530,9775,1142,-2608,35,17910,1400
2024-05-09T23,174,2564,9476,1142,-1956,36,17472,1209
2024-05-10T00,174,3049,8985,1142,-296,53,16996,1149
2024-05-10T01,183,3297,9109,1142,-160,66,16022,1097
2024-05-10T02,339,4334,11357,1142,-88,73,13734,1022
2024-05-10T03,440,6305,12516,1142,1778,82,6943,934
2024-05-10T04,363,7417,13850,1142,5793,85,788,932
2024-05-10T05,228,7735,14106,1142,5967,85,54,1120
2024-05-10T06,176,7611,13663,1143,5080,85,63,1200
2024-05-10T07,175,7514,12258,1143,3002,85,80,1356
2024-05-10T08,184,6826,11822,1143,1204,85,97,1483
2024-05-10T09,183,6534,11618,1142,968,84,70,1353
2024-05-10T10,183,6135,11250,1142,633,85,77,1363
2024-05-10T11,183,5755,10711,1142,367,85,97,1455
2024-05-10T12,183,5902,10385,1142,452,86,71,1555
2024-05-10T13,186,6648,10697,1142,507,85,38,1478
2024-05-10T14,262,6438,11089,1142,1043,85,200,1229
2024-05-10T15,267,5882,10552,1142,1296,85,3505,975
2024-05-10T16,197,4978,8012,1142,70,85,11807,825
2024-05-10T17,184,3380,8335,1142,-777,84,16010,748
