period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-09-01T00,14,202,296,3085,14991,2253,2,46,179,18450,399,1025
2025-09-01T01,54,210,305,4118,16163,2257,126,46,184,16546,406,1267
2025-09-01T02,78,210,310,5721,18039,2258,1334,46,181,12681,367,1858
2025-09-01T03,38,212,320,6199,18791,2258,7883,46,180,4171,328,2243
2025-09-01T04,81,211,329,5773,18954,2256,9045,46,170,218,210,2583
2025-09-01T05,74,215,328,5432,18434,2256,7993,46,0,-65,132,2420
2025-09-01T06,84,241,339,4939,18024,2259,6171,46,0,-61,69,2313
2025-09-01T07,98,215,345,4746,17922,2261,2875,46,0,-60,3,2329
2025-09-01T08,35,198,341,4126,17308,2263,1262,46,0,-58,0,2468
2025-09-01T09,-9,253,344,3478,16549,2262,847,46,0,-57,0,2643
2025-09-01T10,-10,271,344,3425,15385,2261,-162,46,0,-58,0,2672
2025-09-01T11,-11,282,344,3240,14593,2260,-374,46,0,-59,0,2350
2025-09-01T12,-10,301,346,2984,13534,2254,-194,46,0,-59,0,1853
2025-09-01T13,-11,321,346,2833,13259,2254,-54,46,0,-59,0,1598
2025-09-01T14,-4,324,341,2534,13510,2256,242,46,0,-19,12,1307
2025-09-01T15,-79,347,338,2467,13435,2256,99,46,0,952,178,1073
2025-09-01T16,-158,374,332,2406,13477,2258,-2432,46,0,7903,360,756
2025-09-01T17,-152,403,329,1777,16685,2259,-6532,46,0,16140,396,428
2025-09-01T18,-139,457,330,1571,17753,2260,-7558,46,0,18759,398,277
2025-09-01T19,-95,485,330,1602,17581,2259,-6969,46,0,19762,409,231
2025-09-01T20,11,517,327,1518,17823,2256,-6321,46,0,20072,413,263
2025-09-01T21,-3,466,342,2596,16322,2253,-4282,46,0,20012,413,351
2025-09-01T22,6,477,354,3276,14993,2253,-2360,46,0,19550,415,492
2025-09-01T23,27,474,351,3357,15015,2253,-259,46,206,19008,417,586
2025-09-02T00,-8,473,357,4096,16304,2255,177,46,202,18291,417,583
2025-09-02T01,33,474,359,4758,18740,2256,83,46,226,16389,413,666
2025-09-02T02,29,483,360,5762,21252,2254,3161,46,232,11105,341,967
2025-09-02T03,116,534,366,6385,22687,2255,7040,46,217,3504,341,1068
2025-09-02T04,88,482,366,6004,23098,2256,7423,46,230,216,307,829
2025-09-02T05,81,471,370,5930,22380,2257,7391,46,229,-14,262,846
2025-09-02T06,45,516,370,5604,22279,2258,5426,46,0,-35,12,929
2025-09-02T07,20,487,376,5381,21147,2258,2508,46,0,-50,0,930
2025-09-02T08,35,486,341,4685,20664,2259,588,46,0,-49,0,875
2025-09-02T09,-9,460,344,3746,19899,2258,619,46,0,-47,0,869
2025-09-02T10,-10,461,344,3123,20652,2256,-790,46,0,-48,0,1005
2025-09-02T11,-11,458,344,2914,21200,2251,-1776,46,0,-48,0,1281
2025-09-02T12,-10,457,346,2855,21557,2251,-2288,46,0,-48,0,1133
2025-09-02T13,-11,460,346,3106,21468,2254,-1933,46,0,-48,0,985
2025-09-02T14,-4,542,341,3057,20568,2256,-322,46,0,-15,7,636
2025-09-02T15,-79,498,338,2756,20803,2255,1159,46,0,562,104,521
2025-09-02T16,-158,466,332,2329,21752,2253,-580,46,0,3675,152,566
2025-09-02T17,-152,454,329,1978,23168,2252,-2275,46,0,8021,360,549
2025-09-02T18,-139,461,330,1851,23762,2254,-2361,46,0,9667,357,576
2025-09-02T19,-95,480,330,1855,25312,2252,-4324,46,0,11167,348,1302
2025-09-02T20,11,478,327,2078,25232,2251,-5004,46,0,12642,338,1981
2025-09-02T21,-3,499,342,2818,23688,2252,-3639,46,0,12668,314,2119
2025-09-02T22,7,513,354,3022,23439,2256,-2203,46,227,12206,310,2716
2025-09-02T23,27,491,351,3055,23767,2253,-1613,46,451,13597,264,3085
2025-09-03T00,-8,503,357,3769,24372,2249,-536,46,476,13615,170,2713
2025-09-03T01,33,517,359,5065,23834,2250,1511,46,477,11694,282,2349
2025-09-03T02,33,508,360,5504,24934,2251,4286,46,475,8601,267,2450
2025-09-03T03,112,486,366,5685,25740,2254,7012,46,477,2460,290,2115
2025-09-03T04,88,472,366,5780,25799,2255,6340,46,473,171,264,1737
2025-09-03T05,81,470,370,5455,25669,2255,5510,46,234,-40,112,1649
