period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-04-01T00,175,2042,6414,2264,-1824,75,8921,2163
2024-04-01T01,175,2423,5673,2263,-308,77,7476,2231
2024-04-01T02,173,3985,6040,2263,374,78,5123,2377
2024-04-01T03,173,5692,6413,2263,1540,76,1307,2050
2024-04-01T04,174,5887,7001,2264,3487,77,-22,1760
2024-04-01T05,174,5633,7248,2265,3687,77,-31,1857
2024-04-01T06,177,5445,7415,2266,3233,77,-30,1804
2024-04-01T07,115,5143,7190,2266,2047,77,-32,1664
2024-04-01T08,2,4610,7090,2266,1317,77,-14,1554
2024-04-01T09,0,4378,7203,2264,909,77,-5,1475
2024-04-01T10,0,4016,7282,2265,972,77,-13,916
2024-04-01T11,0,3981,7978,2267,589,77,-31,836
2024-04-01T12,0,4275,8215,2267,401,77,-46,830
2024-04-01T13,0,4375,8305,2267,533,77,-32,836
2024-04-01T14,0,4845,8972,2267,1357,77,-15,764
2024-04-01T15,0,4912,9323,2266,2555,77,341,958
2024-04-01T16,0,4263,9702,2267,1682,77,3700,933
2024-04-01T17,0,3196,8077,2266,415,77,9180,1020
2024-04-01T18,0,2365,7180,2267,-436,77,12572,1113
2024-04-01T19,0,2127,6864,2267,-685,76,13129,1308
2024-04-01T20,0,2080,7329,2268,-1707,77,13409,1240
2024-04-01T21,0,2054,7214,2267,-1957,77,13718,1129
2024-04-01T22,0,2035,7783,2266,-2674,77,13309,1216
2024-04-01T23,0,1983,7151,2267,-1992,77,12957,1355
2024-04-02T00,0,1941,6941,2267,-1516,77,12904,1458
2024-04-02T01,0,2311,6045,2264,-498,77,10815,1813
2024-04-02T02,0,3454,6632,2265,241,77,8358,2201
2024-04-02T03,0,5619,7477,2266,2060,77,3067,2487
2024-04-02T04,0,6123,8113,2268,3830,77,165,3049
2024-04-02T05,0,5768,7649,2268,3748,77,70,3394
2024-04-02T06,0,4970,7253,2268,3245,77,22,3157
2024-04-02T07,0,4280,7211,2267,1929,77,29,2935
2024-04-02T08,0,4196,7522,2268,1086,77,35,2645
2024-04-02T09,0,4137,7325,2268,839,77,61,2426
2024-04-02T10,0,3895,7664,2267,476,77,65,2277
2024-04-02T11,0,3727,7588,2266,741,77,59,1647
2024-04-02T12,0,3737,7606,2266,693,77,25,1513
2024-04-02T13,0,4132,7928,2266,1412,77,-31,1122
2024-04-02T14,0,4798,8768,2266,1727,77,-28,923
2024-04-02T15,0,4813,9152,2264,3139,77,504,786
2024-04-02T16,0,4009,8732,2265,1123,77,5856,597
2024-04-02T17,0,3203,8351,2265,-658,77,11868,567
2024-04-02T18,0,2292,8728,2265,-1881,76,13252,636
2024-04-02T19,0,2092,8646,2265,-2288,76,12833,652
2024-04-02T20,0,2045,9128,2266,-3393,76,12923,641
2024-04-02T21,0,1940,9375,2266,-3746,76,13384,602
2024-04-02T22,0,1882,9224,2266,-3573,76,13118,510
2024-04-02T23,0,1998,7865,2266,-2326,76,12228,546
2024-04-03T00,0,1935,6147,2265,-648,76,10769,466
2024-04-03T01,0,2463,5888,2264,398,76,9768,429
2024-04-03T02,0,3917,6753,2265,760,76,9199,475
2024-04-03T03,0,5778,8333,2265,2997,76,3659,704
2024-04-03T04,0,6108,8819,2266,5078,76,99,957
2024-04-03T05,0,5921,8778,2266,4613,77,-33,1188
2024-04-03T06,0,5227,7293,2267,3517,77,18,1686
2024-04-03T07,0,4681,6995,2268,2330,77,64,2083
2024-04-03T08,0,4413,7186,2267,1170,77,81,2302
2024-04-03T09,0,4035,6392,2267,716,77,69,2429
2024-04-03T10,0,3920,6012,2267,334,77,52,2402
2024-04-03T11,0,3930,5930,2268,189,77,47,2184
2024-04-03T12,0,3856,6170,2268,-7,77,77,2153
2024-04-03T13,0,4220,6048,2268,645,76,61,1834
2024-04-03T14,0,5076,6415,2268,1761,77,94,1608
2024-04-03T15,0,5273,7300,2267,3083,77,773,1340
2024-04-03T16,0,4514,7547,2265,999,76,6104,991
2024-04-03T17,0,3316,7578,2264,-281,74,12185,862
2024-04-03T18,0,2935,7606,2264,-835,74,13078,764
2024-04-03T19,0,2705,8038,2264,-1763,74,13361,712
2024-04-03T20,0,2659,8451,2265,-2912,72,13557,737
2024-04-03T21,0,2621,8607,2266,-3535,74,13643,964
2024-04-03T22,0,2388,8499,2265,-3266,74,13785,1153
2024-04-03T23,0,2303,7627,2267,-2006,74,13425,1464
2024-04-04T00,0,2248,7159,2267,-1028,75,12602,1842
2024-04-04T01,0,2743,6639,2263,-121,75,11684,1972
2024-04-04T02,0,4367,7386,2262,304,75,9714,2541
2024-04-04T03,0,5733,8661,2264,2520,74,3403,3099
2024-04-04T04,0,5776,9020,2265,4816,74,244,3350
2024-04-04T05,0,5458,8961,2265,4677,76,188,3418
2024-04-04T06,0,5499,9031,2267,4150,76,190,3301
2024-04-04T07,0,5291,8645,2267,2361,77,186,3055
2024-04-04T08,0,4659,8639,2267,917,77,183,2946
2024-04-04T09,0,4288,8795,2267,559,77,184,2856
2024-04-04T10,0,4103,8785,2268,288,77,169,3058
2024-04-04T11,0,4082,8664,2268,248,77,98,2952
2024-04-04T12,0,4320,8372,2267,451,77,58,2799
2024-04-04T13,0,4523,8637,2267,468,77,45,2753
2024-04-04T14,0,4970,8923,2268,1488,77,43,2719
2024-04-04T15,0,5179,9283,2267,2381,77,765,2224
2024-04-04T16,0,4695,9308,2267,1033,78,5156,2113
2024-04-04T17,0,4135,9330,2267,243,78,9896,1819
2024-04-04T18,0,3655,9254,2267,-106,78,11409,2221
2024-04-04T19,0,3062,10202,2266,-910,74,12384,2056
2024-04-04T20,0,2839,10745,2266,-2091,60,11984,2286
2024-04-04T21,0,3026,10927,2266,-2913,60,12474,2504
2024-04-04T22,0,2913,10098,2267,-2506,61,11130,2960
2024-04-04T23,0,3063,9102,2267,-1879,66,11668,3050
2024-04-05T00,0,2801,8564,2266,-1308,67,11403,3190
2024-04-05T01,0,3489,8103,2263,-686,69,9988,3088
2024-04-05T02,0,4229,8593,2262,245,69,8170,3114
2024-04-05T03,0,5729,9012,2263,2447,69,2865,3273
2024-04-05T04,0,6078,9325,2264,4989,69,125,2997
2024-04-05T05,0,5711,9477,2265,4501,70,25,2708
2024-04-05T06,0,5054,9740,2266,3679,70,-35,2666
2024-04-05T07,0,4725,9782,2266,2271,70,-40,2300
2024-04-05T08,0,4461,9560,2266,1009,70,-51,2128
2024-04-05T09,0,4486,8368,2266,402,70,-49,2066
2024-04-05T10,0,4252,7744,2266,482,70,-52,2014
2024-04-05T11,0,4154,7513,2266,242,70,-53,2103
2024-04-05T12,0,4190,7578,2266,303,70,-53,2144
2024-04-05T13,0,4217,7515,2266,724,70,-53,2105
2024-04-05T14,0,4933,7724,2267,1670,70,-34,2216
2024-04-05T15,0,4776,8229,2266,2496,70,582,2311
2024-04-05T16,0,4204,7499,2265,997,70,5389,2338
2024-04-05T17,0,3755,7925,2265,-584,70,10476,2438
2024-04-05T18,0,2920,6723,2265,-157,70,12040,2764
2024-04-05T19,0,2059,7368,2265,-990,71,12070,2943
2024-04-05T20,0,1983,8175,2265,-1949,72,11376,3187
2024-04-05T21,0,1800,9476,2265,-3285,71,11255,3216
2024-04-05T22,0,1645,9423,2265,-3227,73,11470,3220
2024-04-05T23,0,1767,8128,2265,-2171,72,10046,3114
2024-04-06T00,0,2350,7054,2265,-1605,73,9015,3167
2024-04-06T01,0,2673,6398,2266,-758,74,8326,2897
2024-04-06T02,0,3711,6348,2267,-37,75,5602,3747
2024-04-06T03,0,5864,6586,2266,2298,75,2338,3766
2024-04-06T04,0,6476,6908,2267,4104,74,-3,3484
2024-04-06T05,0,5912,6932,2267,4172,74,-50,3560
2024-04-06T06,0,5178,6990,2265,4059,75,-48,3803
2024-04-06T07,0,5017,6817,2265,2846,75,-24,3869
2024-04-06T08,0,4438,6994,2266,1499,74,-25,3685
2024-04-06T09,0,4347,6318,2266,730,74,-23,3705
2024-04-06T10,0,4120,6068,2266,726,73,-16,3420
2024-04-06T11,0,3762,5720,2266,724,74,-11,3617
2024-04-06T12,0,3910,5851,2267,520,75,-24,3688
2024-04-06T13,0,3898,6012,2267,830,71,-37,3609
2024-04-06T14,0,4569,6298,2267,1008,75,-17,3260
2024-04-06T15,0,4114,6133,2267,1841,75,832,2832
2024-04-06T16,0,3471,6241,2268,420,75,6339,2493
2024-04-06T17,0,2605,6817,2269,-1122,75,11038,1847
2024-04-06T18,0,1680,6746,2268,-808,75,11963,1422
2024-04-06T19,0,1150,7357,2268,-1429,75,11838,1102
2024-04-06T20,0,787,8056,2267,-2235,75,11857,796
2024-04-06T21,0,713,8806,2265,-3073,74,11799,649
2024-04-06T22,0,673,9683,2263,-3591,74,11358,721
2024-04-06T23,0,676,8713,2187,-2832,74,11117,776
2024-04-07T00,0,1138,7467,2029,-1933,74,10254,1022
2024-04-07T01,0,1691,6216,1867,-734,75,9160,1485
2024-04-07T02,0,3171,5516,1704,380,75,7776,1996
2024-04-07T03,0,5343,5210,1553,1960,74,3597,2474
2024-04-07T04,0,6335,5397,1466,5149,73,90,2594
2024-04-07T05,0,6285,5470,1384,5053,74,0,2721
2024-04-07T06,0,5846,5687,1322,4496,74,22,2929
2024-04-07T07,0,5290,5890,1261,2725,74,23,3115
2024-04-07T08,0,4861,6424,1206,1375,75,14,2838
2024-04-07T09,0,4895,7127,1142,1453,75,12,2579
2024-04-07T10,0,4805,7032,1140,1066,75,5,2590
2024-04-07T11,0,4742,7426,1140,466,75,20,2661
2024-04-07T12,0,4613,7746,1140,260,75,17,2628
2024-04-07T13,0,4536,7702,1140,1065,75,14,2727
2024-04-07T14,0,4389,7558,1140,1679,75,37,2730
2024-04-07T15,0,4117,6951,1141,2102,74,754,2664
2024-04-07T16,0,3364,6413,1141,695,74,5514,2414
2024-04-07T17,0,2192,7170,1141,-958,74,10303,2146
2024-04-07T18,0,1070,7687,1142,-1511,74,11336,1835
