period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-08-01T00,-150,218,383,2563,12762,2274,-1152,19,0,19492,436,1916
2025-08-01T01,-39,323,387,3394,12522,2275,-598,18,0,18276,436,2550
2025-08-01T02,51,460,383,5093,12710,2272,379,25,0,15911,427,2981
2025-08-01T03,134,489,382,6492,13938,2270,3570,38,208,9158,268,3196
2025-08-01T04,139,469,386,7150,14474,2269,9021,41,179,1601,262,3230
2025-08-01T05,158,431,392,7229,14524,2269,8641,46,178,147,255,3335
2025-08-01T06,85,303,398,6818,14128,2269,7481,46,221,102,92,3500
2025-08-01T07,14,214,406,6407,12852,2268,4174,45,231,-48,92,3711
2025-08-01T08,0,252,398,6427,12080,2269,1801,46,0,-48,4,3813
2025-08-01T09,-2,200,401,6205,10935,2270,277,46,0,-49,0,4280
2025-08-01T10,-1,209,403,4964,10162,2272,-87,46,0,-50,0,4323
2025-08-01T11,-2,211,403,4988,10235,2273,-35,46,0,-49,0,3685
2025-08-01T12,-5,212,412,4989,10336,2273,-104,46,0,-49,0,3350
2025-08-01T13,0,227,410,4862,10066,2272,104,46,230,-50,2,3269
2025-08-01T14,-2,324,410,4853,10237,2273,439,46,230,97,68,3021
2025-08-01T15,-107,264,403,4014,10207,2273,472,46,0,2620,414,2543
2025-08-01T16,-172,228,399,2687,10476,2271,-1627,46,0,11541,404,2112
2025-08-01T17,-158,214,393,2228,13867,2270,-4640,46,0,17729,403,1932
2025-08-01T18,-135,213,398,1593,16061,2271,-6112,46,0,19370,404,1538
2025-08-01T19,-13,213,400,1699,15400,2269,-5539,46,0,20323,440,1070
2025-08-01T20,-12,212,393,1567,15816,2268,-5606,46,0,20647,439,986
2025-08-01T21,2,229,398,1710,15011,2269,-4583,46,0,20731,402,1076
2025-08-01T22,22,229,395,1926,14687,2270,-3630,46,37,20558,440,1463
2025-08-01T23,17,227,391,1976,13206,2271,-1794,46,178,20099,409,1932
2025-08-02T00,-42,236,395,2611,12619,2272,-921,46,180,19783,434,2560
2025-08-02T01,0,345,392,3426,12528,2272,-594,46,180,18487,433,3198
2025-08-02T02,51,464,389,4745,12445,2273,100,46,232,15908,414,3728
2025-08-02T03,142,537,394,6180,12603,2269,3888,46,231,8943,282,3944
2025-08-02T04,164,485,395,6837,13194,2268,9496,46,231,1404,278,3954
2025-08-02T05,50,490,417,6887,13099,2268,9107,46,232,-49,239,4030
2025-08-02T06,112,470,430,6700,12741,2268,7224,46,234,-52,14,4221
2025-08-02T07,7,354,431,6713,11841,2268,4109,46,229,-49,6,4122
2025-08-02T08,0,234,439,6317,11511,2270,1545,45,0,-48,27,4268
2025-08-02T09,-1,214,438,5471,10986,2271,910,44,0,-48,0,4572
2025-08-02T10,-1,213,444,4985,10282,2272,518,46,0,-48,0,4663
2025-08-02T11,-2,212,446,4514,9983,2272,93,46,0,-48,0,4324
2025-08-02T12,-1,213,445,4167,9789,2273,-101,46,0,-48,0,4247
2025-08-02T13,-1,213,443,4045,9475,2274,-98,46,0,-49,1,4274
2025-08-02T14,-2,260,441,3506,9100,2275,211,46,0,90,44,4113
2025-08-02T15,-110,252,437,2963,8529,2273,-134,46,0,2398,405,3972
2025-08-02T16,-96,238,425,2239,9503,2270,-2316,46,0,10671,399,3603
2025-08-02T17,-172,213,429,1831,11354,2270,-4830,46,0,16864,399,3285
2025-08-02T18,-145,211,424,1670,12258,2270,-5977,46,0,18654,398,3305
2025-08-02T19,-4,214,430,1758,12944,2270,-6747,46,0,19975,399,2862
2025-08-02T20,-2,212,429,1635,12609,2270,-6460,46,0,20458,445,3029
2025-08-02T21,-46,213,431,1869,11762,2271,-5541,46,0,20594,399,3132
2025-08-02T22,-5,216,425,1966,10549,2273,-4086,46,0,20485,429,3385
2025-08-02T23,-4,215,422,2489,9283,2275,-2618,46,0,20182,426,3815
2025-08-03T00,-143,216,422,3014,8571,2272,-1283,46,0,19587,414,4112
2025-08-03T01,-32,219,423,3420,9438,2273,-1213,46,0,18650,437,4171
2025-08-03T02,52,285,425,4015,10041,2275,-395,46,5,15954,434,4629
2025-08-03T03,80,317,429,5630,10713,2275,3329,46,179,8839,290,4936
2025-08-03T04,94,316,430,5836,10688,2275,8685,46,178,1308,285,5387
2025-08-03T05,0,315,431,5801,10239,2273,9096,46,179,-50,227,5696
2025-08-03T06,16,268,431,5581,10607,2272,7617,46,0,-57,12,5540
2025-08-03T07,90,266,432,5423,10579,2272,4018,45,0,-52,1,5306
2025-08-03T08,99,216,430,5048,9749,2273,2206,45,0,-53,43,5268
2025-08-03T09,30,212,436,4844,9178,2274,1523,46,0,-51,0,5156
2025-08-03T10,-1,211,439,4191,8432,2274,705,46,0,-53,0,5014
2025-08-03T11,0,212,447,4040,7837,2274,113,46,0,-53,0,5218
2025-08-03T12,-1,212,446,3780,7679,2275,-116,46,0,-53,0,5244
2025-08-03T13,33,213,449,3716,7622,2275,-95,46,0,-51,1,5095
2025-08-03T14,118,212,454,3179,7141,2275,392,46,0,92,43,5053
2025-08-03T15,-79,212,452,2610,7054,2274,603,46,0,2316,400,4514
2025-08-03T16,-171,212,447,1885,9047,2275,-2695,46,0,10837,397,4001
2025-08-03T17,-171,212,440,1432,12579,2275,-6266,46,0,17063,311,3826
2025-08-03T18,-136,212,439,1893,13118,2274,-6949,46,0,18867,255,3417
2025-08-03T19,-110,212,435,2701,13103,2273,-7596,46,0,19593,345,3134
2025-08-03T20,-48,212,430,2675,12846,2273,-7268,46,0,19929,373,3371
2025-08-03T21,-2,213,421,2660,11362,2273,-5755,46,0,19883,376,3657
2025-08-03T22,0,212,415,2757,9119,2273,-3076,46,0,19569,401,3865
2025-08-03T23,0,212,413,3061,7563,2273,-1392,46,0,18989,423,4452
2025-08-04T00,-1,215,408,3153,7854,2274,-669,46,0,19249,429,4868
2025-08-04T01,17,275,418,3584,7988,2276,173,46,0,18164,426,4995
2025-08-04T02,89,359,416,4593,9600,2277,245,46,214,15011,393,4934
2025-08-04T03,146,455,422,5699,10475,2276,4229,46,231,8030,289,4888
2025-08-04T04,100,423,425,5857,11021,2276,9757,46,231,1175,284,4783
2025-08-04T05,94,298,428,5895,10702,2276,9557,46,229,-42,266,5032
2025-08-04T06,127,277,429,5673,10292,2276,8022,46,0,-33,12,5100
