period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-01-03T01,47.0,920.0,429.0,2664.0,8234.0,2269.0,537.0,46.0,0.0,8496.0,33.0,944.0
2025-01-03T02,-1.0,1098.0,429.0,3406.0,9029.0,2269.0,4176.0,46.0,0.0,1536.0,34.0,943.0
2025-01-03T03,22.0,1127.0,431.0,3829.0,10262.0,2268.0,5588.0,46.0,0.0,127.0,46.0,948.0
2025-01-03T04,25.0,1047.0,437.0,4087.0,9992.0,2268.0,5114.0,46.0,0.0,3.0,48.0,980.0
2025-01-03T05,12.0,1073.0,435.0,3946.0,10269.0,2268.0,4742.0,46.0,0.0,5.0,45.0,1015.0
2025-01-03T06,-1.0,1102.0,431.0,3863.0,10550.0,2269.0,3385.0,46.0,0.0,3.0,1.0,1069.0
2025-01-03T07,0.0,961.0,432.0,3585.0,10368.0,2270.0,2884.0,45.0,0.0,-48.0,0.0,1047.0
2025-01-03T08,1.0,787.0,435.0,3219.0,10228.0,2271.0,2284.0,45.0,0.0,-50.0,0.0,1032.0
2025-01-03T09,147.0,536.0,442.0,3227.0,10333.0,2271.0,1152.0,45.0,0.0,-51.0,0.0,1006.0
2025-01-03T10,149.0,394.0,443.0,3202.0,11191.0,2271.0,219.0,46.0,0.0,-50.0,0.0,933.0
2025-01-03T11,149.0,393.0,441.0,2910.0,11746.0,2270.0,-466.0,46.0,0.0,-51.0,0.0,770.0
2025-01-03T12,84.0,388.0,442.0,2846.0,11548.0,2269.0,-609.0,46.0,0.0,-51.0,0.0,707.0
2025-01-03T13,3.0,387.0,445.0,2849.0,11501.0,2269.0,-598.0,46.0,0.0,-51.0,0.0,562.0
2025-01-03T14,0.0,418.0,447.0,3100.0,11088.0,2269.0,-121.0,46.0,0.0,-51.0,0.0,566.0
2025-01-03T15,1.0,637.0,444.0,3123.0,10896.0,2268.0,962.0,46.0,0.0,-46.0,0.0,554.0
2025-01-03T16,22.0,873.0,446.0,3226.0,10928.0,2269.0,2575.0,46.0,0.0,175.0,0.0,578.0
2025-01-03T17,-22.0,928.0,446.0,2740.0,10426.0,2269.0,2493.0,46.0,0.0,1769.0,0.0,638.0
2025-01-03T18,-49.0,770.0,437.0,2477.0,10834.0,2269.0,680.0,46.0,0.0,5411.0,0.0,811.0
2025-01-03T19,-92.0,644.0,434.0,2304.0,10911.0,2270.0,-215.0,46.0,0.0,6947.0,0.0,1172.0
2025-01-03T20,-103.0,476.0,430.0,2188.0,10676.0,2270.0,-1147.0,46.0,0.0,9041.0,0.0,1404.0
2025-01-03T21,-97.0,408.0,426.0,2118.0,11513.0,2269.0,-2798.0,45.0,0.0,10463.0,0.0,1854.0
2025-01-03T22,-79.0,406.0,426.0,2002.0,11425.0,2269.0,-3064.0,45.0,0.0,10593.0,0.0,2422.0
2025-01-03T23,-83.0,580.0,426.0,1849.0,11223.0,2269.0,-2669.0,45.0,0.0,9906.0,1.0,2480.0
2025-01-04T00,-39.0,772.0,426.0,1944.0,11427.0,2270.0,-2384.0,46.0,0.0,8471.0,1.0,2409.0
2025-01-04T01,0.0,958.0,425.0,2650.0,9839.0,2269.0,-320.0,46.0,0.0,5156.0,32.0,2630.0
2025-01-04T02,67.0,1099.0,421.0,3349.0,9190.0,2266.0,2384.0,46.0,0.0,763.0,34.0,2916.0
2025-01-04T03,21.0,1109.0,431.0,3932.0,9358.0,2266.0,3315.0,46.0,0.0,-55.0,48.0,3826.0
2025-01-04T04,136.0,1136.0,426.0,3763.0,9406.0,2266.0,2698.0,46.0,0.0,-48.0,47.0,4296.0
2025-01-04T05,138.0,1147.0,427.0,3523.0,9405.0,2266.0,1695.0,46.0,0.0,-48.0,29.0,4654.0
2025-01-04T06,117.0,1124.0,427.0,3281.0,9093.0,2268.0,1359.0,46.0,0.0,-47.0,0.0,4765.0
2025-01-04T07,7.0,918.0,427.0,3008.0,9291.0,2269.0,1108.0,46.0,0.0,-48.0,0.0,5174.0
2025-01-04T08,0.0,740.0,427.0,2592.0,8907.0,2270.0,891.0,44.0,0.0,-49.0,0.0,4973.0
2025-01-04T09,0.0,596.0,432.0,2425.0,8714.0,2271.0,232.0,46.0,0.0,-48.0,0.0,5136.0
2025-01-04T10,0.0,491.0,437.0,2721.0,7167.0,2271.0,2103.0,46.0,0.0,-50.0,0.0,4947.0
2025-01-04T11,-1.0,460.0,429.0,2651.0,6908.0,2270.0,1752.0,46.0,0.0,-49.0,0.0,4669.0
2025-01-04T12,0.0,476.0,434.0,2615.0,6162.0,2270.0,1608.0,46.0,0.0,-49.0,0.0,4279.0
2025-01-04T13,0.0,538.0,440.0,2694.0,6225.0,2270.0,1228.0,45.0,0.0,-49.0,0.0,4083.0
2025-01-04T14,0.0,604.0,437.0,2877.0,6374.0,2269.0,988.0,45.0,0.0,-50.0,0.0,3859.0
2025-01-04T15,0.0,778.0,439.0,2837.0,6607.0,2268.0,1534.0,46.0,0.0,-47.0,0.0,3533.0
2025-01-04T16,6.0,813.0,439.0,2701.0,6853.0,2268.0,2328.0,46.0,0.0,168.0,0.0,3160.0
2025-01-04T17,-72.0,635.0,434.0,2549.0,6693.0,2267.0,1667.0,46.0,0.0,2530.0,0.0,3224.0
2025-01-04T18,-113.0,424.0,429.0,2156.0,8795.0,2267.0,-2521.0,46.0,0.0,9541.0,0.0,3937.0
2025-01-04T19,-106.0,391.0,420.0,1879.0,10882.0,2268.0,-4712.0,46.0,0.0,13259.0,0.0,3752.0
2025-01-04T20,-106.0,391.0,421.0,1748.0,11022.0,2270.0,-4581.0,46.0,0.0,13669.0,0.0,2666.0
2025-01-04T21,-138.0,391.0,422.0,1701.0,10711.0,2271.0,-4453.0,45.0,0.0,13502.0,0.0,1988.0
2025-01-04T22,-166.0,391.0,423.0,1738.0,10761.0,2271.0,-4657.0,45.0,0.0,12952.0,1.0,2499.0
2025-01-04T23,-83.0,399.0,420.0,1859.0,9803.0,2271.0,-3522.0,45.0,0.0,11656.0,0.0,2656.0
2025-01-05T00,17.0,580.0,422.0,1827.0,8589.0,2272.0,-2249.0,44.0,0.0,10613.0,1.0,2791.0
2025-01-05T01,71.0,806.0,424.0,2453.0,6300.0,2271.0,1703.0,45.0,0.0,5833.0,33.0,2433.0
2025-01-05T02,19.0,926.0,421.0,3466.0,6660.0,2270.0,4349.0,45.0,0.0,911.0,34.0,2373.0
2025-01-05T03,23.0,1010.0,424.0,3757.0,8017.0,2269.0,5973.0,45.0,0.0,24.0,48.0,1942.0
2025-01-05T04,15.0,1017.0,426.0,4142.0,8169.0,2268.0,5150.0,45.0,0.0,30.0,46.0,1771.0
2025-01-05T05,19.0,981.0,429.0,4168.0,8296.0,2267.0,3840.0,46.0,0.0,29.0,33.0,2416.0
2025-01-05T06,36.0,975.0,435.0,3999.0,7965.0,2268.0,3262.0,45.0,0.0,24.0,0.0,2889.0
2025-01-05T07,148.0,792.0,436.0,3664.0,8120.0,2269.0,3298.0,45.0,0.0,-44.0,0.0,2488.0
2025-01-05T08,89.0,650.0,433.0,3419.0,8716.0,2271.0,2400.0,43.0,0.0,-48.0,0.0,2041.0
2025-01-05T09,149.0,585.0,440.0,3248.0,9118.0,2271.0,1239.0,45.0,0.0,-48.0,0.0,1887.0
2025-01-05T10,89.0,499.0,438.0,3087.0,9148.0,2272.0,1365.0,45.0,0.0,-47.0,0.0,1778.0
2025-01-05T11,4.0,408.0,437.0,3036.0,9058.0,2272.0,1073.0,44.0,0.0,-48.0,0.0,1790.0
2025-01-05T12,-1.0,390.0,436.0,3015.0,8893.0,2272.0,647.0,44.0,0.0,-48.0,0.0,1679.0
2025-01-05T13,0.0,402.0,442.0,3037.0,8548.0,2270.0,711.0,46.0,0.0,-48.0,0.0,1406.0
2025-01-05T14,-1.0,432.0,439.0,3049.0,8439.0,2269.0,733.0,46.0,0.0,-48.0,0.0,1478.0
2025-01-05T15,0.0,604.0,439.0,2887.0,8514.0,2269.0,1449.0,46.0,0.0,-47.0,0.0,1439.0
2025-01-05T16,-3.0,762.0,443.0,2692.0,8615.0,2270.0,2262.0,46.0,0.0,190.0,0.0,1214.0
2025-01-05T17,-88.0,625.0,439.0,2585.0,8300.0,2269.0,862.0,46.0,0.0,2888.0,0.0,1288.0
2025-01-05T18,-115.0,438.0,434.0,2289.0,7664.0,2270.0,-1678.0,46.0,0.0,9670.0,0.0,1299.0
2025-01-05T19,-111.0,395.0,430.0,1807.0,9134.0,2272.0,-3617.0,46.0,0.0,12896.0,0.0,1333.0
2025-01-05T20,-105.0,391.0,427.0,1788.0,10081.0,2273.0,-4727.0,46.0,0.0,13736.0,0.0,1419.0
2025-01-05T21,-100.0,391.0,421.0,1771.0,10395.0,2273.0,-5281.0,46.0,0.0,14043.0,0.0,1323.0
2025-01-05T22,-89.0,390.0,426.0,1736.0,11087.0,2273.0,-5985.0,46.0,0.0,14113.0,0.0,1103.0
2025-01-05T23,-89.0,406.0,422.0,1742.0,10071.0,2273.0,-4995.0,46.0,0.0,14283.0,0.0,859.0
2025-01-06T00,-45.0,604.0,425.0,1808.0,9402.0,2273.0,-3345.0,46.0,0.0,13450.0,0.0,726.0
2025-01-06T01,-2.0,809.0,425.0,2499.0,7424.0,2272.0,563.0,46.0,0.0,8512.0,29.0,613.0
2025-01-06T02,0.0,1001.0,425.0,3263.0,7712.0,2271.0,4740.0,46.0,0.0,1686.0,33.0,570.0
2025-01-06T03,0.0,1122.0,430.0,3622.0,8644.0,2271.0,6127.0,46.0,0.0,96.0,46.0,593.0
2025-01-06T04,124.0,1141.0,429.0,4000.0,8557.0,2271.0,5862.0,46.0,0.0,5.0,48.0,568.0
2025-01-06T05,147.0,1126.0,434.0,4085.0,8519.0,2271.0,5589.0,45.0,0.0,-19.0,44.0,458.0
2025-01-06T06,80.0,1123.0,433.0,4123.0,8562.0,2269.0,4405.0,45.0,0.0,-23.0,1.0,508.0
2025-01-06T07,130.0,1124.0,434.0,3508.0,8930.0,2270.0,3324.0,45.0,0.0,-22.0,0.0,519.0
2025-01-06T08,0.0,955.0,433.0,3273.0,9298.0,2271.0,2034.0,45.0,0.0,-22.0,0.0,475.0
2025-01-06T09,94.0,745.0,437.0,3143.0,9841.0,2272.0,1077.0,45.0,0.0,-23.0,0.0,382.0
2025-01-06T10,0.0,583.0,437.0,2667.0,10196.0,2273.0,1016.0,46.0,0.0,-23.0,0.0,323.0
2025-01-06T11,0.0,539.0,439.0,2731.0,10174.0,2274.0,562.0,46.0,0.0,-24.0,0.0,304.0
2025-01-06T12,-1.0,537.0,438.0,2717.0,9779.0,2275.0,382.0,46.0,0.0,-24.0,0.0,269.0
2025-01-06T13,-1.0,576.0,444.0,2734.0,9396.0,2274.0,724.0,46.0,0.0,-21.0,0.0,223.0
2025-01-06T14,0.0,753.0,444.0,2782.0,9906.0,2272.0,959.0,46.0,0.0,-25.0,0.0,280.0
2025-01-06T15,-2.0,979.0,444.0,2733.0,10368.0,2274.0,1521.0,46.0,0.0,-21.0,0.0,560.0
2025-01-06T16,0.0,1123.0,442.0,3026.0,11285.0,2273.0,1995.0,46.0,0.0,286.0,0.0,884.0
2025-01-06T17,-1.0,988.0,442.0,2899.0,11280.0,2272.0,1220.0,46.0,0.0,3240.0,0.0,1057.0
2025-01-06T18,-93.0,797.0,437.0,2481.0,11065.0,2271.0,-1565.0,46.0,0.0,10682.0,10.0,1254.0
2025-01-06T19,-86.0,623.0,430.0,2110.0,10766.0,2271.0,-3381.0,45.0,0.0,14255.0,10.0,1901.0
2025-01-06T20,-81.0,447.0,428.0,2028.0,10719.0,2271.0,-3903.0,43.0,0.0,14643.0,0.0,2238.0
2025-01-06T21,-82.0,393.0,428.0,1983.0,11656.0,2271.0,-4869.0,45.0,0.0,14260.0,0.0,2444.0
2025-01-06T22,-88.0,393.0,426.0,1857.0,12284.0,2271.0,-5281.0,44.0,0.0,14146.0,0.0,2555.0
2025-01-06T23,-73.0,453.0,424.0,1781.0,10990.0,2271.0,-4196.0,45.0,0.0,13877.0,0.0,2481.0
2025-01-07T00,37.0,638.0,425.0,1845.0,10089.0,2271.0,-2697.0,46.0,0.0,12089.0,1.0,2531.0
2025-01-07T01,83.0,828.0,423.0,2452.0,8769.0,2272.0,715.0,46.0,0.0,7531.0,33.0,2387.0
2025-01-07T02,33.0,1019.0,427.0,3233.0,9072.0,2271.0,4178.0,46.0,0.0,1532.0,34.0,2083.0
2025-01-07T03,24.0,1152.0,431.0,3417.0,9752.0,2270.0,5953.0,46.0,0.0,114.0,47.0,2146.0
2025-01-07T04,15.0,1123.0,432.0,3798.0,9914.0,2269.0,4748.0,46.0,0.0,112.0,48.0,2234.0
2025-01-07T05,-1.0,1104.0,432.0,3858.0,10017.0,2269.0,3475.0,45.0,0.0,37.0,44.0,2688.0
2025-01-07T06,0.0,1113.0,431.0,3533.0,10101.0,2269.0,1788.0,45.0,0.0,-34.0,0.0,3514.0
2025-01-07T07,0.0,926.0,435.0,3156.0,10014.0,2269.0,1440.0,45.0,0.0,-39.0,0.0,3942.0
2025-01-07T08,0.0,747.0,434.0,2870.0,10729.0,2270.0,55.0,45.0,0.0,-40.0,0.0,4282.0
2025-01-07T09,-1.0,852.0,435.0,2835.0,10953.0,2271.0,-182.0,45.0,0.0,-39.0,0.0,3839.0
2025-01-07T10,-15.0,794.0,434.0,2702.0,10349.0,2272.0,217.0,46.0,0.0,-39.0,0.0,3646.0
2025-01-07T11,-15.0,710.0,438.0,2673.0,10205.0,2273.0,100.0,46.0,0.0,-39.0,0.0,3200.0
2025-01-07T12,-12.0,683.0,440.0,2507.0,10100.0,2274.0,158.0,46.0,0.0,-39.0,0.0,2640.0
2025-01-07T13,-10.0,687.0,439.0,2545.0,10196.0,2273.0,341.0,46.0,0.0,-40.0,0.0,2294.0
2025-01-07T14,2.0,796.0,439.0,2645.0,10182.0,2271.0,467.0,46.0,0.0,-40.0,0.0,2283.0
2025-01-07T15,171.0,979.0,441.0,2815.0,10132.0,2271.0,1420.0,46.0,0.0,-36.0,0.0,2406.0
2025-01-07T16,160.0,1100.0,433.0,3032.0,10538.0,2271.0,2666.0,45.0,0.0,77.0,0.0,2971.0
2025-01-07T17,7.0,960.0,434.0,2791.0,11112.0,2271.0,2843.0,46.0,0.0,1577.0,0.0,3246.0
2025-01-07T18,-43.0,749.0,425.0,2320.0,10035.0,2271.0,976.0,46.0,0.0,6871.0,0.0,3510.0
2025-01-07T19,-67.0,619.0,424.0,2096.0,8729.0,2271.0,-1368.0,46.0,0.0,10598.0,0.0,3990.0
2025-01-07T20,-75.0,499.0,420.0,1771.0,9700.0,2271.0,-2808.0,46.0,0.0,12018.0,0.0,4152.0
2025-01-07T21,-69.0,415.0,420.0,1750.0,10286.0,2272.0,-4179.0,46.0,0.0,12354.0,0.0,4316.0
2025-01-07T22,-62.0,427.0,419.0,1755.0,9774.0,2272.0,-4081.0,46.0,0.0,12673.0,0.0,4320.0
2025-01-07T23,-44.0,424.0,416.0,1808.0,9449.0,2271.0,-3585.0,46.0,0.0,12325.0,0.0,4242.0
2025-01-08T00,-35.0,616.0,404.0,1821.0,9521.0,2273.0,-2411.0,46.0,0.0,10527.0,1.0,3918.0
2025-01-08T01,61.0,821.0,419.0,2283.0,8148.0,2274.0,330.0,46.0,0.0,6761.0,33.0,3791.0
2025-01-08T02,122.0,1005.0,417.0,2989.0,8731.0,2274.0,3730.0,46.0,0.0,1212.0,33.0,3694.0
2025-01-08T03,22.0,1117.0,423.0,3109.0,9196.0,2271.0,5068.0,46.0,0.0,64.0,35.0,4165.0
2025-01-08T04,5.0,1093.0,417.0,3566.0,9266.0,2272.0,4068.0,46.0,0.0,29.0,0.0,4781.0
2025-01-08T05,0.0,1130.0,415.0,3504.0,9590.0,2271.0,2846.0,45.0,0.0,30.0,0.0,4661.0
2025-01-08T06,-1.0,1079.0,421.0,3441.0,9101.0,2270.0,2692.0,45.0,0.0,24.0,0.0,4550.0
2025-01-08T07,0.0,1048.0,419.0,3247.0,9025.0,2271.0,2168.0,46.0,0.0,-47.0,0.0,4351.0
2025-01-08T08,0.0,934.0,433.0,3126.0,8990.0,2265.0,1307.0,45.0,0.0,-48.0,0.0,4485.0
2025-01-08T09,-1.0,816.0,419.0,3037.0,8867.0,2263.0,1028.0,45.0,0.0,-50.0,0.0,4403.0
2025-01-08T10,-20.0,830.0,416.0,2645.0,9158.0,2262.0,368.0,46.0,0.0,-50.0,0.0,4241.0
2025-01-08T11,-25.0,701.0,420.0,2471.0,8779.0,2264.0,129.0,46.0,0.0,-51.0,0.0,3846.0
2025-01-08T12,-11.0,687.0,424.0,2509.0,8909.0,2270.0,-22.0,46.0,0.0,-51.0,0.0,3534.0
2025-01-08T13,-15.0,693.0,424.0,2538.0,9105.0,2275.0,-163.0,46.0,0.0,-51.0,0.0,3449.0
2025-01-08T14,1.0,642.0,423.0,2705.0,9258.0,2276.0,370.0,46.0,0.0,-51.0,0.0,3011.0
2025-01-08T15,158.0,759.0,422.0,2896.0,9745.0,2276.0,1088.0,46.0,0.0,-29.0,0.0,2311.0
2025-01-08T16,59.0,712.0,425.0,3264.0,10271.0,2273.0,2788.0,46.0,0.0,101.0,0.0,2012.0
2025-01-08T17,3.0,705.0,412.0,3035.0,10362.0,2271.0,3401.0,46.0,0.0,1684.0,1.0,1689.0
2025-01-08T18,-81.0,748.0,407.0,2373.0,10473.0,2271.0,751.0,46.0,0.0,6096.0,10.0,1481.0
2025-01-08T19,-82.0,607.0,416.0,1917.0,10287.0,2270.0,-1022.0,46.0,0.0,9415.0,10.0,1570.0
2025-01-08T20,-85.0,482.0,425.0,1736.0,11055.0,2268.0,-3171.0,46.0,0.0,11773.0,0.0,1932.0
2025-01-08T21,-91.0,399.0,417.0,1760.0,11092.0,2269.0,-4011.0,46.0,0.0,12601.0,0.0,1660.0
2025-01-08T22,-82.0,398.0,418.0,1715.0,11208.0,2268.0,-4499.0,46.0,0.0,13420.0,0.0,1646.0
2025-01-08T23,-150.0,519.0,420.0,1717.0,10900.0,2269.0,-4338.0,46.0,0.0,14080.0,0.0,1682.0
2025-01-09T00,-116.0,720.0,421.0,1764.0,10888.0,2270.0,-3826.0,46.0,0.0,13608.0,0.0,1533.0
2025-01-09T01,39.0,912.0,423.0,2248.0,9659.0,2272.0,-1008.0,46.0,0.0,9462.0,28.0,1385.0
2025-01-09T02,23.0,1046.0,425.0,3149.0,10363.0,2272.0,2126.0,46.0,0.0,1899.0,34.0,1225.0
2025-01-09T03,25.0,1056.0,423.0,3328.0,11166.0,2273.0,4053.0,46.0,0.0,159.0,48.0,1217.0
2025-01-09T04,15.0,1046.0,426.0,3580.0,11330.0,2273.0,3787.0,46.0,0.0,28.0,48.0,1270.0
2025-01-09T05,-17.0,1045.0,429.0,3643.0,11224.0,2273.0,3197.0,46.0,0.0,-36.0,43.0,1413.0
2025-01-09T06,0.0,1030.0,430.0,3754.0,11072.0,2272.0,2768.0,46.0,0.0,-48.0,0.0,1401.0
2025-01-09T07,2.0,848.0,433.0,3598.0,10988.0,2272.0,1714.0,46.0,0.0,-48.0,0.0,1345.0
2025-01-09T08,5.0,636.0,438.0,3354.0,10857.0,2271.0,1486.0,45.0,0.0,-48.0,0.0,1094.0
2025-01-09T09,0.0,498.0,432.0,3348.0,11079.0,2271.0,544.0,46.0,0.0,-49.0,0.0,1119.0
2025-01-09T10,0.0,458.0,438.0,2866.0,11314.0,2271.0,589.0,46.0,0.0,-49.0,0.0,1287.0
2025-01-09T11,0.0,398.0,440.0,2556.0,11054.0,2271.0,512.0,46.0,0.0,-49.0,0.0,1223.0
2025-01-09T12,-1.0,385.0,440.0,2518.0,11099.0,2272.0,198.0,45.0,0.0,-49.0,0.0,1322.0
2025-01-09T13,1.0,427.0,437.0,2421.0,11067.0,2272.0,325.0,46.0,0.0,-49.0,0.0,1161.0
2025-01-09T14,133.0,551.0,443.0,2719.0,11230.0,2272.0,612.0,46.0,0.0,-49.0,0.0,1072.0
2025-01-09T15,128.0,731.0,439.0,3103.0,11274.0,2273.0,1399.0,46.0,0.0,-46.0,0.0,1295.0
2025-01-09T16,84.0,768.0,441.0,3092.0,11327.0,2272.0,2861.0,46.0,0.0,225.0,0.0,1733.0
2025-01-09T17,-63.0,646.0,438.0,2936.0,10986.0,2270.0,2159.0,46.0,0.0,3565.0,0.0,1714.0
2025-01-09T18,-112.0,476.0,427.0,2249.0,10645.0,2269.0,-1578.0,46.0,0.0,11617.0,10.0,1850.0
2025-01-09T19,-108.0,402.0,425.0,1658.0,10819.0,2269.0,-2896.0,46.0,0.0,14845.0,10.0,1863.0
