period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-12-01T00,1120,1417,10528,2261,-1364,46,8074,359
2024-12-01T01,1118,1697,10465,2260,2092,46,3419,279
2024-12-01T02,1155,2871,11222,2260,3986,46,215,498
2024-12-01T03,1122,2986,11332,2260,5057,46,-18,692
2024-12-01T04,1093,2751,11790,2261,4303,46,-12,879
2024-12-01T05,1075,2600,11745,2260,3570,46,-13,841
2024-12-01T06,1065,2531,11587,2260,3221,46,-39,856
2024-12-01T07,1128,2355,11649,2262,2589,45,-39,882
2024-12-01T08,1097,2022,11505,2261,2111,45,-41,816
2024-12-01T09,924,1753,11712,2261,1492,46,-41,857
2024-12-01T10,777,1567,11402,2260,1219,46,-41,772
2024-12-01T11,698,1299,11493,2260,804,46,-41,680
2024-12-01T12,641,1260,11785,2261,346,46,-41,874
2024-12-01T13,629,1270,12143,2261,209,46,-42,757
2024-12-01T14,634,1286,12298,2260,186,46,-42,709
2024-12-01T15,746,1602,12248,2261,687,46,-31,671
2024-12-01T16,608,1583,12242,2262,1126,46,374,756
2024-12-01T17,429,1582,11838,2262,222,46,3158,687
2024-12-01T18,396,1536,11107,2262,-1096,46,6848,485
2024-12-01T19,393,1062,12780,2261,-3531,46,10481,403
2024-12-01T20,389,1193,13260,2261,-4879,46,12368,329
2024-12-01T21,391,1020,13165,2262,-5280,46,13497,308
2024-12-01T22,405,1097,13761,2261,-5759,46,13799,346
2024-12-01T23,594,1166,13263,2260,-4504,46,13519,320
2024-12-02T00,809,1162,13303,2260,-3043,46,12202,287
2024-12-02T01,975,1408,12176,2259,919,46,6551,225
2024-12-02T02,984,2675,14238,2259,3681,46,711,268
2024-12-02T03,941,2961,14171,2259,4928,46,12,320
2024-12-02T04,948,2664,14127,2260,5102,46,15,345
2024-12-02T05,939,2638,14445,2259,4179,45,17,332
2024-12-02T06,940,2568,14310,2260,3436,45,11,347
2024-12-02T07,965,2484,13880,2261,2690,45,-7,359
2024-12-02T08,1014,1753,13773,2261,1821,46,42,329
2024-12-02T09,1059,1665,14304,2260,755,46,-9,292
2024-12-02T10,1023,1653,14548,2260,595,46,-12,233
2024-12-02T11,967,1560,14578,2260,446,46,-44,206
2024-12-02T12,931,1491,14379,2261,309,46,-50,207
2024-12-02T13,961,1551,15049,2260,47,46,-50,216
2024-12-02T14,1052,1672,14441,2260,612,46,-50,202
2024-12-02T15,1060,1684,14576,2261,2082,46,-30,228
2024-12-02T16,910,2082,14702,2262,3599,46,511,214
2024-12-02T17,721,1894,14729,2261,846,46,4932,195
2024-12-02T18,581,1485,16056,2261,-3268,46,11405,158
2024-12-02T19,440,1065,14682,2261,-3642,45,13133,226
2024-12-02T20,428,1004,14422,2260,-4309,46,12823,251
2024-12-02T21,422,1065,14310,2260,-4863,46,12961,259
2024-12-02T22,430,1151,13877,2258,-4946,46,13135,315
2024-12-02T23,585,1209,12973,2257,-3647,46,12610,337
2024-12-03T00,775,1299,12948,2257,-2064,46,10733,330
2024-12-03T01,956,1881,13810,2258,612,46,5459,335
2024-12-03T02,1118,2434,15431,2259,3239,46,562,444
2024-12-03T03,1147,2488,15593,2259,4952,46,2,473
2024-12-03T04,1153,2463,15856,2258,4417,46,99,474
2024-12-03T05,1158,2303,16033,2257,3811,46,59,488
2024-12-03T06,1156,2263,15669,2258,3772,46,-33,507
2024-12-03T07,1149,2169,15690,2258,2807,42,-46,515
2024-12-03T08,1148,1980,15661,2260,1790,43,-48,544
2024-12-03T09,1175,1819,15448,2261,573,46,-48,540
2024-12-03T10,1150,1631,14417,2261,313,46,-49,497
2024-12-03T11,1144,1589,13621,2260,222,46,-49,477
2024-12-03T12,1136,1522,13825,2260,-127,46,-49,435
2024-12-03T13,1133,1438,13715,2260,163,46,-49,416
2024-12-03T14,1186,1655,14019,2260,582,46,-46,372
2024-12-03T15,1162,1749,14157,2260,1791,46,-38,305
2024-12-03T16,1125,2159,14414,2260,3966,46,409,303
2024-12-03T17,919,2114,14447,2261,1887,46,4086,322
2024-12-03T18,706,1676,13661,2262,-1600,46,9648,273
2024-12-03T19,592,1111,14230,2262,-3366,46,11870,296
2024-12-03T20,502,944,13800,2262,-4172,46,12251,362
2024-12-03T21,444,1106,14516,2262,-5016,46,12312,385
2024-12-03T22,525,1075,14387,2261,-4924,46,12659,399
2024-12-03T23,689,1026,13555,2260,-4265,46,12541,411
2024-12-04T00,906,1202,13141,2259,-2583,46,10780,417
2024-12-04T01,1108,1924,13483,2259,523,46,4860,434
2024-12-04T02,1143,2840,14210,2260,3488,45,500,495
2024-12-04T03,1146,2946,14223,2263,5402,46,41,509
2024-12-04T04,1147,3057,14474,2261,4993,46,5,516
2024-12-04T05,1146,3008,14664,2259,4004,46,-33,633
2024-12-04T06,1144,2835,14609,2259,3450,46,-33,731
2024-12-04T07,1140,2501,14473,2261,3226,43,14,742
