period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-02-01T00,221,2278,10302,2260,456,46,4428,1827
2024-02-01T01,299,3058,11042,2261,1605,46,2271,1758
2024-02-01T02,241,3596,13429,2261,1895,46,717,1757
2024-02-01T03,253,3818,14188,2260,2811,46,-53,2405
2024-02-01T04,246,4378,14054,2260,1818,46,-51,2895
2024-02-01T05,201,4112,13886,2259,1114,46,-50,3153
2024-02-01T06,207,3849,13290,2260,1005,46,-51,3397
2024-02-01T07,208,3561,13127,2260,720,46,-51,2725
2024-02-01T08,200,3091,12448,2260,-9,45,-51,2999
2024-02-01T09,198,2406,12013,2260,-94,46,-51,2606
2024-02-01T10,225,2294,11129,2260,-241,46,-50,2414
2024-02-01T11,199,2220,10658,2260,-507,46,-50,2379
2024-02-01T12,197,2273,10605,2261,-713,46,-51,2351
2024-02-01T13,196,2286,10426,2261,-604,46,-51,2053
2024-02-01T14,195,2575,10507,2261,12,46,-51,1973
2024-02-01T15,196,2370,11464,2260,955,46,-51,1908
2024-02-01T16,195,2973,13580,2261,2095,45,4,1807
2024-02-01T17,195,3406,13956,2261,2268,45,740,1824
2024-02-01T18,206,3395,14099,2259,2021,46,1855,1581
2024-02-01T19,330,3150,14141,2259,1287,45,3434,1408
2024-02-01T20,391,2733,14436,2260,-330,46,4647,1657
2024-02-01T21,419,2341,13994,2260,-637,46,4662,1698
2024-02-01T22,293,2055,14378,2260,-1058,46,5228,1808
2024-02-01T23,204,1967,14511,2260,-738,46,4543,1749
2024-02-02T00,203,2186,14764,2262,-277,46,3856,1759
2024-02-02T01,202,2497,14741,2260,409,46,2497,1741
2024-02-02T02,208,3986,15228,2259,1204,46,927,1445
2024-02-02T03,228,4455,15547,2259,3152,46,18,1446
2024-02-02T04,305,5048,15360,2259,2656,46,-24,1667
2024-02-02T05,294,4733,15101,2259,2398,46,-49,2159
2024-02-02T06,262,4355,15012,2259,2359,46,-49,1959
2024-02-02T07,262,3885,14210,2259,1495,46,-50,2135
2024-02-02T08,249,3199,13240,2259,567,46,-52,2348
2024-02-02T09,311,2607,12083,2260,444,46,-53,2436
2024-02-02T10,234,2752,10672,2260,854,46,-53,2659
2024-02-02T11,204,2569,10444,2260,400,46,-53,2723
2024-02-02T12,203,2425,10226,2261,106,46,-54,2806
2024-02-02T13,202,2486,9815,2261,275,46,-54,3045
2024-02-02T14,202,2695,10582,2260,221,46,-54,3193
2024-02-02T15,204,2722,10726,2260,1021,46,-51,3674
2024-02-02T16,287,3712,11248,2260,2248,46,236,3750
2024-02-02T17,215,3799,10916,2260,1469,46,3357,3367
2024-02-02T18,202,2864,9335,2259,-801,46,9545,3414
2024-02-02T19,202,2430,8690,2259,-1418,46,11867,3766
2024-02-02T20,202,1869,9758,2260,-2189,46,12406,3827
2024-02-02T21,201,2039,9764,2261,-2468,46,11968,3613
2024-02-02T22,201,2043,10399,2260,-3462,46,12044,4216
2024-02-02T23,201,1524,9901,2259,-2627,46,10991,3896
2024-02-03T00,202,1714,9313,2260,-1879,46,10196,3874
2024-02-03T01,219,2589,8637,2259,-159,46,8729,3977
2024-02-03T02,241,3737,10177,2260,1342,46,3251,3666
2024-02-03T03,333,4355,11553,2260,4676,46,116,3194
2024-02-03T04,287,5014,11801,2261,3906,46,45,3169
2024-02-03T05,244,5032,12022,2260,3047,46,82,3277
2024-02-03T06,297,4742,12075,2260,2255,46,72,3602
2024-02-03T07,219,4398,11298,2260,1426,46,56,3576
2024-02-03T08,204,3946,9967,2260,426,46,53,3565
2024-02-03T09,204,3625,8736,2261,452,46,7,3814
2024-02-03T10,202,3271,8214,2261,368,46,-5,4063
2024-02-03T11,201,2814,7832,2260,325,46,-5,4091
2024-02-03T12,201,2693,7583,2261,81,46,-4,4253
2024-02-03T13,202,2719,7092,2262,437,46,-4,4185
2024-02-03T14,202,2872,7295,2261,474,46,-4,4019
2024-02-03T15,203,2913,7353,2260,866,46,2,3835
2024-02-03T16,243,3508,7450,2260,2086,46,367,3540
2024-02-03T17,207,2940,7699,2260,1033,46,4143,2849
2024-02-03T18,203,2533,8605,2261,-1383,46,10134,2457
2024-02-03T19,202,1843,8540,2259,-1839,46,11173,2413
2024-02-03T20,202,1829,9113,2260,-2881,46,11943,1654
2024-02-03T21,202,1300,9033,2260,-2957,46,11660,1570
2024-02-03T22,201,1434,8770,2260,-2878,46,11285,1701
2024-02-03T23,205,1559,7766,2258,-1501,46,10156,1685
2024-02-04T00,330,1938,6830,2259,-224,46,9799,1697
2024-02-04T01,247,2649,7777,2260,984,46,6507,1804
2024-02-04T02,306,3631,9724,2260,2191,46,1817,1654
2024-02-04T03,377,4241,11670,2259,3328,46,17,1582
2024-02-04T04,340,4846,11719,2259,3286,46,16,1350
2024-02-04T05,292,4952,11759,2260,2591,46,7,1338
2024-02-04T06,234,4806,11335,2261,2432,46,5,1744
2024-02-04T07,379,4244,11612,2259,1579,45,4,2097
2024-02-04T08,384,3803,11152,2260,548,46,4,2239
2024-02-04T09,283,3232,10087,2261,440,46,5,2406
2024-02-04T10,207,3000,9889,2262,576,46,5,2216
2024-02-04T11,202,2644,9602,2260,591,46,3,2187
2024-02-04T12,202,2352,9930,2261,286,46,2,2052
2024-02-04T13,202,2175,9921,2262,479,46,2,1974
2024-02-04T14,201,2194,10178,2262,707,46,2,1994
2024-02-04T15,202,2078,10317,2263,925,46,3,1983
2024-02-04T16,203,3150,9019,2261,1305,46,124,2036
2024-02-04T17,203,2954,8923,2262,1153,45,1552,2120
2024-02-04T18,203,2652,9144,2262,83,45,4623,2142
2024-02-04T19,203,2471,9239,2261,-183,5,7008,1876
2024-02-04T20,202,2507,9481,2260,-933,-3,8253,1831
2024-02-04T21,201,2411,9903,2260,-1753,-3,8401,2023
2024-02-04T22,201,2187,9804,2260,-2138,-3,8923,2251
2024-02-04T23,218,2204,8820,2260,-1220,4,7972,1998
2024-02-05T00,315,2379,8847,2260,-123,10,6654,1669
2024-02-05T01,340,2709,9476,2261,513,25,4976,1659
2024-02-05T02,344,4083,10811,2262,1377,28,1691,1802
2024-02-05T03,483,4691,11341,2261,3159,35,127,1896
2024-02-05T04,536,5033,11228,2260,2652,43,34,1980
2024-02-05T05,469,5280,11427,2261,2648,40,14,1809
2024-02-05T06,414,5180,11512,2261,2025,37,-12,1615
2024-02-05T07,289,4724,11320,2261,1248,35,-19,1721
2024-02-05T08,208,3916,11222,2260,1079,36,-25,1598
2024-02-05T09,249,2940,11649,2261,444,34,-24,1578
2024-02-05T10,201,1987,12450,2261,115,32,-24,1509
