period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-01-01T00,263,2246,12835,2232,555,46,4527,98
2024-01-01T01,408,2682,13713,2233,1377,46,2186,137
2024-01-01T02,462,3677,14755,2232,1854,46,461,185
2024-01-01T03,412,4287,15141,2237,3227,46,-2,254
2024-01-01T04,320,4145,14940,2239,2505,46,-32,292
2024-01-01T05,417,3726,14783,2239,2356,46,-32,257
2024-01-01T06,341,3644,14816,2237,1616,46,-32,257
2024-01-01T07,281,3541,14679,2240,1538,46,-32,243
2024-01-01T08,275,2933,14855,2241,975,46,-22,435
2024-01-01T09,228,2698,14721,2242,840,46,-4,404
2024-01-01T10,222,2150,14346,2241,1237,46,-7,333
2024-01-01T11,221,2098,13878,2242,885,46,-2,371
2024-01-01T12,221,2038,13579,2241,591,46,-19,349
2024-01-01T13,221,2039,13351,2243,587,46,-28,333
2024-01-01T14,221,2253,13115,2243,640,46,-33,334
2024-01-01T15,220,2867,13007,2244,812,46,-33,350
2024-01-01T16,219,2909,13042,2243,1059,46,87,391
2024-01-01T17,219,2621,11971,2243,1003,46,1499,339
2024-01-01T18,219,2156,9957,2244,372,46,5630,238
2024-01-01T19,220,1788,9465,2244,-651,46,7784,194
2024-01-01T20,220,1371,10507,2244,-1950,46,9681,270
2024-01-01T21,221,1151,10907,2244,-2423,46,10027,332
2024-01-01T22,220,1088,10905,2243,-2424,46,10607,402
2024-01-01T23,220,1120,10676,2244,-2262,46,10690,465
2024-01-02T00,221,1439,9852,2243,-995,46,10266,408
2024-01-02T01,228,2027,10298,2242,775,46,6702,287
2024-01-02T02,268,3797,13010,2242,1746,46,1078,186
2024-01-02T03,333,4087,14477,2243,2784,46,-37,211
2024-01-02T04,330,4124,14821,2242,2745,46,-40,299
2024-01-02T05,362,3990,14963,2244,2425,46,-39,315
2024-01-02T06,431,3958,15103,2245,1750,46,-51,198
2024-01-02T07,313,3868,14710,2244,1753,47,-51,194
2024-01-02T08,225,3364,14408,2246,896,46,-50,249
2024-01-02T09,221,2666,13729,2248,697,46,-53,256
2024-01-02T10,220,2353,14115,2246,811,46,-48,253
2024-01-02T11,219,2165,14239,2246,522,46,-45,278
2024-01-02T12,219,2098,14044,2248,487,46,-49,318
2024-01-02T13,219,2191,14052,2248,556,46,-52,330
2024-01-02T14,223,2399,14110,2247,875,46,-55,292
2024-01-02T15,312,2640,14629,2247,1340,46,-57,255
2024-01-02T16,362,3224,14887,2246,2916,46,167,178
2024-01-02T17,342,3138,14195,2246,1995,46,2794,186
2024-01-02T18,242,2255,13339,2245,39,46,8417,278
2024-01-02T19,221,1732,13205,2245,-809,46,10616,361
2024-01-02T20,221,1657,13421,2245,-1115,46,10256,311
2024-01-02T21,220,1566,13577,2245,-1685,46,10583,282
2024-01-02T22,220,1559,12759,2246,-1166,46,10107,350
2024-01-02T23,220,1608,12388,2246,-858,46,9219,527
2024-01-03T00,220,1816,12408,2246,-159,46,8553,704
2024-01-03T01,219,2501,13378,2243,1184,46,5732,746
2024-01-03T02,221,3774,15862,2244,2844,46,930,773
2024-01-03T03,221,4299,16415,2243,4889,46,-31,603
2024-01-03T04,225,4216,16351,2244,4456,46,-47,748
2024-01-03T05,331,4242,16153,2243,3937,46,-48,859
2024-01-03T06,302,4346,16133,2243,3588,46,-47,1010
2024-01-03T07,230,3911,15925,2238,1650,46,-46,1048
2024-01-03T08,223,3152,15682,2234,956,46,-47,1022
2024-01-03T09,221,2490,15599,2238,478,46,-47,1314
2024-01-03T10,220,2293,14970,2242,644,46,-47,1802
2024-01-03T11,220,2161,14925,2244,201,46,-47,1950
2024-01-03T12,221,2253,15025,2246,-57,46,-48,1975
