period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-11-01T00,8,446,385,1487,13206,1138,-3817,46,0,16146,403,931
2025-11-01T01,29,584,387,1974,12056,1137,636,46,0,10876,251,762
2025-11-01T02,36,636,363,3521,12838,1138,5722,46,0,2192,247,1011
2025-11-01T03,3,637,351,3948,12774,1138,5950,46,0,59,289,1272
2025-11-01T04,1,637,357,3904,12561,1138,5062,46,0,-52,250,1179
2025-11-01T05,-1,638,358,3980,12145,1138,4650,46,0,-46,136,1075
2025-11-01T06,25,637,358,3569,11647,1138,4364,46,0,-47,76,1046
2025-11-01T07,14,622,358,3378,11603,1138,3583,43,0,-47,4,838
2025-11-01T08,69,639,361,3474,11465,1138,3581,43,0,-47,0,796
2025-11-01T09,121,641,363,2478,13117,1139,966,46,0,-47,0,1509
2025-11-01T10,11,642,367,2350,13195,1140,204,46,0,-48,0,1371
2025-11-01T11,0,642,371,2241,12957,1140,-39,46,0,-48,0,1542
2025-11-01T12,5,636,373,2249,13166,1140,-162,46,0,-47,0,1357
2025-11-01T13,94,637,372,2643,12857,1140,-27,46,0,-48,0,1450
2025-11-01T14,137,636,374,3059,12991,1140,399,46,0,-47,1,1259
2025-11-01T15,11,628,373,3250,13529,1140,1756,46,0,93,10,988
2025-11-01T16,-53,505,373,2862,13432,1140,1304,46,0,2286,151,870
2025-11-01T17,-42,368,367,1952,12976,1140,-2028,44,0,10783,343,674
2025-11-01T18,-20,335,359,1138,12984,1140,-3977,46,0,16027,382,642
2025-11-01T19,-20,330,357,1047,14413,1139,-6201,46,0,17671,369,673
2025-11-01T20,-19,330,351,936,15254,1138,-7210,46,0,17633,398,746
2025-11-01T21,-160,331,350,1037,15648,1138,-7689,46,0,17461,400,749
2025-11-01T22,-161,329,347,983,14867,1137,-6713,46,0,17196,430,731
2025-11-01T23,-163,331,344,964,14217,1138,-6029,46,0,17417,429,724
2025-11-02T00,-69,411,348,1450,12824,1138,-3864,46,0,16182,417,734
2025-11-02T01,74,431,344,2226,11648,1137,593,46,224,10924,257,573
2025-11-02T02,145,455,343,3506,12641,1138,5683,46,233,2192,245,808
2025-11-02T03,67,455,390,4033,12639,1138,5908,46,234,61,262,1135
2025-11-02T04,80,455,393,3987,12451,1138,5021,46,233,-50,249,1055
2025-11-02T05,148,454,394,3868,11986,1138,4627,46,234,-44,154,892
2025-11-02T06,86,453,399,3683,11604,1138,4359,46,234,-46,31,850
2025-11-02T07,13,455,391,3510,11563,1138,3573,43,234,-45,1,793
2025-11-02T08,6,456,403,2869,9212,1137,1381,46,230,-56,0,780
2025-11-02T09,6,452,404,2821,9187,1137,1092,46,178,-56,0,1227
2025-11-02T10,-7,411,410,2764,9335,1137,424,46,110,-56,0,1400
2025-11-02T11,-11,337,409,2874,9503,1137,-261,46,0,-55,0,1375
2025-11-02T12,-1,323,409,2596,8680,1138,11,46,0,-57,0,1295
2025-11-02T13,-2,321,415,2807,8318,1138,6,46,0,-57,0,1247
2025-11-02T14,14,320,411,2492,8225,1138,397,46,0,12,1,1176
2025-11-02T15,-81,319,411,2613,8048,1138,985,46,0,345,38,1120
2025-11-02T16,-171,316,402,2202,7949,1138,754,46,0,2319,238,995
2025-11-02T17,-163,315,399,1423,7427,1137,-2038,46,0,10466,348,908
2025-11-02T18,-28,315,394,834,11526,1137,-6117,46,0,16638,367,836
2025-11-02T19,-90,314,388,439,13267,1137,-7592,46,0,17517,367,784
2025-11-02T20,-130,314,392,553,13954,1136,-8335,46,0,17309,369,730
2025-11-02T21,-100,315,389,745,13370,1136,-8020,46,0,17219,411,716
2025-11-02T22,-35,320,386,512,11640,1137,-6071,46,0,16940,388,644
2025-11-02T23,13,331,386,377,10462,1139,-4133,46,0,16563,388,564
2025-11-03T00,54,421,386,595,9192,1138,-2058,46,0,14882,401,618
2025-11-03T01,56,453,387,1540,8911,1137,849,46,218,9619,247,589
2025-11-03T02,67,483,386,3714,9917,1136,6657,46,234,1625,96,752
2025-11-03T03,171,474,395,4393,10552,1136,7228,46,234,11,194,845
2025-11-03T04,94,564,396,4311,10562,1136,5809,46,234,16,210,997
2025-11-03T05,153,534,396,4264,10546,1136,4390,46,234,21,128,1255
2025-11-03T06,93,529,398,3729,10350,1136,4314,46,230,21,180,1364
2025-11-03T07,4,506,394,3019,10329,1133,4091,46,228,13,124,1394
