period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-05-01T00,-87,194,450,2568,8135,1133,-2956,46,0,17194,20,2887
2025-05-01T01,1,196,446,3249,7618,1132,-1492,46,0,16548,21,3287
2025-05-01T02,87,196,447,4281,7032,1131,260,46,215,12986,33,3412
2025-05-01T03,152,199,445,5259,8831,1131,3238,46,462,5200,33,3143
2025-05-01T04,143,202,456,5725,9890,1133,6803,46,473,516,33,2938
2025-05-01T05,147,202,460,6017,10405,1133,6612,46,259,121,33,3106
2025-05-01T06,67,204,462,6089,10314,1133,5063,46,233,108,33,3355
2025-05-01T07,2,203,465,5596,10148,1134,3407,46,0,54,32,3386
2025-05-01T08,0,196,475,5392,10156,1134,1201,46,0,-25,0,3339
2025-05-01T09,-1,189,470,5181,10551,1133,739,46,0,-24,0,3316
2025-05-01T10,0,188,472,5064,10631,1133,372,46,0,-24,0,2771
2025-05-01T11,0,188,471,4659,10821,1133,205,46,0,-25,0,2497
2025-05-01T12,-3,188,477,4646,10606,1133,15,46,0,-26,1,2394
2025-05-01T13,1,188,479,4951,10893,1133,-71,46,0,-25,9,2399
2025-05-01T14,23,187,476,5144,10366,1132,1250,46,228,126,1,2469
2025-05-01T15,-81,188,479,5022,10190,1132,1235,46,173,2135,25,2292
2025-05-01T16,-40,190,469,3781,9576,1132,-833,46,0,10181,15,1967
2025-05-01T17,-6,187,466,2979,8733,1132,-1790,46,0,16552,18,1552
2025-05-01T18,-4,212,465,2686,9232,1132,-3542,46,3,18465,20,1307
2025-05-01T19,-4,285,467,2845,11015,1134,-5693,46,2,19502,23,1325
2025-05-01T20,-9,365,460,2647,12906,1134,-7300,46,0,19830,20,1134
2025-05-01T21,-153,428,459,2209,12274,1134,-6906,46,0,19741,20,852
2025-05-01T22,-173,468,456,2210,10922,1134,-5558,46,0,19002,20,840
2025-05-01T23,-124,477,456,2555,8494,1133,-2875,46,0,16996,20,1351
2025-05-02T00,-118,478,454,2672,7945,1133,-2151,46,3,15419,20,2631
2025-05-02T01,-8,418,456,3244,7275,1132,-765,46,191,13148,20,2935
2025-05-02T02,97,311,458,4245,7509,1133,340,46,356,10592,33,3487
2025-05-02T03,167,253,459,5279,9328,1134,4044,46,397,4545,33,2851
2025-05-02T04,154,215,462,5768,10185,1134,8198,46,234,305,33,2488
2025-05-02T05,85,214,455,5920,10683,1133,7990,46,235,-49,34,2622
2025-05-02T06,91,215,456,5892,10890,1132,5978,46,233,-45,47,3022
2025-05-02T07,1,217,453,5819,10447,1132,3935,46,0,-40,34,3139
2025-05-02T08,27,209,461,5502,10512,1133,1421,46,0,-39,0,3122
2025-05-02T09,12,191,464,5433,10240,1133,769,46,0,-40,0,3230
2025-05-02T10,1,189,462,5208,10120,1133,363,46,0,-39,0,3082
2025-05-02T11,-1,188,469,5083,9571,1133,13,46,0,-41,0,3349
2025-05-02T12,0,189,472,5112,9314,1133,-94,46,0,-40,0,3536
2025-05-02T13,0,188,474,5214,9058,1133,84,46,0,-41,0,3505
2025-05-02T14,-1,187,475,5398,9140,1133,1260,46,209,135,1,3382
2025-05-02T15,-3,190,472,5251,8953,1133,1349,46,0,2796,25,2966
2025-05-02T16,-1,186,466,4247,7441,1132,-59,46,0,11394,15,2663
2025-05-02T17,-3,186,457,2895,7630,1131,-1181,46,0,16784,20,2555
2025-05-02T18,-12,186,458,1954,8841,1131,-2289,46,0,18626,20,2274
2025-05-02T19,-22,187,453,1946,9213,1133,-3276,46,0,19791,20,1794
2025-05-02T20,-19,187,452,2002,10574,1133,-4833,46,0,20393,20,1576
2025-05-02T21,-151,188,453,1882,11414,1133,-6131,46,0,20592,20,1630
2025-05-02T22,-152,188,451,2155,11828,1134,-6840,45,0,20252,20,1754
2025-05-02T23,-150,188,447,2356,10673,1134,-5522,46,0,19915,20,1634
2025-05-03T00,-147,188,446,2140,8781,1134,-3408,46,0,18799,20,1786
2025-05-03T01,-32,188,448,2845,8482,1133,-2150,46,4,17146,21,2698
2025-05-03T02,70,189,455,3920,7926,1133,-222,46,219,13854,33,2957
2025-05-03T03,161,189,449,4952,8471,1134,2981,46,230,5815,43,3041
2025-05-03T04,138,188,453,5278,9077,1133,7061,46,234,423,39,3639
2025-05-03T05,63,188,460,5462,8974,1133,7241,46,234,-1,38,3946
2025-05-03T06,120,188,462,5514,9023,1134,5813,46,235,3,37,3879
2025-05-03T07,42,187,465,5391,9065,1134,3772,46,233,6,20,3711
2025-05-03T08,19,188,462,5327,8912,1134,1997,46,0,7,0,3803
2025-05-03T09,6,188,468,4775,8200,1134,1700,46,0,7,0,4072
2025-05-03T10,-14,187,469,4935,7594,1135,980,46,0,8,0,4100
2025-05-03T11,-1,187,468,4938,7081,1135,617,46,0,7,0,3930
2025-05-03T12,5,188,470,4434,7484,1135,296,46,0,7,0,3738
2025-05-03T13,-6,188,470,4513,7110,1134,519,46,0,7,0,3379
2025-05-03T14,9,187,470,4818,6892,1135,1322,46,0,214,1,2961
2025-05-03T15,-5,187,464,4318,6544,1135,1048,46,0,2482,24,2856
2025-05-03T16,-10,187,459,3562,6195,1134,-709,46,0,9038,20,2993
2025-05-03T17,-11,187,455,2833,6096,1133,-1384,46,0,12185,20,2924
2025-05-03T18,-42,187,448,2535,6252,1133,-1671,46,0,14601,20,3084
2025-05-03T19,-20,187,447,2316,6539,1132,-1845,46,0,16020,20,2982
2025-05-03T20,-69,186,447,1963,7389,1132,-2996,46,0,16662,20,3188
2025-05-03T21,-4,187,447,1864,8056,1132,-3271,46,0,15973,20,3724
2025-05-03T22,-145,187,445,1816,9230,1133,-4441,46,0,15853,20,4180
2025-05-03T23,-153,187,448,1823,9260,1134,-4488,46,0,16114,20,4767
2025-05-04T00,-134,187,443,1775,8504,1134,-3742,46,0,14542,20,5272
2025-05-04T01,-94,187,442,2973,6549,1133,-1842,46,0,12293,11,5150
2025-05-04T02,60,186,446,4218,5683,1133,-780,46,188,9423,33,4898
2025-05-04T03,145,186,451,4565,4968,1134,2636,46,445,3866,33,5198
2025-05-04T04,81,186,454,5109,5439,1133,5664,46,476,475,40,4879
2025-05-04T05,123,186,456,5527,6146,1133,5209,46,477,54,39,4913
2025-05-04T06,62,187,461,5424,6356,1133,4241,46,426,-22,25,4968
2025-05-04T07,73,187,467,5164,6031,1134,2802,46,213,-19,24,5060
2025-05-04T08,47,187,464,5068,6428,1134,1161,46,0,-20,0,5306
2025-05-04T09,-6,188,464,4486,6210,1134,1264,46,0,-19,1,5372
2025-05-04T10,-3,189,464,4470,6272,1135,602,46,0,-19,5,5182
2025-05-04T11,7,188,466,4057,6724,1135,239,46,0,-34,0,5074
2025-05-04T12,-5,188,469,3988,6622,1134,298,46,0,-38,0,4931
2025-05-04T13,0,187,464,4017,6221,1135,452,46,0,-38,0,4657
2025-05-04T14,-2,186,471,4174,6272,1135,1276,46,0,86,2,4580
2025-05-04T15,-2,185,463,4020,6082,1135,1113,46,0,1610,24,4533
2025-05-04T16,-3,186,465,3267,5130,1135,-158,46,0,7479,20,4545
2025-05-04T17,-12,186,464,2425,5041,1135,-1016,46,0,12419,20,4506
2025-05-04T18,-5,187,463,2380,5480,1135,-1878,46,0,14258,20,4748
2025-05-04T19,-16,187,459,2326,8647,1135,-5366,46,0,16067,20,4929
2025-05-04T20,-14,187,451,2081,10029,1135,-6426,46,0,15649,20,4832
2025-05-04T21,-150,187,442,1769,9582,1135,-5461,46,0,14879,20,4474
2025-05-04T22,-143,187,442,1667,7951,1135,-2913,46,0,13402,20,4659
2025-05-04T23,-76,189,440,1753,6614,1136,-1630,46,0,11565,20,4301
2025-05-05T00,-5,187,448,2251,6224,1135,-1273,46,0,11493,20,4071
2025-05-05T01,-76,187,448,2790,5117,1136,-309,46,0,10549,10,4391
2025-05-05T02,-11,188,462,3997,5824,1136,129,46,196,7674,33,4972
2025-05-05T03,0,187,466,4902,5575,1136,2264,46,471,3378,34,4744
2025-05-05T04,107,187,467,5767,6076,1135,4581,46,461,320,40,4623
