period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-02-01T00,76,910,309,1939,14814,2268,-2993,46,194,11710,151,989
2025-02-01T01,121,941,310,2161,11751,2266,-431,46,0,7473,154,1261
2025-02-01T02,66,1114,312,2923,11098,2266,3162,46,0,2277,126,1673
2025-02-01T03,15,1079,312,3319,11788,2266,4288,46,0,50,162,2322
2025-02-01T04,16,1062,312,3010,12483,2266,3795,46,0,-56,117,2720
2025-02-01T05,-6,1035,320,2784,12553,2265,3231,46,0,-53,135,3040
2025-02-01T06,0,1074,337,2897,12312,2266,2584,46,0,-52,86,3458
2025-02-01T07,-2,1056,321,2476,11918,2268,1844,46,0,-51,43,3351
2025-02-01T08,-7,951,317,2230,10997,2268,1076,46,215,-53,0,3018
2025-02-01T09,-2,934,319,2269,10590,2268,904,46,232,-53,0,2462
2025-02-01T10,1,826,307,2721,9843,2267,810,46,232,-53,0,2297
2025-02-01T11,-2,766,308,2997,8690,2267,361,46,232,-54,0,2709
2025-02-01T12,-1,738,325,2802,8198,2268,-9,46,232,-54,0,2989
2025-02-01T13,-2,712,324,2774,8213,2267,-186,45,233,-53,0,3045
2025-02-01T14,8,725,329,2829,7692,2266,277,44,204,-53,0,2826
2025-02-01T15,19,826,337,3386,7845,2267,547,46,234,-53,0,3038
2025-02-01T16,4,820,337,3418,8431,2266,1546,46,0,204,53,3002
2025-02-01T17,-49,679,339,2980,8214,2266,489,46,0,3000,194,2992
2025-02-01T18,-129,578,337,2568,8749,2266,-1172,46,0,9961,245,2955
2025-02-01T19,-154,466,330,2394,9659,2268,-2895,46,0,12818,246,2897
2025-02-01T20,-109,397,332,2289,10164,2268,-3574,46,0,12575,257,3070
2025-02-01T21,-153,391,335,2157,10761,2268,-4060,46,0,12305,257,3077
2025-02-01T22,-112,391,340,2295,10986,2268,-4226,46,0,12031,239,3062
2025-02-01T23,-40,396,336,2245,10600,2268,-3677,46,0,11161,205,3088
2025-02-02T00,41,544,338,2329,10038,2267,-2138,46,0,9904,214,3495
2025-02-02T01,100,766,344,2790,8225,2267,508,46,0,7287,113,3664
2025-02-02T02,88,993,344,3803,8261,2267,2968,46,0,2530,113,3316
2025-02-02T03,147,1130,350,3940,8612,2267,5007,46,0,35,145,2994
2025-02-02T04,137,1085,346,3860,9354,2266,4594,46,0,-56,125,2950
2025-02-02T05,88,997,352,3857,9728,2266,4205,46,0,-52,103,3040
2025-02-02T06,52,986,354,3666,9445,2267,3597,46,0,-50,57,3260
2025-02-02T07,20,1045,356,3667,8850,2268,3531,43,0,-50,28,3436
2025-02-02T08,7,1074,355,3557,8786,2268,2180,46,0,-50,1,3324
2025-02-02T09,-1,1026,357,3600,9017,2269,1321,46,0,-51,0,3141
2025-02-02T10,-11,849,359,3510,9359,2268,1417,46,199,-50,0,3177
2025-02-02T11,-35,731,363,3449,9748,2268,572,46,230,-51,0,3038
2025-02-02T12,-2,663,366,3198,10146,2268,291,46,229,-51,0,3211
2025-02-02T13,-23,633,366,3123,9622,2267,352,46,231,-51,0,3045
2025-02-02T14,-40,722,362,3005,9287,2267,443,46,232,-50,0,3060
2025-02-02T15,-18,895,367,3297,9342,2267,466,46,233,-44,2,3234
2025-02-02T16,15,774,364,3379,9061,2266,1309,46,219,352,100,3246
2025-02-02T17,-80,616,368,3191,8167,2266,198,46,0,4638,267,3131
2025-02-02T18,-172,503,357,2842,9921,2266,-3082,46,0,11320,272,2938
2025-02-02T19,-175,496,359,2976,11446,2268,-4701,46,0,12788,272,2911
2025-02-02T20,-137,498,353,2918,11885,2267,-5274,46,0,12315,271,3115
2025-02-02T21,-51,505,349,2922,11789,2267,-5409,46,0,11844,272,3233
2025-02-02T22,-40,505,350,2589,10442,2267,-4361,46,0,11246,273,3373
2025-02-02T23,-13,503,351,2749,9267,2267,-3369,46,0,10801,270,3337
2025-02-03T00,-1,560,349,2938,7910,2266,-1549,46,0,9550,225,3276
2025-02-03T01,8,645,348,3169,7581,2266,-50,46,0,8207,174,3307
2025-02-03T02,21,832,351,3891,9105,2265,2054,46,230,4648,117,3244
2025-02-03T03,49,1002,354,4072,10632,2265,4434,46,232,200,157,2966
2025-02-03T04,59,1058,352,4167,11019,2265,4560,46,233,2,157,2803
2025-02-03T05,76,1071,354,4185,11164,2265,4028,46,232,-55,122,2656
2025-02-03T06,28,1071,360,4104,11114,2265,3568,46,229,-53,76,2607
2025-02-03T07,0,1073,358,4126,10796,2266,3001,46,0,-52,3,2508
2025-02-03T08,-1,1041,360,3958,11274,2266,1470,46,0,-52,0,2430
2025-02-03T09,-1,919,360,3808,10703,2267,722,46,0,-52,0,2432
2025-02-03T10,0,864,359,3494,10372,2267,322,46,0,-52,0,2489
2025-02-03T11,0,860,362,3432,9628,2267,543,46,0,-52,0,2442
2025-02-03T12,-2,819,364,3417,10167,2267,16,46,0,-51,0,2352
2025-02-03T13,-15,863,368,3437,10774,2267,183,46,0,-51,0,2253
2025-02-03T14,-26,932,367,3420,10633,2267,720,46,0,-51,0,2255
2025-02-03T15,90,1068,372,3500,11331,2267,1670,46,0,-48,0,2085
2025-02-03T16,41,1163,369,3710,12755,2267,4734,46,0,280,36,1857
2025-02-03T17,31,1165,362,3493,13360,2266,2162,46,0,3730,155,1672
2025-02-03T18,44,1164,354,3258,13591,2266,-1536,46,0,9010,124,1556
2025-02-03T19,61,1164,357,3051,12164,2267,-2116,46,0,11006,145,1574
2025-02-03T20,-68,869,349,2781,12318,2266,-3106,46,0,12139,143,1847
2025-02-03T21,-2,766,348,2596,12402,2267,-3718,46,0,12647,136,2064
2025-02-03T22,-15,755,347,2538,12644,2267,-3745,46,0,12771,141,2204
2025-02-03T23,-133,938,352,2739,12635,2266,-3608,46,0,12450,88,2077
2025-02-04T00,-97,1110,350,2897,12772,2267,-2431,46,176,9885,91,2110
2025-02-04T01,-21,1121,348,3345,12968,2266,-850,46,230,7681,118,2199
2025-02-04T02,136,1080,350,3926,13454,2266,2529,46,467,2814,118,1985
2025-02-04T03,63,1122,347,4233,14684,2265,5459,46,471,81,127,1697
2025-02-04T04,155,1139,349,3940,15387,2266,5680,46,470,13,49,1600
2025-02-04T05,109,1125,352,3881,15075,2266,5826,44,471,18,39,1705
2025-02-04T06,28,1112,351,3882,14839,2265,4367,46,469,20,76,1760
2025-02-04T07,1,1124,359,3836,14846,2265,2940,46,0,19,3,1751
2025-02-04T08,-12,1065,349,3643,14352,2266,876,46,0,19,0,1920
2025-02-04T09,-1,1004,353,3547,14278,2267,-24,46,0,18,0,1936
2025-02-04T10,-58,907,356,3432,13776,2266,802,46,0,19,0,1925
2025-02-04T11,-62,784,361,3308,14281,2265,-133,46,0,18,0,2284
2025-02-04T12,-98,734,363,3031,14716,2267,-877,45,0,18,0,2711
2025-02-04T13,-1,736,363,3021,14481,2267,-839,44,0,18,0,2563
