period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-03-01T00,201,3490,6644,2258,-1791,41,10961,3325
2024-03-01T01,201,3449,6591,2260,-565,41,9328,3417
2024-03-01T02,203,4812,7592,2260,429,40,5813,3947
2024-03-01T03,209,5488,9362,2258,3765,40,833,3465
2024-03-01T04,207,5879,10013,2258,3976,39,18,3198
2024-03-01T05,283,5970,10238,2258,3375,39,14,3203
2024-03-01T06,249,5917,10123,2259,2406,37,15,3479
2024-03-01T07,206,5745,9502,2259,1712,37,17,3688
2024-03-01T08,204,5530,8572,2259,433,37,11,3669
2024-03-01T09,203,5272,7882,2260,404,37,8,3392
2024-03-01T10,202,4637,7601,2260,1024,37,-8,3139
2024-03-01T11,203,4568,6849,2260,568,37,-4,3166
2024-03-01T12,201,4522,6691,2260,360,37,6,3165
2024-03-01T13,203,4373,7010,2259,824,37,26,3182
2024-03-01T14,204,4586,7233,2259,1309,37,13,3238
2024-03-01T15,308,4578,7820,2259,2144,37,98,3240
2024-03-01T16,222,4766,8211,2258,2135,38,1455,3427
2024-03-01T17,204,4341,8071,2257,169,39,7091,3134
2024-03-01T18,217,3682,8758,2258,-1463,39,10226,2652
2024-03-01T19,234,3334,8284,2258,-1971,39,11487,2959
2024-03-01T20,227,3468,8385,2258,-2242,39,12490,3093
2024-03-01T21,233,3436,8835,2258,-2872,39,12346,2921
2024-03-01T22,206,3327,8279,2258,-2330,39,11959,3026
2024-03-01T23,203,2878,7613,2256,-1969,39,11372,3042
2024-03-02T00,203,3119,6577,2256,-1399,39,10502,3400
2024-03-02T01,203,3746,6111,2256,-46,39,8826,3810
2024-03-02T02,202,5017,7731,2255,1042,39,5237,4387
2024-03-02T03,201,5627,9350,2255,4634,39,725,4131
2024-03-02T04,201,6356,9749,2255,5077,39,51,3603
2024-03-02T05,202,6532,9440,2255,4157,38,43,3689
2024-03-02T06,207,6360,9469,2254,2670,39,60,3706
2024-03-02T07,205,6027,9440,2253,1574,39,58,3789
2024-03-02T08,204,5793,9013,2254,803,38,38,3922
2024-03-02T09,203,5392,9008,2254,399,39,24,3940
2024-03-02T10,203,5142,7888,2255,851,39,30,3982
2024-03-02T11,202,4919,6919,2254,477,39,31,3891
2024-03-02T12,204,4516,6633,2254,891,39,22,3791
2024-03-02T13,204,4564,6630,2253,889,39,15,3461
2024-03-02T14,224,4758,6740,2253,765,39,21,3368
2024-03-02T15,269,4409,6941,2254,1075,37,100,3350
2024-03-02T16,210,4786,6729,2255,683,-1,1521,3406
2024-03-02T17,235,4592,6294,2255,-248,-4,6147,3071
2024-03-02T18,207,3955,5459,2255,-72,-3,9007,2937
2024-03-02T19,240,3363,5447,2255,-731,-4,10287,2744
2024-03-02T20,207,3279,5577,2256,-1281,10,10869,2877
2024-03-02T21,204,3040,6634,2258,-2129,13,11491,3199
2024-03-02T22,205,2980,6680,2257,-2317,32,11694,3462
2024-03-02T23,254,3027,6535,2256,-2001,39,11680,3575
2024-03-03T00,208,3421,6605,2256,-1534,39,10872,3603
2024-03-03T01,204,3801,5882,2257,-195,39,7925,3221
2024-03-03T02,210,4838,6645,2259,961,40,4240,3417
2024-03-03T03,342,5351,7867,2259,3666,39,614,3902
2024-03-03T04,318,5953,8412,2259,3079,39,137,4443
2024-03-03T05,322,6107,8305,2259,3119,39,97,4081
2024-03-03T06,320,6086,8449,2258,2830,39,17,3382
2024-03-03T07,222,6072,8428,2257,2872,38,17,3053
2024-03-03T08,204,5824,8520,2257,1728,-1,38,3073
2024-03-03T09,203,5701,8773,2257,1144,-2,9,2877
2024-03-03T10,202,5062,8724,2257,718,-2,16,3020
2024-03-03T11,202,4881,8376,2257,797,-2,3,2919
2024-03-03T12,201,4833,8432,2257,434,-2,-5,3286
2024-03-03T13,202,4949,8244,2257,656,-3,3,3608
2024-03-03T14,203,4953,8199,2256,801,-3,-4,3522
2024-03-03T15,203,5036,8107,2256,827,-3,88,3651
2024-03-03T16,202,5127,7280,2257,622,-3,1440,3877
2024-03-03T17,204,4487,6186,2257,-170,-3,6662,3640
2024-03-03T18,240,3315,6504,2257,-1080,-3,8780,3230
2024-03-03T19,224,3096,7649,2257,-1906,-3,9193,3102
2024-03-03T20,244,2979,8483,2259,-2913,-3,9352,3153
2024-03-03T21,284,2939,8285,2261,-3071,-3,9806,3426
2024-03-03T22,277,2928,8447,2260,-3005,-4,9595,3248
2024-03-03T23,265,2988,8348,2261,-2701,12,9213,3470
2024-03-04T00,218,3016,7206,2259,-1479,39,9004,3425
2024-03-04T01,205,3460,6250,2259,-213,40,7934,3316
2024-03-04T02,205,5136,6431,2259,1064,40,5282,3646
2024-03-04T03,237,5798,7859,2261,3715,40,838,4579
2024-03-04T04,266,6033,8426,2261,4545,40,22,4673
2024-03-04T05,330,6132,8923,2262,3678,39,-21,4755
2024-03-04T06,280,6104,8945,2262,3067,40,-32,4455
2024-03-04T07,209,5933,8801,2260,2703,40,-42,4127
2024-03-04T08,205,5640,8838,2259,1113,40,-31,3875
2024-03-04T09,222,5140,8577,2260,547,40,-27,3823
