period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-04-01T00,-76,198,443,2053,8681,2274,-4243,-2,0,12958,136,5471
2025-04-01T01,-17,267,442,2344,8072,2271,-2962,-2,0,9941,137,5498
2025-04-01T02,72,313,422,3729,5476,2272,-66,-2,186,6300,148,5791
2025-04-01T03,136,313,418,4438,4389,2272,2973,-2,186,1631,148,5728
2025-04-01T04,97,300,422,5251,4296,2273,5159,-2,186,107,165,5488
2025-04-01T05,147,276,420,5585,3978,2274,5054,-2,186,91,161,5165
2025-04-01T06,60,220,425,5143,4617,2274,4157,-2,185,95,36,5018
2025-04-01T07,7,126,428,4820,4766,2275,2706,-2,186,96,29,5049
2025-04-01T08,20,2,427,5021,5248,2276,1210,-2,0,97,0,4490
2025-04-01T09,16,1,433,4504,5473,2277,656,-2,0,53,0,4071
2025-04-01T10,-1,0,427,4000,5382,2277,349,-2,0,-52,0,4021
2025-04-01T11,-1,1,433,4279,5395,2276,545,-2,0,97,0,3973
2025-04-01T12,-1,1,436,4484,5450,2276,543,-2,9,97,0,3933
2025-04-01T13,-1,-2,441,4264,5456,2275,334,-2,189,-53,0,3843
2025-04-01T14,-1,-1,433,4372,5899,2273,1341,-2,448,-43,1,3933
2025-04-01T15,-8,-1,435,5045,6191,2271,2789,-2,432,348,44,3798
2025-04-01T16,-37,1,433,4197,5147,2276,544,-2,176,1313,209,3589
2025-04-01T17,-64,-1,433,3502,7136,2273,-1992,-2,0,12279,186,3956
2025-04-01T18,-58,-1,430,2854,8342,2275,-2976,-1,0,12712,0,4539
2025-04-01T19,-64,1,431,3969,5238,2276,545,-2,0,1607,1,4453
2025-04-01T20,-88,-1,425,1786,10019,2276,-4867,-1,0,14154,0,4110
2025-04-01T21,-96,0,426,1610,9273,2278,-4163,-1,0,13729,1,3764
2025-04-01T22,-81,-1,430,1604,10143,2277,-4915,-1,0,13691,26,4062
2025-04-01T23,-91,-1,424,1670,10124,2276,-4959,-1,0,14228,30,4070
2025-04-02T00,-68,-1,424,1810,9016,2277,-3910,-1,0,14240,82,4191
2025-04-02T01,-7,-2,429,2322,7451,2277,-1969,-1,184,12524,89,4171
2025-04-02T02,55,-2,430,3675,5490,2275,372,-1,209,8297,183,4175
2025-04-02T03,-1,-3,432,4996,5171,2273,3586,-1,383,2081,147,4049
2025-04-02T04,17,-3,434,5724,5041,2274,6229,-1,386,11,144,3983
2025-04-02T05,22,-3,432,5742,4914,2274,5723,-2,372,-22,139,4096
2025-04-02T06,35,-2,435,6076,5037,2275,4358,-1,181,-18,35,3966
2025-04-02T07,1,-2,436,5688,5087,2276,2034,-2,181,-17,29,3666
2025-04-02T08,142,-1,435,5435,5666,2277,602,-1,0,-16,0,3411
2025-04-02T09,59,0,440,4687,6081,2277,1268,-1,0,-17,0,3384
2025-04-02T10,115,-2,441,4569,6013,2278,608,-1,0,-17,0,3459
2025-04-02T11,121,-3,441,4501,6191,2277,83,-1,0,-18,0,2911
2025-04-02T12,-1,-3,442,4787,5741,2276,144,-1,0,-19,0,2823
2025-04-02T13,0,-2,444,4914,5979,2276,165,-1,58,-20,1,3447
2025-04-02T14,-2,-2,445,5182,6140,2277,1491,-1,453,-4,31,4042
2025-04-02T15,3,-3,436,5696,6733,2276,2971,-1,444,572,34,4012
2025-04-02T16,-7,-2,435,4965,6886,2276,864,-1,197,4066,75,3657
2025-04-02T17,-2,0,438,3765,6140,2274,-16,-1,0,8820,79,3858
2025-04-02T18,0,0,440,2649,7747,2274,-2154,-1,0,12777,134,3723
2025-04-02T19,11,-2,439,1696,9152,2274,-3439,-1,0,14623,165,3348
2025-04-02T20,-72,-1,442,1199,10361,2275,-5196,-1,0,15375,73,3608
2025-04-02T21,-152,-2,435,1317,10683,2276,-5337,-1,0,15348,84,3844
2025-04-02T22,-152,-2,434,1318,10831,2278,-5921,-1,0,14549,69,4121
2025-04-02T23,-150,-1,436,1118,10453,2277,-5478,-1,0,13243,122,4078
2025-04-03T00,-109,0,437,1217,9868,2277,-4737,-1,0,13432,130,3887
2025-04-03T01,-15,-1,431,2121,8317,2277,-2943,-1,0,12733,144,4058
2025-04-03T02,28,0,438,3442,6449,2278,-165,-1,195,9553,214,4055
2025-04-03T03,14,-1,437,4846,5407,2278,2139,-1,183,2696,217,4414
2025-04-03T04,29,-2,440,5549,4901,2278,5623,-1,182,104,199,4783
2025-04-03T05,29,-2,439,5707,5316,2278,5672,-1,182,10,173,4797
2025-04-03T06,27,-1,443,5930,5069,2278,4608,-1,185,-14,79,4710
2025-04-03T07,45,0,439,5559,5347,2277,2252,-1,182,-18,50,4829
2025-04-03T08,80,0,443,4946,5919,2277,654,-1,9,-18,3,4888
2025-04-03T09,84,1,443,4245,6101,2277,673,-1,0,-18,0,4603
2025-04-03T10,102,0,445,4152,6577,2278,18,-1,0,-17,0,4281
2025-04-03T11,132,0,441,4140,6328,2279,14,-1,0,-18,0,4071
2025-04-03T12,55,1,444,4170,6388,2279,365,-1,0,-18,0,3606
2025-04-03T13,53,1,446,4651,6924,2279,751,-1,0,-19,1,3142
2025-04-03T14,15,0,444,4826,7975,2279,1742,-1,0,0,23,2740
2025-04-03T15,-5,2,446,5152,8186,2279,3220,-1,0,758,69,2696
2025-04-03T16,-103,1,441,4272,7785,2278,759,-1,0,6674,108,2776
2025-04-03T17,-38,2,441,3467,7603,2277,-1636,-1,0,14109,189,2695
2025-04-03T18,-20,2,440,2583,9512,2276,-4104,-1,0,16375,327,2589
2025-04-03T19,-28,2,441,1463,9845,2275,-4486,-1,0,16840,377,2129
2025-04-03T20,-68,2,446,1019,10995,2277,-5479,-1,0,17019,405,1732
2025-04-03T21,-34,3,440,937,9944,2279,-4606,-1,0,16194,399,1664
2025-04-03T22,-131,3,441,1105,9507,2280,-4207,-1,0,15597,400,1478
2025-04-03T23,-151,3,442,1002,8373,2280,-3507,-1,0,15294,401,1658
2025-04-04T00,-148,2,441,1213,8342,2281,-3073,-1,0,13631,211,2199
2025-04-04T01,-35,2,442,2013,7645,2282,-2291,-1,0,13102,178,3051
2025-04-04T02,59,2,444,2989,6497,2283,-464,-1,369,10279,146,3848
2025-04-04T03,100,2,443,4875,5721,2282,2618,-1,375,3212,144,4020
2025-04-04T04,94,1,446,5618,5815,2282,5800,0,372,116,132,4158
2025-04-04T05,90,1,443,5840,6100,2283,5670,0,371,-22,53,4030
2025-04-04T06,68,1,443,5596,6648,2283,4765,0,185,-20,46,3907
2025-04-04T07,43,1,442,4838,6896,2283,2655,0,217,-18,45,3748
2025-04-04T08,0,1,442,4675,7209,2284,1177,0,234,-18,2,3888
2025-04-04T09,-1,1,442,4658,6832,2281,1208,0,192,-16,0,3733
2025-04-04T10,-1,0,449,4533,7082,2281,185,0,0,-17,0,3598
2025-04-04T11,-3,1,444,4529,7318,2281,-303,0,0,-18,0,3454
2025-04-04T12,-11,1,447,4537,7426,2283,-7,0,0,-18,0,3091
2025-04-04T13,69,1,450,5077,7948,2283,244,0,185,-18,1,2830
2025-04-04T14,133,1,448,5256,7854,2283,1924,0,435,9,28,2976
2025-04-04T15,-22,1,447,5510,7864,2283,3621,0,403,770,88,2460
2025-04-04T16,-52,1,443,4422,7762,2283,943,0,0,6965,144,1546
2025-04-04T17,-19,1,439,3155,8147,2283,-1293,0,0,14821,212,1084
2025-04-04T18,-27,1,441,2248,10059,2282,-3595,0,0,17157,219,1251
2025-04-04T19,-25,1,442,1576,10840,2282,-4682,0,0,17262,220,1437
2025-04-04T20,-24,1,438,1173,11065,2282,-5213,0,0,17751,217,1386
2025-04-04T21,-22,1,440,1123,10618,2281,-5177,0,0,17913,214,1279
2025-04-04T22,-151,1,442,836,10099,2278,-4694,0,0,17464,220,1397
2025-04-04T23,-133,1,440,969,10169,2278,-4814,0,0,16835,214,1851
2025-04-05T00,-153,1,437,967,9399,2278,-4029,0,0,16282,171,2003
2025-04-05T01,-107,1,441,1548,8078,2278,-2152,0,0,14438,145,2279
2025-04-05T02,37,2,433,2620,7033,2279,-402,0,200,12368,164,2677
2025-04-05T03,30,2,440,4479,6257,2279,2866,0,186,4251,154,2731
2025-04-05T04,63,2,440,5513,5798,2280,6146,0,196,223,85,2664
2025-04-05T05,30,1,444,5920,6387,2279,5211,0,183,-48,73,2739
2025-04-05T06,5,2,447,5606,6518,2278,4521,0,222,-54,94,3067
2025-04-05T07,0,1,445,5392,6631,2279,3245,0,184,-54,87,3057
2025-04-05T08,-1,1,450,5222,6579,2279,1266,0,234,-52,3,3078
2025-04-05T09,0,2,447,4562,6827,2279,1980,0,219,-52,1,3170
2025-04-05T10,0,1,447,4227,7266,2279,825,0,0,-53,1,3261
2025-04-05T11,0,1,450,3905,7371,2279,518,0,0,-52,1,2903
2025-04-05T12,146,1,449,3871,7631,2279,524,0,0,-53,1,2504
2025-04-05T13,149,1,455,4212,7738,2279,1009,0,0,-54,2,2289
2025-04-05T14,143,1,448,4545,7965,2280,1716,0,0,-26,24,1864
2025-04-05T15,7,1,450,4301,7964,2279,3010,0,0,843,97,1573
2025-04-05T16,-12,1,434,3318,7466,2278,148,0,0,7492,211,1384
2025-04-05T17,2,1,432,2045,7605,2278,-1904,0,0,14019,196,1687
2025-04-05T18,-22,1,431,1413,9182,2279,-3830,0,0,13790,194,2375
2025-04-05T19,-22,1,431,1112,9492,2279,-4579,0,0,13289,194,2507
2025-04-05T20,-95,2,431,1067,10287,2278,-5585,0,0,12743,194,1970
2025-04-05T21,-175,1,431,1069,10247,2278,-5586,0,0,12198,194,1512
2025-04-05T22,-181,1,436,1053,10228,2278,-5587,0,0,11889,194,1221
2025-04-05T23,-139,1,449,920,9262,2279,-4359,0,0,11799,193,1105
2025-04-06T00,-100,1,461,770,8882,2278,-3493,0,0,12098,173,1234
2025-04-06T01,-1,1,460,1321,7536,2277,-2116,0,3,12008,185,1312
2025-04-06T02,37,1,464,2465,7023,2277,103,0,222,10767,206,1591
2025-04-06T03,93,1,467,4534,6759,2279,3589,0,239,3917,200,1776
2025-04-06T04,48,1,467,5555,6601,2279,6999,0,238,117,278,1921
2025-04-06T05,90,0,472,5695,7713,2279,5439,0,239,-25,168,1983
2025-04-06T06,100,1,469,5225,7769,2279,4689,0,239,-20,63,1942
2025-04-06T07,65,1,484,5085,7883,2280,3466,0,239,-19,49,1621
2025-04-06T08,52,1,477,4781,8246,2280,2160,0,239,-17,5,1422
2025-04-06T09,41,1,473,4165,8282,2279,1922,0,239,-17,0,1650
2025-04-06T10,-1,1,483,4015,8127,2280,686,0,476,-22,0,1941
2025-04-06T11,-1,1,483,3972,7933,2281,-90,0,479,-38,0,2177
2025-04-06T12,28,1,477,3922,7742,2280,185,0,478,-38,0,1928
2025-04-06T13,1,1,482,4139,8030,2280,222,0,481,-39,1,1509
2025-04-06T14,124,1,482,4304,8061,2279,915,0,474,-5,23,1245
2025-04-06T15,-6,1,477,3949,7730,2278,2063,0,0,915,101,882
