period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-10-01T00,-4,214,407,1633,11069,2240,-2352,46,0,16456,404,3860
2025-10-01T01,77,221,416,2636,10800,2241,-1111,46,230,13974,196,3663
2025-10-01T02,149,219,438,4054,10576,2243,2511,46,235,7132,150,3408
2025-10-01T03,139,216,440,4418,11227,2243,6380,46,234,587,151,3272
2025-10-01T04,75,215,441,4233,11335,2240,6603,46,234,-24,264,3233
2025-10-01T05,1,206,442,3950,10876,2239,6470,46,230,-56,254,3548
2025-10-01T06,148,187,445,3393,10324,2241,5980,46,236,-53,136,3621
2025-10-01T07,48,195,446,3395,10144,2245,4512,46,235,-53,120,3296
2025-10-01T08,0,196,452,3191,9891,2248,2327,46,234,-54,6,3288
2025-10-01T09,0,196,450,3224,9733,2245,1395,46,0,-54,0,3365
2025-10-01T10,-2,196,451,2963,9635,2239,306,46,0,-54,0,3405
2025-10-01T11,-9,197,454,2857,10052,2242,-780,46,0,-54,0,3421
2025-10-01T12,-11,197,454,2830,9728,2246,-646,46,0,-54,0,3171
2025-10-01T13,-35,195,453,2684,9298,2245,109,46,5,-54,0,3207
2025-10-01T14,17,194,457,2989,9854,2241,600,46,236,-46,6,3195
2025-10-01T15,-13,199,452,2810,11182,2241,1847,46,178,397,125,2738
2025-10-01T16,-123,199,451,2798,11390,2243,-17,46,0,5237,212,2096
2025-10-01T17,-160,199,444,1685,13470,2245,-3422,46,0,13975,425,1677
2025-10-01T18,-160,200,444,1072,15400,2246,-5848,46,0,17706,411,1471
2025-10-01T19,-151,197,444,782,15902,2246,-6319,46,0,18596,399,1085
2025-10-01T20,-100,196,443,742,16099,2248,-6542,46,0,18968,405,793
2025-10-01T21,-1,195,446,665,14987,2248,-5783,46,0,19174,431,744
2025-10-01T22,-2,196,443,762,14108,2245,-4776,46,0,18941,423,866
2025-10-01T23,0,202,442,1109,12816,2244,-3537,46,0,18619,431,1052
2025-10-02T00,-2,210,446,1344,12002,2243,-1907,46,35,17650,419,1298
2025-10-02T01,106,229,444,2490,11332,2243,-393,46,235,15115,364,1465
2025-10-02T02,166,243,445,3855,11797,2242,4513,46,236,7025,196,1490
2025-10-02T03,160,275,449,4906,12911,2242,8584,46,235,607,193,1757
2025-10-02T04,57,256,448,4846,13028,2247,7906,46,236,-49,131,2032
2025-10-02T05,126,201,455,4854,12579,2247,6511,46,235,-58,29,2259
2025-10-02T06,57,208,452,4655,12198,2246,5283,46,4,-53,2,2320
2025-10-02T07,-36,201,458,4389,12040,2244,2791,44,0,-54,19,2100
2025-10-02T08,35,199,454,3882,12046,2247,1307,46,0,-54,0,1866
2025-10-02T09,5,201,456,3688,12110,2250,576,46,0,-53,0,1783
2025-10-02T10,3,228,449,3348,11532,2244,291,46,0,-54,0,1910
2025-10-02T11,-1,243,451,3217,12138,2242,-663,46,0,-54,0,2065
2025-10-02T12,-1,215,454,3232,12170,2247,-716,46,0,-53,9,1944
2025-10-02T13,-58,203,459,3378,11831,2254,-322,46,0,-53,0,1957
2025-10-02T14,34,271,460,3778,12177,2251,329,46,0,-47,2,1477
