period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-06-06T04,426,7055,19222,2266,6472,46,1527,2265
2024-06-06T05,293,6848,19036,2268,5913,46,67,2766
2024-06-06T06,178,6814,17628,2269,4855,46,77,2842
2024-06-06T07,176,6541,15676,2268,2158,46,16,2655
2024-06-06T08,175,5974,13891,2266,664,46,29,2471
2024-06-06T09,174,5574,12972,2264,1143,46,65,2635
2024-06-06T10,176,5476,11696,2262,519,46,62,2691
2024-06-06T11,218,5283,10486,2261,-103,46,69,2875
2024-06-06T12,219,5310,10241,2263,-57,46,108,2854
2024-06-06T13,217,5333,10096,2265,264,46,97,2602
2024-06-06T14,363,4747,10039,2266,1088,46,455,2334
2024-06-06T15,284,4425,9428,2268,581,46,4269,1990
2024-06-06T16,189,4112,8096,2267,-763,46,11728,1626
2024-06-06T17,180,3422,10384,2267,-2217,46,14908,1259
2024-06-06T18,180,3167,10568,2269,-1926,46,16338,974
2024-06-06T19,180,3165,10558,2269,-1621,46,17076,805
2024-06-06T20,180,3358,10534,2267,-1193,46,17890,844
2024-06-06T21,183,3275,11020,2266,-1254,46,18233,933
2024-06-06T22,228,3639,10336,2266,-397,46,17946,1099
2024-06-06T23,207,3718,11850,2265,-333,46,17449,1322
2024-06-07T00,321,4507,12623,2265,-218,46,16797,1852
2024-06-07T01,231,5070,14586,2265,-151,46,15691,2340
2024-06-07T02,211,5371,16902,2268,371,46,13217,2840
2024-06-07T03,380,6817,18058,2269,2511,46,7843,3340
2024-06-07T04,409,7150,19272,2268,5167,46,1757,3951
2024-06-07T05,326,7062,18975,2269,4081,46,218,4484
2024-06-07T06,208,6827,16972,2270,2982,46,209,4679
2024-06-07T07,175,6092,14766,2269,1226,46,209,4459
2024-06-07T08,175,5962,12503,2269,221,46,208,4541
2024-06-07T09,174,5344,11269,2269,45,46,208,4842
2024-06-07T10,175,5027,9490,2268,87,45,204,5037
2024-06-07T11,174,5102,8100,2267,436,46,136,4947
2024-06-07T12,174,5097,7986,2267,205,46,94,4790
2024-06-07T13,174,5051,7728,2268,451,46,139,4706
2024-06-07T14,174,4317,7935,2268,1446,46,517,4308
2024-06-07T15,174,3935,7592,2268,1058,46,4171,3786
2024-06-07T16,176,3131,7539,2269,-456,46,11533,3240
2024-06-07T17,227,2521,9411,2270,-1964,46,14758,2745
2024-06-07T18,280,2814,10264,2269,-2876,46,16345,2726
2024-06-07T19,334,2754,10430,2268,-3087,46,16988,3040
2024-06-07T20,288,2802,10880,2269,-3352,46,17322,3535
2024-06-07T21,256,2798,10698,2268,-3182,46,18504,4029
2024-06-07T22,184,2910,9796,2269,-1973,46,18264,4477
2024-06-07T23,177,2969,9760,2268,-1175,46,17927,4917
2024-06-08T00,201,3603,9823,2267,-344,46,17280,5281
2024-06-08T01,177,4212,9627,2266,313,46,15857,5237
2024-06-08T02,174,4767,11111,2266,519,46,13687,5374
2024-06-08T03,177,6139,13129,2261,2470,46,8088,5395
2024-06-08T04,253,6408,14177,2261,5689,46,1842,4934
2024-06-08T05,284,6275,14174,2261,5756,46,172,4771
2024-06-08T06,196,6222,12739,2261,4878,46,162,4874
2024-06-08T07,181,5583,11844,2262,2532,46,165,4988
2024-06-08T08,175,5383,10331,2263,1097,46,165,5098
2024-06-08T09,175,5329,8821,2264,777,46,166,4970
2024-06-08T10,175,5189,7879,2264,545,46,165,4972
2024-06-08T11,175,5177,7081,2263,454,46,166,5010
2024-06-08T12,177,5339,6465,2265,324,46,143,4778
2024-06-08T13,177,5325,6226,2265,196,46,137,4871
2024-06-08T14,207,4658,5870,2265,967,45,408,4589
2024-06-08T15,209,3836,5803,2265,286,46,3978,4292
2024-06-08T16,261,2684,6099,2265,-965,46,11636,3993
2024-06-08T17,265,1862,6917,2266,-1549,46,15287,3553
2024-06-08T18,281,1852,7765,2268,-2228,46,16974,3086
2024-06-08T19,275,1946,7576,2267,-2133,46,17752,2507
2024-06-08T20,301,2160,7818,2268,-2478,46,18258,2220
2024-06-08T21,272,2108,7593,2267,-2395,46,18286,2486
2024-06-08T22,246,2112,7517,2267,-2054,46,17974,3262
2024-06-08T23,182,2070,7463,2267,-1530,46,17503,3813
2024-06-09T00,175,2413,7357,2267,-918,46,16607,4530
2024-06-09T01,174,3086,7217,2268,4,46,15350,5019
2024-06-09T02,175,4521,7900,2268,476,46,13101,5288
2024-06-09T03,207,6422,8551,2269,1258,46,7935,5372
2024-06-09T04,193,7081,8922,2268,4764,46,1873,5419
2024-06-09T05,176,6901,8769,2266,4820,46,182,5330
2024-06-09T06,175,6393,7828,2265,3996,46,154,5340
2024-06-09T07,177,6272,6921,2265,2637,46,162,5191
2024-06-09T08,174,6151,6111,2265,1390,46,165,5151
2024-06-09T09,173,5656,5229,2266,1011,46,155,5084
2024-06-09T10,173,5236,4321,2266,690,46,148,5110
2024-06-09T11,174,4923,4307,2266,436,46,163,4940
2024-06-09T12,174,5098,4108,2266,217,46,139,4791
2024-06-09T13,174,5050,3740,2265,519,46,112,4842
2024-06-09T14,174,4832,3623,2265,1202,46,468,4358
2024-06-09T15,175,3794,4212,2264,195,46,4493,4215
2024-06-09T16,202,2162,5411,2265,-1329,46,11007,3870
2024-06-09T17,177,1767,7479,2265,-3015,55,14246,3696
2024-06-09T18,176,1020,7755,2264,-2731,70,15498,3534
2024-06-09T19,201,913,8036,2263,-3050,64,16119,3148
2024-06-09T20,180,956,8710,2265,-3705,71,16644,2873
2024-06-09T21,265,950,8158,2267,-3294,79,16406,3155
2024-06-09T22,290,982,7323,2268,-2508,81,15723,3569
2024-06-09T23,198,1477,6357,2267,-1217,83,15671,3881
2024-06-10T00,179,1922,5832,2268,-253,84,14716,4230
2024-06-10T01,263,2415,5657,2268,413,85,14085,4562
