period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-03-01T00,-50,392,378,2726,7499,2271,-2545,46,0,13558,307,1061
2025-03-01T01,58,438,380,3468,7768,2270,-2095,43,177,10870,289,894
2025-03-01T02,65,573,379,4436,8083,2269,1133,45,191,4507,245,815
2025-03-01T03,75,658,380,4631,9475,2269,4079,42,183,476,191,700
2025-03-01T04,15,659,381,5114,9728,2269,4406,41,183,-41,98,541
2025-03-01T05,11,602,380,5232,9834,2269,2867,42,183,-36,93,892
2025-03-01T06,136,539,388,5048,9613,2271,2045,44,183,-34,44,1343
2025-03-01T07,154,447,385,4731,9670,2271,2001,45,0,-33,2,1356
2025-03-01T08,24,437,387,4497,9490,2273,1010,45,0,-34,0,1262
2025-03-01T09,92,455,390,4164,8926,2273,464,46,0,-33,0,1528
2025-03-01T10,20,403,389,3992,8191,2273,1025,46,0,-33,0,1622
2025-03-01T11,0,400,391,3971,7730,2272,547,46,0,-33,0,1671
2025-03-01T12,0,401,387,3962,7385,2272,-141,46,0,-34,0,2142
2025-03-01T13,-1,399,386,4018,7005,2269,-116,44,0,-34,0,2657
2025-03-01T14,0,400,385,3856,6916,2267,21,45,0,-33,1,3173
2025-03-01T15,-2,550,396,4108,6959,2269,584,46,0,31,20,3165
2025-03-01T16,-3,538,386,3821,6786,2269,1235,46,0,969,110,3106
2025-03-01T17,-3,414,386,3490,5243,2270,-306,45,0,5884,136,2435
2025-03-01T18,-100,393,381,2807,5465,2271,-1667,46,0,11373,227,2395
2025-03-01T19,-97,407,374,2368,5832,2272,-2505,46,0,13385,189,2356
2025-03-01T20,-107,556,374,1745,7088,2272,-3772,46,0,15114,207,2624
2025-03-01T21,-105,459,376,1653,8688,2272,-5183,46,0,15550,211,3193
2025-03-01T22,-125,393,376,1594,9176,2273,-5780,46,0,14871,231,3690
2025-03-01T23,-113,392,374,1875,9007,2272,-5651,46,0,14803,267,4124
2025-03-02T00,-39,392,371,1964,7804,2269,-4297,46,0,14166,249,4436
2025-03-02T01,31,460,373,2425,6773,2269,-2745,46,229,12589,197,4852
2025-03-02T02,80,411,374,3630,4680,2268,1169,46,463,6703,149,5481
2025-03-02T03,34,547,378,4564,4663,2268,3902,46,474,636,151,5167
2025-03-02T04,125,579,377,4836,5350,2267,4273,44,474,-32,145,4853
2025-03-02T05,150,580,360,4966,5155,2268,3984,44,475,-26,95,5044
2025-03-02T06,146,579,349,4770,5264,2269,3578,46,471,-24,22,5306
2025-03-02T07,2,570,343,4569,5178,2271,3483,45,241,-23,1,5079
2025-03-02T08,-1,556,320,4250,4900,2273,1685,45,0,-23,0,5167
2025-03-02T09,0,490,309,4147,5528,2274,832,45,0,-24,0,4535
2025-03-02T10,-2,439,312,3806,5584,2273,779,46,0,-23,0,4558
2025-03-02T11,-1,412,314,3717,5401,2274,284,44,0,-24,0,4187
2025-03-02T12,0,393,315,3494,5130,2274,-162,45,0,-24,0,4874
2025-03-02T13,0,391,313,3609,4883,2270,26,45,0,-14,0,5205
2025-03-02T14,0,393,310,3795,4897,2267,254,45,0,-24,1,4925
2025-03-02T15,2,488,303,4397,5382,2269,737,45,0,67,17,4436
2025-03-02T16,-8,470,304,3698,5100,2271,1410,46,0,1465,208,3577
2025-03-02T17,-103,427,299,3069,5428,2271,-1220,46,0,8008,250,4260
2025-03-02T18,-120,395,300,2545,8057,2272,-4210,44,0,13249,298,4578
2025-03-02T19,-107,391,295,2121,8462,2274,-4725,46,0,12966,323,4765
2025-03-02T20,-90,258,295,2006,8871,2274,-5275,46,0,12997,150,4577
2025-03-02T21,-89,387,295,1773,9083,2273,-5451,46,0,12729,256,4768
2025-03-02T22,-97,387,293,1863,8141,2273,-4677,46,0,12178,231,4769
2025-03-02T23,-71,386,292,1610,8007,2272,-4602,46,0,11695,168,4899
2025-03-03T00,-22,386,295,1791,6403,2270,-2616,46,0,10571,130,5324
2025-03-03T01,-1,385,305,2440,5348,2270,-1416,46,0,9093,221,5243
2025-03-03T02,0,385,305,3625,4692,2271,650,46,235,6830,171,5356
2025-03-03T03,3,493,309,4193,4983,2272,2945,46,235,969,163,5318
2025-03-03T04,15,591,310,4441,5628,2272,4730,45,235,41,151,5089
2025-03-03T05,95,540,311,4702,5763,2273,4515,45,235,-23,133,4826
2025-03-03T06,0,458,310,4608,5901,2273,4060,45,235,-31,54,4550
2025-03-03T07,0,400,313,4407,5975,2273,2884,44,216,-30,10,4754
2025-03-03T08,-1,396,314,4182,5753,2274,1353,43,0,-30,1,4623
2025-03-03T09,-1,429,316,4008,5632,2275,626,42,0,-19,0,4471
2025-03-03T10,0,397,314,3734,6176,2274,560,45,0,-30,0,4264
2025-03-03T11,-1,389,310,3700,6153,2275,264,45,0,-30,0,3973
2025-03-03T12,-1,391,316,3821,6198,2275,331,45,0,-30,0,3833
2025-03-03T13,1,391,312,3786,6614,2274,-116,45,0,-30,0,3714
2025-03-03T14,145,385,307,3772,6638,2273,617,46,0,-32,0,3908
2025-03-03T15,136,458,294,4153,7284,2273,2209,42,0,67,7,3903
2025-03-03T16,74,423,294,3494,6980,2273,3161,43,0,1696,114,4162
2025-03-03T17,16,398,292,2817,6280,2272,-145,44,0,8546,59,4036
2025-03-03T18,25,392,283,2470,7257,2273,-2506,43,0,14513,90,4178
2025-03-03T19,11,392,228,2086,7623,2274,-3280,44,0,15291,72,4064
2025-03-03T20,41,391,191,2122,8346,2274,-4709,44,0,15735,174,3729
2025-03-03T21,13,391,190,2012,8467,2274,-4789,45,0,15962,213,3527
2025-03-03T22,-52,390,193,1852,8715,2275,-5173,45,0,16156,223,3460
2025-03-03T23,-77,388,189,1667,8503,2276,-4980,45,0,16200,274,3383
2025-03-04T00,-101,387,189,1720,7946,2275,-4342,43,0,13970,303,3677
2025-03-04T01,-18,391,180,2094,6851,2276,-2416,40,0,13102,306,3412
2025-03-04T02,12,530,187,3624,5742,2276,420,43,0,8698,188,3663
2025-03-04T03,11,707,186,4291,5917,2276,5125,42,0,1181,151,3882
2025-03-04T04,9,862,189,4431,6620,2275,6669,42,0,-40,135,3969
2025-03-04T05,10,854,184,4248,6871,2274,6339,45,0,-53,136,3870
2025-03-04T06,9,755,187,3906,6911,2276,4873,44,0,-51,109,4257
2025-03-04T07,4,662,190,3558,7069,2275,3742,43,0,-50,27,4613
2025-03-04T08,-1,599,210,3557,7080,2275,1874,43,0,-50,24,4607
2025-03-04T09,-1,485,215,3470,7326,2276,306,42,0,-50,0,4689
2025-03-04T10,0,412,217,3253,7100,2277,113,43,0,-50,0,4656
2025-03-04T11,0,404,219,3271,7403,2276,-375,42,0,-51,0,4442
2025-03-04T12,0,404,236,3325,7604,2277,-548,41,0,-51,0,3994
2025-03-04T13,-1,431,279,3376,7742,2277,-499,43,0,-52,0,3851
2025-03-04T14,-1,471,289,3430,8024,2276,233,45,0,-51,1,3514
2025-03-04T15,0,545,296,3610,8633,2275,810,43,0,58,28,3180
2025-03-04T16,-11,436,298,3309,8878,2273,1180,43,0,1837,93,2857
2025-03-04T17,3,395,303,2925,8720,2273,-1315,45,0,10384,332,2234
2025-03-04T18,-4,395,305,2487,10359,2274,-3645,45,0,16116,324,1578
2025-03-04T19,-19,391,301,1831,11453,2274,-4895,43,0,16399,337,1532
2025-03-04T20,-79,390,298,1733,11050,2275,-5388,44,0,16635,335,1556
2025-03-04T21,-120,391,302,1583,10816,2275,-5795,43,0,16000,364,1334
2025-03-04T22,-119,391,297,1316,9674,2275,-4869,43,0,14868,270,1357
2025-03-04T23,-112,390,298,1241,9232,2275,-4149,45,0,13966,175,1542
2025-03-05T00,-10,393,295,1280,8997,2277,-3492,43,0,12952,216,1702
2025-03-05T01,26,464,299,1768,8119,2277,-1858,44,156,11781,278,1826
2025-03-05T02,5,622,296,3331,8471,2277,593,46,229,8744,138,1400
2025-03-05T03,14,779,302,3854,9454,2275,4548,44,223,1249,171,1349
2025-03-05T04,9,851,305,4147,9752,2275,4931,45,227,45,211,1654
2025-03-05T05,10,830,274,4302,9819,2274,4413,40,200,-26,50,1281
2025-03-05T06,9,769,268,4130,9769,2275,3755,43,203,-52,1,942
2025-03-05T07,-1,553,276,3872,9920,2275,3205,44,179,-50,10,812
2025-03-05T08,-3,441,279,3772,9895,2276,2340,45,178,-50,0,793
2025-03-05T09,0,530,279,3466,9567,2277,1358,44,0,-50,0,633
2025-03-05T10,0,448,280,3224,9806,2276,1389,44,0,-50,0,702
2025-03-05T11,-1,511,281,3084,9971,2277,658,44,0,-50,0,649
2025-03-05T12,0,531,281,3136,10093,2277,15,45,0,-51,0,558
2025-03-05T13,0,531,234,3255,10256,2277,120,45,0,-51,0,455
2025-03-05T14,-2,556,224,3143,10581,2275,59,45,0,-51,1,677
2025-03-05T15,0,497,231,3613,11676,2276,844,45,218,20,12,682
2025-03-05T16,-1,473,230,3549,12414,2276,808,44,220,910,33,677
2025-03-05T17,-1,414,223,3038,12007,2274,36,42,221,3900,77,613
2025-03-05T18,-12,409,218,2676,12683,2273,-631,43,243,6134,90,570
2025-03-05T19,-12,434,220,2490,12647,2273,-757,44,2,6964,79,743
2025-03-05T20,-8,500,233,2144,12825,2273,-1221,41,0,7780,78,1097
2025-03-05T21,76,543,289,1957,13922,2273,-2288,41,0,8128,74,1350
2025-03-05T22,68,525,298,1898,13401,2273,-1211,41,0,7492,115,1409
2025-03-05T23,-5,529,295,1799,12591,2273,-190,42,0,6145,118,1578
2025-03-06T00,-3,577,305,1779,13270,2273,-1078,46,103,5340,80,2163
2025-03-06T01,-10,447,303,2117,13546,2275,-1684,45,485,4989,86,2780
2025-03-06T02,1,409,307,3544,12822,2275,-752,46,258,2294,85,3579
2025-03-06T03,183,467,303,3829,12123,2274,1236,46,281,222,179,4000
2025-03-06T04,106,625,294,3964,12276,2274,1960,45,376,-50,201,4281
2025-03-06T05,98,638,285,4049,12304,2274,1168,43,266,-46,108,4369
2025-03-06T06,66,510,284,3490,11776,2273,1250,44,261,-44,83,4466
2025-03-06T07,9,427,282,3156,11177,2273,678,46,246,-44,4,5257
2025-03-06T08,-1,409,281,3041,11275,2272,-301,46,10,-46,0,5248
2025-03-06T09,0,405,286,2907,11104,2274,-761,46,0,-46,0,4831
2025-03-06T10,-1,412,290,2839,9863,2274,-50,46,0,-46,0,4498
2025-03-06T11,0,409,293,2811,9505,2275,-627,46,0,-47,0,4614
2025-03-06T12,0,399,298,2889,9670,2276,-996,46,0,-47,0,5188
2025-03-06T13,0,398,301,3079,8870,2276,-547,46,0,-47,0,5214
2025-03-06T14,-1,399,297,3233,9508,2276,161,45,0,-48,1,4411
2025-03-06T15,-3,517,300,3591,9868,2276,1329,44,0,62,19,4215
2025-03-06T16,-60,444,293,3450,9529,2277,2524,45,0,1680,114,4410
2025-03-06T17,4,450,294,3284,9239,2276,-1141,46,0,9008,216,4172
2025-03-06T18,-27,411,304,2829,9394,2274,-3376,46,0,14580,283,3904
2025-03-06T19,-28,401,290,2566,9364,2273,-3986,46,0,15869,180,3983
2025-03-06T20,-10,401,294,2196,9815,2271,-4765,46,0,15121,176,3995
2025-03-06T21,6,399,294,2159,9792,2273,-5049,46,0,14207,151,4261
2025-03-06T22,1,401,295,2212,9303,2277,-4490,46,0,13705,237,4331
2025-03-06T23,-3,479,289,2297,7237,2280,-2521,46,0,12366,194,4325
2025-03-07T00,8,512,291,2416,6943,2281,-2161,46,0,11310,170,4418
2025-03-07T01,53,696,294,2932,7095,2281,-1431,46,0,9475,201,4517
2025-03-07T02,-28,831,298,4003,8016,2280,-310,46,0,5566,72,4710
2025-03-07T03,8,904,296,4351,8843,2276,2447,46,0,861,156,4891
2025-03-07T04,10,952,300,4874,9413,2275,3230,45,0,-53,144,4868
2025-03-07T05,10,886,299,5065,9245,2275,3888,44,0,-47,99,4844
