Date,HR,PGE,SCE,SDGE,VEA,CAISO,HE,CAISO Total,Unnamed: 7,Spring DST change occurs on March 9 in HE2,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30
2025-02-01,15.0,11094.53566,10965.71347,1456.239842,106.27863,23622.7673673,,,,,,,,,,,,
2025-02-01,24.0,9761.792422,9929.719179,2082.989841,66.30245012,21840.80402,,,,,,,,,,,,
2025-02-01,23.0,10333.06238,10323.00125,2195.476414,68.08744109,22919.628386,,,,,,,,,,,,
2025-02-01,22.0,10777.98687,10380.78199,2286.1876,70.6396635,23515.596317,,,,,,,,,,,,
2025-02-01,21.0,11168.54786,10386.93615,2350.440399,71.60512301,23977.5296969999,,,,,,,,,,,,
2025-02-01,20.0,11498.46869,10492.29821,2418.665712,72.04333526,24481.475781,,,,,,,,,,,,
2025-02-01,19.0,11751.84225,10653.66501,2480.818302,71.9754724,24958.3010789999,,,,,,,,,,,,
2025-02-01,18.0,11734.80909,10344.77593,2398.861502,71.29607128,24549.7428559999,,,,,,,,,,,,
2025-02-01,17.0,11177.67109,9531.402181,2038.534501,64.12260638,22811.688143,,,,,,,,,,,,
2025-02-01,16.0,10975.54858,9759.441984,1717.044303,70.05579652,22522.0905343,,,,,,,,,,,,
2025-02-01,14.0,10901.30305,11425.72927,1551.56196,164.3398789,24042.934478,,,,,,,,,,,,
2025-02-01,13.0,10590.4587,11807.51476,1605.342426,190.3242439,24193.640219,,,,,,,,,,,,
2025-02-01,12.0,10625.54064,11847.3639,1536.694428,192.5904658,24202.189733,,,,,,,,,,,,
2025-02-01,2.0,10028.10431,9906.757527,2161.249112,84.03985021,22180.150781,,,,,,,,,,,,
2025-02-01,3.0,9694.106566,9441.471861,2078.099041,84.96815685,21298.646068,,,,,,,,,,,,
2025-02-01,4.0,9476.524725,9216.817561,2065.615027,86.19412427,20845.151702,,,,,,,,,,,,
2025-02-01,5.0,9288.525446,9236.855544,2081.924325,91.71296863,20699.018483,,,,,,,,,,,,
2025-02-01,6.0,9560.526325,9390.86609,2111.272265,98.15740259,21160.822547,,,,,,,,,,,,
2025-02-01,1.0,10289.30275,10427.21258,2259.666125,82.94232719,23059.118551,,,,,,,,,,,,
2025-02-01,8.0,10322.88345,10518.03502,2211.190652,111.2717566,23163.380885,,,,,,,,,,,,
2025-02-01,9.0,10399.25059,10830.07206,2122.462789,147.0145362,23498.785935,,,,,,,,,,,,
2025-02-01,10.0,10488.55063,11446.23054,2034.414894,169.1499629,24138.346288,,,,,,,,,,,,
2025-02-01,11.0,10529.21561,11747.51507,1686.684116,194.4120611,24157.8270761,,,,,,,,,,,,
2025-02-01,7.0,9936.237793,10091.96056,2181.27655,105.8462535,22315.3215959999,,,,,,,,,,,,
2025-02-02,15.0,9434.145893,9376.172409,1566.216342,82.52801943,20459.062475,,,,,,,,,,,,
2025-02-02,24.0,9466.991742,9970.449028,2035.258177,52.63720373,21525.336586,,,,,,,,,,,,
2025-02-02,23.0,10119.39475,10383.33145,2230.357658,55.70999943,22788.794348,,,,,,,,,,,,
2025-02-02,22.0,10730.90825,10364.06571,2304.321365,58.59929487,23457.894955,,,,,,,,,,,,
2025-02-02,21.0,11097.89437,10607.57631,2395.344155,61.59855639,24162.413087,,,,,,,,,,,,
2025-02-02,20.0,11334.15687,10695.90222,2506.277554,63.04606523,24599.382702,,,,,,,,,,,,
2025-02-02,19.0,11644.80613,10763.0509,2536.653272,64.70650958,25009.216754,,,,,,,,,,,,
2025-02-02,18.0,11397.15319,10401.11831,2486.062565,63.78632351,24348.120516,,,,,,,,,,,,
2025-02-02,17.0,10437.6663,9347.419091,2075.399312,58.49848884,21918.9831799,,,,,,,,,,,,
2025-02-02,16.0,9750.49127,8941.862817,1771.175007,56.25281974,20519.7819012,,,,,,,,,,,,
2025-02-02,14.0,9551.694811,10129.52511,1304.83289,133.7343059,21119.7871031,,,,,,,,,,,,
2025-02-02,1.0,9651.041309,9601.465228,2149.07018,65.48155454,21467.05394,,,,,,,,,,,,
2025-02-02,12.0,9648.4966,11695.06527,1531.642634,186.0102081,23061.2147281,,,,,,,,,,,,
2025-02-02,11.0,9753.619736,11889.11478,1636.085413,195.7071425,23474.5271709999,,,,,,,,,,,,
2025-02-02,10.0,9636.641519,12021.92657,1981.296321,173.3257155,23813.19043911,,,,,,,,,,,,
2025-02-02,9.0,9821.113738,11144.54,2091.5865,166.3780507,23223.6307696999,,,,,,,,,,,,
2025-02-02,8.0,9619.67725,9544.258196,2086.280803,91.35795183,21341.574394,,,,,,,,,,,,
2025-02-02,7.0,9268.246472,8945.700251,2079.257797,81.37020678,20374.574993,,,,,,,,,,,,
