Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,Unnamed: 7
2020-05-01,1,10266.440576171875,9760.59751844618,1841.4791678873698,45.89636962042915,21914.414284396702,
2020-05-01,2,9874.607894965278,9296.514031032986,1753.4631544325086,42.904357007344565,20967.489939778647,
2020-05-01,3,9676.189861111112,9057.48275607639,1708.2933089192709,41.25084594302707,20483.218006184896,
2020-05-01,4,9537.399364149305,8882.180064019098,1684.291212293837,40.81021926032172,20144.682096354165,
2020-05-01,5,9554.495237630208,8943.895563151042,1689.491275499132,41.29869680616591,20229.18214029948,
2020-05-01,6,9929.89763888889,9250.026852213541,1769.711012641059,42.83021739959717,20992.46658582899,
2020-05-01,7,10270.668960503472,9466.359815538195,1858.0901380750868,45.046321063571504,21640.165769856772,
2020-05-01,8,10458.015198567708,9675.034609375,1868.4166337076822,47.76858896891276,22049.234995659725,
2020-05-01,9,10292.745134548612,9874.289644097222,1890.8263027615017,49.776194708082414,22107.637158474394,
2020-05-01,10,9829.761614583333,9959.313272569445,1892.0488103569878,52.5734390979343,21733.69720974392,
2020-05-01,11,9403.762859157987,9883.703502604167,1767.3293288845487,55.2462964630127,21110.041810709638,
2020-05-01,12,9128.995298394097,9771.171498480902,1407.999706217448,59.59586473676893,20367.762225206163,
2020-05-01,13,9065.09761610243,10047.280550130208,1392.6818489583334,64.13905609130859,20569.198911946612,
2020-05-01,14,9095.753921440972,10509.230277777779,1390.3820392523871,68.9823983001709,21064.348491482207,
2020-05-01,15,9275.578207465278,10992.274069010416,1450.7603063964843,72.11040187411838,21790.72298095703,
2020-05-01,16,9257.722415364584,11407.32634440104,1559.9038503689237,75.45051330566406,22300.40312771267,
2020-05-01,17,9850.2255078125,11663.46806423611,1765.583817138672,78.79636992560492,23358.073878309464,
2020-05-01,18,11025.19904079861,12101.012922092013,2019.7688301595051,79.53041663275825,25225.511083170575,
2020-05-01,19,11858.91148546007,12069.66271592882,2237.0410616048175,75.25356514824762,26240.868801540797,
2020-05-01,20,11972.545219184029,12013.250932074652,2388.2366899956596,68.76863889058431,26442.802278103296,
2020-05-01,21,12262.067291666666,12065.559378255208,2379.1007552083333,63.82217733171251,26770.549946831597,
2020-05-01,22,11891.27556640625,11554.569226345486,2290.9028070746526,57.88015417734782,25794.628627929684,
2020-05-01,23,11375.861223958333,10861.08131076389,2150.4380297851562,52.46154716067844,24439.84314941406,
2020-05-01,24,10817.503234592014,10102.45337782118,1924.7071546766492,47.9049774339464,22892.56926920573,
2020-05-02,1,10314.77232421875,9425.094779730904,1859.3348027886284,44.24239348517524,21643.445189344617,
2020-05-02,2,9934.978462456596,8957.171929253473,1746.4321538628471,41.70024714152018,20680.28293836806,
2020-05-02,3,9646.065831163194,8741.907886284722,1677.3544984266493,40.407646547953284,20105.735684136285,
2020-05-02,4,9512.225245521979,8543.506006169799,1634.2897324035844,39.78161192663334,19729.81748860677,
2020-05-02,5,9480.44039171007,8464.991212022569,1619.920924343533,40.12108503553603,19605.47360514323,
2020-05-02,6,9596.260631510417,8599.061168619792,1626.818591579861,41.33090138753255,19863.47098687066,
2020-05-02,7,9605.927437065971,8449.819832899306,1586.993822157118,42.371205156114364,19685.112232259115,
2020-05-02,8,9502.8123046875,8244.874182400174,1514.7845913357205,44.93320054796007,19307.404268663195,
2020-05-02,9,9426.418980034723,8172.840198567708,1339.8326860894097,44.96016048431397,18984.051889919705,
2020-05-02,10,9155.133715277778,8196.981695421007,1274.815672607422,45.871854858398436,18672.802919650607,
2020-05-02,11,8960.49994357639,8332.628033854167,1194.2859294976129,48.775757200453015,18536.189753689236,
2020-05-02,12,8800.86648328993,8541.69221028646,1141.2549521213107,52.65247809939914,18536.48485352406,
2020-05-02,13,8657.280703125,8887.446106770833,1203.7733055284289,56.185879414876304,18804.686100802952,
2020-05-02,14,8708.562722439236,9118.202964409722,1333.980673014323,60.87765446556939,19221.62398844401,
2020-05-02,15,8877.468733723957,9368.238658854167,1394.4086802842883,65.77037851545546,19705.8865492079,
2020-05-02,16,9290.491398654514,9884.301167534722,1535.4488301595052,69.21929769727919,20779.460783148872,
2020-05-02,17,9917.95607638889,10495.636039496529,1738.49396226671,72.07499228583441,22224.16108561198,
2020-05-02,18,10654.52713107639,11030.22743923611,2019.373186577691,73.44452089945476,23777.572277289495,
2020-05-02,19,11342.499406467014,11290.484875217015,2245.7617993164063,71.62044514973958,24950.366469997833,
2020-05-02,20,11583.15547092014,11387.190570746528,2312.0899131944443,65.34943870120578,25347.785883246528,
2020-05-02,21,11736.643795572916,11499.213597005208,2349.4925208875866,61.39876672532824,25646.749884982637,
2020-05-02,22,11307.630377604166,10964.50171875,2204.420638563368,56.210919278462725,24532.764927300348,
2020-05-02,23,11042.748018663195,10154.38462782118,2096.642366672092,51.09242627037896,23344.868806423612,
2020-05-02,24,10467.074321831597,9520.19837782118,1924.0069677734375,46.089414859347876,21957.370033094616,
2020-05-03,1,10043.164862196181,9070.90410264757,1790.9002071126301,43.31096694522434,20948.280219184027,
2020-05-03,2,9616.076376953126,8701.21351671007,1716.4632758246528,40.93096214718289,20074.683921440974,
2020-05-03,3,9327.947749565972,8504.345619574653,1653.3176748318142,39.10700041876899,19524.717808702255,
2020-05-03,4,9151.277254478158,8314.278163075096,1619.8162215871903,38.934554117573974,19124.298961046006,
2020-05-03,5,9102.00595594618,8226.71016330295,1592.870095486111,39.276062410142686,18960.862439778644,
2020-05-03,6,9180.552371961805,8240.722641601562,1603.4833840603299,40.032330407036675,19064.790716145835,
