Date,HR,PGE,SCE,SDGE,VEA,CAISO
2021-04-01,1,9662.05,9728.89,1941.64,45.84,21378.41
2021-04-01,2,9325.9,9429.84,1858.49,46.08,20660.31
2021-04-01,3,9100.8,9202.18,1786.78,47.73,20137.49
2021-04-01,4,9008.45,9054.8,1761.4,51.6,19876.26
2021-04-01,5,9174.4,9198.41,1766.61,58.16,20197.58
2021-04-01,6,9654.6,9712.17,1855.84,67.04,21289.65
2021-04-01,7,10415.06,10334.85,2007.41,76.3,22833.61
2021-04-01,8,10909.68,10596.66,2057.03,68.78,23632.15
2021-04-01,9,10688.34,10671.5,1989.31,57.3,23406.45
2021-04-01,10,10123.16,10765.74,1919.81,49.97,22858.68
2021-04-01,11,9820.12,11054.47,1840.5,42.16,22757.24
2021-04-01,12,9612.39,11261.62,1873.19,38.67,22785.88
2021-04-01,13,9323.5,11399.9,1939.31,37.13,22699.84
2021-04-01,14,9232.56,11632.0,1958.52,37.93,22861.01
2021-04-01,15,9461.79,11952.4,2024.49,40.13,23478.81
2021-04-01,16,9759.84,12036.35,2168.65,42.9,24007.74
2021-04-01,17,10401.04,11885.63,2367.89,44.31,24698.87
2021-04-01,18,11194.32,11883.95,2454.02,47.32,25579.61
2021-04-01,19,12014.53,12090.26,2527.24,49.78,26681.81
2021-04-01,20,12391.62,12422.45,2627.1,55.71,27496.88
2021-04-01,21,12329.29,12212.25,2577.12,54.33,27172.99
2021-04-01,22,11793.12,11716.36,2449.02,50.86,26009.36
2021-04-01,23,11039.19,11074.15,2239.72,46.87,24399.94
2021-04-01,24,10260.67,10357.25,2050.95,43.69,22712.55
2021-04-02,1,9752.99,9704.59,1944.78,41.55,21443.91
2021-04-02,2,9367.76,9344.94,1854.21,40.91,20607.83
2021-04-02,3,9111.79,9049.22,1776.26,41.75,19979.02
2021-04-02,4,9009.67,8907.06,1747.46,43.83,19708.02
2021-04-02,5,9134.11,9019.25,1768.08,47.8,19969.23
2021-04-02,6,9567.74,9518.1,1847.68,54.31,20987.83
2021-04-02,7,10287.39,10046.32,1977.78,60.82,22372.31
2021-04-02,8,10704.36,10280.83,2026.21,53.94,23065.35
